state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
20066,-1032,-7988,1826,-39,43,17,1727,-4,-1,0,0,36981,278,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4329,0,6603,0
20076,-1034,-7988,1844,-42,42,24,1727,2,-3,0,0,36978,281,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4329,0,20086,0
20086,-1006,-8006,1854,-49,38,23,1727,7,-2,0,0,36976,278,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4330,0,20106,0
20096,-1048,-7984,1834,-46,37,26,1726,-4,3,0,0,36975,278,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4329,0,20126,0
20106,-976,-8018,1804,-50,36,23,1727,5,0,1,0,36976,274,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20146,0
20116,-1074,-8024,1848,-49,34,25,1728,4,2,0,0,36980,282,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4330,0,20166,0
20126,-1048,-7970,1816,-42,40,20,1726,0,-1,0,0,36979,285,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4329,0,20186,0
20136,-1062,-8026,1820,-44,42,19,1727,4,-2,2,0,36977,284,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4330,0,20208,0
20146,-1076,-8004,1814,-47,36,15,1728,3,1,-1,0,36971,275,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4330,0,20228,0
20156,-1058,-8010,1806,-45,45,11,1728,0,0,0,0,36968,276,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4330,0,20248,0
20166,-1038,-7992,1846,-40,35,10,1725,-13,1,0,0,36962,279,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4331,0,20269,0
20176,-1026,-7986,1860,-41,39,12,1727,2,0,0,0,36961,280,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20290,0
20186,-1034,-7996,1866,-47,39,10,1728,7,1,1,0,36964,279,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4330,0,20310,0
20196,-1040,-8014,1832,-40,37,10,1728,2,5,-1,0,36968,282,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20330,0
20206,-1046,-8006,1816,-40,34,11,1728,1,-3,-2,0,36969,280,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4330,0,20350,0
20216,-1058,-7986,1796,-36,40,9,1727,-6,1,0,0,36971,283,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4330,0,20370,0
20226,-1054,-8010,1808,-37,39,4,1727,0,3,0,0,36970,290,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4330,0,20390,0
20236,-1062,-7954,1768,-30,38,8,1728,3,1,0,0,36969,288,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4329,0,20410,0
20246,-1044,-8008,1818,-30,35,6,1727,1,-2,0,0,36964,288,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4329,0,20430,0
20256,-996,-7984,1920,-35,37,12,1727,0,0,1,0,36965,284,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4329,0,20450,0
20266,-1024,-7998,1884,-40,36,15,1727,6,3,1,0,36965,282,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4330,0,20470,0
20276,-1032,-8016,1892,-46,41,17,1726,-3,2,-1,0,36965,273,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4329,0,20490,0
20286,-1024,-8002,1892,-49,48,20,1728,0,1,1,0,36965,266,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4329,0,20510,0
20296,-1044,-7996,1852,-55,46,19,1727,0,1,0,0,36965,266,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20530,0
20306,-1038,-8028,1818,-54,44,21,1725,-1,3,0,0,36963,270,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4330,0,20550,0
20316,-1054,-8014,1816,-48,40,23,1728,8,-6,0,0,36963,269,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4330,0,20571,0
20326,-1038,-8014,1828,-49,35,23,1727,-5,-1,-2,0,36968,272,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4330,0,20590,0
20336,-1088,-8000,1806,-39,38,18,1726,-3,-2,0,0,36969,273,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20610,0
20346,-1060,-8010,1840,-47,44,20,1726,-2,-4,-1,0,36968,281,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4330,0,20630,0
20356,-1036,-8012,1876,-42,41,18,1727,-5,-1,0,0,36964,291,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4329,0,20650,0
20366,-1026,-8016,1850,-42,42,14,1727,2,2,1,0,36960,283,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4329,0,20670,0
20376,-1028,-7976,1868,-46,43,21,1725,-10,-4,0,0,36959,287,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4329,0,20690,0
20386,-1000,-8006,1876,-51,44,23,1726,-5,7,0,0,36961,281,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4330,0,20710,0
20396,-1018,-7986,1866,-63,41,30,1728,4,-1,-1,0,36965,282,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4329,0,20731,0
20406,-1050,-7976,1876,-56,48,32,1727,0,2,-1,0,36967,276,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20750,0
20416,-1044,-8012,1828,-59,43,29,1727,3,-1,0,0,36966,270,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4330,0,20771,0
20426,-1038,-8012,1832,-59,46,31,1727,0,1,0,0,36965,275,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20791,0
20436,-1032,-8006,1834,-57,41,37,1726,-7,-2,0,0,36965,268,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4332,0,20811,0
20446,-974,-8030,1764,-54,40,41,1727,0,-2,-1,0,36964,268,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20831,0
20456,-1082,-7984,1818,-54,36,35,1728,9,1,0,0,36963,274,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4331,0,20851,0
20466,-1064,-8026,1840,-54,40,31,1726,-6,-3,0,0,36968,272,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20871,0
20476,-1066,-7986,1826,-55,46,23,1727,7,4,0,0,36968,277,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20891,0
20486,-1042,-8030,1818,-51,41,22,1726,3,2,0,0,36970,270,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20911,0
20496,-1034,-7966,1822,-53,38,30,1727,-2,-1,-1,0,36970,268,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4332,0,20931,0
20506,-1048,-7964,1820,-54,39,25,1727,0,3,0,0,36969,270,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4331,0,20951,0
20516,-1018,-8028,1804,-48,36,28,1727,8,-4,0,0,36971,266,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4331,0,20971,0
20526,-1010,-8002,1818,-52,37,28,1727,0,0,-3,0,36970,274,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4332,0,20991,0
20536,-1036,-7978,1854,-46,41,34,1727,1,-2,1,0,36972,274,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4333,0,21011,0
20546,-1038,-8022,1870,-50,42,33,1727,3,-5,-1,0,36972,279,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4333,0,21031,0
20556,-1076,-7984,1842,-54,41,32,1727,0,1,0,0,36973,286,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4333,0,21051,0
20566,-1074,-8008,1848,-46,44,25,1727,-3,0,1,0,36971,285,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4333,0,21071,0
20576,-1056,-8000,1842,-53,41,23,1726,0,3,0,0,36969,281,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4333,0,21091,0
20586,-1028,-8004,1854,-56,42,24,1727,2,3,-1,0,36968,278,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4333,0,21111,0
20596,-1068,-7986,1836,-50,42,25,1726,-4,0,0,0,36969,273,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4334,0,21131,0
20606,-1020,-7970,1818,-50,38,32,1727,2,2,-1,0,36974,285,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21151,0
20616,-1040,-8020,1848,-53,40,35,1727,1,0,1,0,36972,286,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21171,0
20626,-1036,-8014,1872,-49,37,34,1728,0,0,-2,0,36970,278,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21191,0
20636,-1080,-8010,1842,-54,41,33,1727,1,3,0,0,36979,285,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21211,0
20646,-1082,-7992,1816,-55,33,29,1728,4,-2,-1,0,36979,286,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21231,0
20656,-1090,-7996,1800,-45,39,23,1726,0,-3,0,0,36978,285,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4335,0,21251,0
20666,-1092,-7996,1834,-44,40,16,1728,15,4,1,0,36972,285,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4334,0,21271,0
20676,-1108,-8002,1852,-47,33,10,1726,-5,-3,-1,0,36969,276,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21291,0
20686,-1092,-7994,1868,-48,34,3,1726,-5,1,0,0,36974,277,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21311,0
20696,-1064,-7958,1844,-48,37,5,1727,2,2,0,0,36977,272,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21331,0
20706,-1060,-7998,1858,-49,36,5,1726,-1,2,-1,0,36976,276,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4335,0,21351,0
20716,-1026,-7984,1832,-51,39,11,1727,0,-1,0,0,36975,279,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21372,0
20726,-1002,-8002,1820,-45,39,17,1726,1,1,0,0,36972,276,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21392,0
20736,-1016,-8012,1842,-54,42,20,1727,0,5,0,0,36976,274,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21412,0
20746,-1052,-8006,1860,-51,40,22,1727,0,1,0,0,36981,278,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4335,0,21432,0
20756,-1058,-8000,1876,-57,44,22,1727,0,1,0,0,36980,272,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4335,0,21451,0
20766,-1030,-8022,1866,-50,45,22,1728,5,3,1,0,36981,271,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21472,0
20776,-1060,-8022,1862,-58,43,21,1727,7,-1,-1,0,36980,262,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21492,0
20786,-1080,-8006,1834,-56,39,23,1726,0,0,0,0,36982,267,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4336,0,21512,0
20796,-1124,-8034,1792,-51,46,13,1727,6,4,0,0,36981,273,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4334,0,21532,0
20806,-1112,-7996,1782,-51,45,17,1727,-4,3,-1,0,36980,285,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4335,0,21552,0
20816,-1088,-7980,1832,-48,41,16,1727,1,2,2,0,36980,283,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21572,0
20826,-1076,-7998,1852,-50,42,13,1727,0,-2,0,0,36984,282,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4333,0,21592,0
20836,-1056,-8020,1880,-54,38,14,1727,-3,1,-2,0,36984,285,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4335,0,21612,0
20846,-1036,-7994,1872,-57,43,17,1726,-5,-7,0,0,36981,281,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21632,0
20856,-1018,-8018,1840,-61,46,20,1727,-8,-3,0,0,36975,289,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21652,0
20866,-1000,-7992,1842,-61,46,22,1727,-3,-4,2,0,36975,295,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4335,0,21672,0
20876,-1050,-7980,1832,-59,42,24,1727,3,2,0,0,36984,292,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21692,0
20886,-1098,-8012,1824,-55,39,22,1727,2,2,0,0,36995,288,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4334,0,21712,0
20896,-1092,-7992,1828,-58,44,18,1727,-5,1,0,0,37001,287,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4336,0,21732,0
20906,-1076,-7988,1802,-52,41,17,1726,-4,-6,0,0,36993,292,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4336,0,21751,0
20916,-1066,-8014,1812,-49,44,14,1726,-1,1,0,0,36983,286,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4335,0,21772,0
