state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
20080,-260,-8208,668,-44,10,5,1090,0,-2,-4,0,37336,78,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,2458,0
20090,-268,-8250,686,-48,14,4,1090,1,-1,-5,0,37335,83,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4277,0,20080,0
20100,-250,-8202,658,-56,14,3,1090,-5,-2,-3,0,37333,83,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20080,0
20110,-274,-8212,670,-50,13,9,1090,-3,-1,-6,0,37333,75,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20080,0
20120,-246,-8202,650,-45,13,8,1090,-2,3,-5,0,37338,81,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20080,0
20130,-252,-8198,670,-46,12,6,1091,4,3,-4,0,37338,76,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20080,0
20140,-278,-8244,632,-48,9,11,1092,5,-2,-5,0,37334,77,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20080,0
20150,-292,-8204,672,-51,15,8,1090,0,6,-4,0,37327,70,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4277,0,20080,0
20160,-268,-8238,664,-47,10,6,1091,-2,3,-4,0,37329,68,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4277,0,20080,0
20170,-276,-8230,676,-49,12,2,1090,0,1,-5,0,37332,75,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20080,0
20180,-270,-8220,682,-52,15,6,1091,-2,3,-3,0,37332,74,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20080,0
20190,-290,-8220,672,-48,14,5,1090,0,2,-4,0,37331,77,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20080,0
20200,-282,-8226,678,-49,10,6,1090,-1,-4,-3,0,37330,75,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4277,0,20085,0
20210,-258,-8206,684,-48,15,5,1091,5,0,-4,0,37335,70,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20095,0
20220,-278,-8204,672,-49,11,7,1091,2,2,-3,0,37336,69,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20105,0
20230,-248,-8234,672,-49,17,5,1091,4,-1,-4,0,37344,74,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20115,0
20240,-274,-8232,668,-56,15,3,1089,-6,0,-4,0,37340,78,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20125,0
20250,-248,-8224,672,-55,14,10,1090,0,-2,-2,0,37335,77,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20135,0
20260,-258,-8168,638,-54,10,9,1091,-2,2,-4,0,37329,78,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20145,0
20270,-286,-8188,648,-51,10,4,1091,7,1,-5,0,37331,79,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20155,0
20280,-246,-8214,656,-49,16,7,1090,1,6,-5,0,37331,75,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20169,0
20290,-244,-8208,640,-41,16,8,1090,-5,2,-4,0,37327,67,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20189,0
20300,-266,-8200,660,-47,13,5,1092,0,-1,-3,0,37326,66,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20209,0
20310,-240,-8214,646,-47,15,8,1090,-2,1,-4,0,37329,69,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20229,0
20320,-252,-8244,682,-47,11,13,1090,-2,-2,-7,0,37331,75,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20241,0
20330,-256,-8212,708,-46,11,12,1091,-2,-2,-3,0,37336,77,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20251,0
20340,-282,-8172,694,-47,15,14,1091,0,-4,-4,0,37335,78,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20261,0
20350,-292,-8228,654,-55,15,10,1091,-8,-2,-4,0,37333,74,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4276,0,20271,0
20360,-292,-8222,678,-51,11,9,1091,7,6,-4,0,37328,61,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20282,0
20370,-280,-8214,666,-50,14,6,1091,-1,-1,-5,0,37327,61,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4277,0,20302,0
20380,-268,-8224,630,-48,6,11,1091,-2,3,-3,0,37326,67,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4276,0,20312,0
20390,-298,-8240,656,-49,11,11,1090,0,3,-6,0,37325,83,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4275,0,20322,0
20400,-276,-8184,678,-47,14,5,1090,0,2,-3,0,37326,86,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4277,0,20334,0
20410,-300,-8248,678,-47,15,4,1090,-3,1,-5,0,37330,80,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4277,0,20344,0
20420,-240,-8206,704,-42,16,8,1090,1,-3,-7,0,37331,77,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20354,0
20430,-236,-8184,694,-46,10,8,1090,0,-3,-4,0,37334,73,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4277,0,20364,0
20440,-286,-8210,654,-45,9,3,1090,0,1,-4,0,37330,73,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4277,0,20374,0
20450,-272,-8208,660,-50,12,3,1090,2,-1,-4,0,37326,71,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4276,0,20387,0
20460,-268,-8190,670,-51,15,0,1091,0,-4,-5,0,37323,69,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4277,0,20397,0
20470,-272,-8224,692,-45,10,4,1090,0,5,-5,0,37323,66,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4277,0,20407,0
