state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
18055,-326,-8288,792,-52,37,20,8982,0,5,0,0,37352,306,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,6815,0
18065,-326,-8284,790,-53,35,25,8983,10,5,1,0,37352,307,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18075,0
18075,-378,-8256,810,-53,35,24,8981,1,3,-1,0,37346,302,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4099,0,18095,0
18085,-380,-8276,778,-53,41,20,8981,0,2,-1,0,37347,299,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18115,0
18095,-398,-8242,798,-57,38,17,8981,9,1,0,0,37348,293,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18135,0
18105,-388,-8196,796,-55,38,20,8982,0,0,-1,0,37344,298,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18155,0
18115,-372,-8244,782,-54,43,16,8982,6,-1,0,0,37342,299,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4098,0,18175,0
18125,-378,-8232,778,-58,37,14,8981,-8,0,-2,0,37342,299,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4098,0,18197,0
18135,-378,-8218,758,-55,42,15,8982,3,-2,-1,0,37344,296,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18220,0
18145,-354,-8278,772,-57,38,16,8982,0,3,0,0,37351,289,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18240,0
18155,-362,-8268,758,-54,42,20,8981,-2,-5,-2,0,37349,295,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4098,0,18260,0
18165,-372,-8254,766,-48,40,21,8983,-1,4,0,0,37348,298,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4099,0,18280,0
18175,-354,-8244,798,-51,40,22,8983,8,2,0,0,37339,301,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4099,0,18300,0
18185,-356,-8252,794,-55,44,21,8982,-2,-3,0,0,37341,300,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18320,0
18195,-376,-8240,792,-48,33,17,8981,-2,1,0,0,37340,298,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18340,0
18205,-372,-8252,764,-45,41,20,8982,3,1,-1,0,37340,298,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4098,0,18360,0
18215,-408,-8276,780,-53,40,16,8982,1,2,0,0,37341,284,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18380,0
18225,-392,-8258,760,-49,38,16,8981,-2,2,0,0,37342,281,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18400,0
18235,-394,-8232,784,-50,41,16,8982,0,2,0,0,37342,286,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4097,0,18420,0
18245,-374,-8262,806,-53,39,13,8983,1,-4,-2,0,37345,295,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4099,0,18440,0
18255,-366,-8216,782,-52,39,18,8982,0,2,0,0,37349,303,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4098,0,18459,0
18265,-376,-8252,788,-52,45,10,8981,0,2,0,0,37351,305,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4099,0,18479,0
18275,-374,-8284,772,-47,42,16,8981,-1,3,-1,0,37352,308,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18499,0
18285,-360,-8222,784,-50,39,13,8983,2,-4,0,0,37347,299,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4099,0,18519,0
18295,-346,-8268,776,-48,40,13,8981,-4,3,0,0,37344,297,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4098,0,18539,0
18305,-336,-8268,778,-46,36,16,8982,0,-4,-1,0,37342,299,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4098,0,18559,0
18315,-366,-8234,780,-45,33,12,8982,8,1,1,0,37340,302,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4098,0,18579,0
18325,-396,-8266,742,-44,37,8,8982,-3,0,0,0,37337,308,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4098,0,18599,0
18335,-398,-8242,784,-45,30,9,8982,-2,-3,0,0,37335,301,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4098,0,18619,0
18345,-412,-8220,800,-43,40,1,8981,1,-1,-4,0,37332,295,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4098,0,18639,0
