state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
9066,-116,-8242,548,-55,13,14,11363,6,-1,4,0,37207,111,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4227,0,3262,0
9076,-104,-8254,524,-53,13,12,11361,-3,0,0,0,37206,112,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4226,0,9066,0
9086,-126,-8236,510,-52,15,12,11361,-2,2,1,0,37206,106,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4226,0,9066,0
9096,-114,-8248,534,-47,19,12,11362,1,-2,2,0,37205,110,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4226,0,9066,0
9106,-136,-8226,546,-49,13,12,11361,2,-3,1,0,37208,116,24,1,0,0,0,0,0,0,0,0,-32297,0,0,0,4226,0,9066,0
9116,-120,-8218,524,-52,16,12,11362,-1,-5,0,0,37207,112,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4226,0,9066,0
9126,-126,-8242,514,-52,13,9,11361,-5,4,1,0,37203,110,24,1,0,0,0,0,0,0,0,0,-32297,0,0,0,4226,0,9066,0
9136,-162,-8268,524,-51,10,8,11362,5,-4,2,0,37204,107,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4228,0,9066,0
9146,-126,-8246,506,-49,13,4,11362,-3,-1,2,0,37205,114,24,1,0,0,0,0,0,0,0,0,-32297,0,0,0,4227,0,9066,0
9156,-122,-8206,550,-52,13,-2,11362,4,-1,3,0,37206,120,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4227,0,9066,0
9166,-122,-8246,540,-50,11,4,11361,-5,4,-1,0,37211,118,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4226,0,9066,0
9176,-86,-8238,540,-47,12,4,11361,-1,0,0,0,37209,107,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4226,0,9066,0
9186,-120,-8230,534,-48,13,7,11361,-1,2,3,0,37210,109,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4227,0,9072,0
9196,-88,-8246,506,-53,10,3,11362,0,1,0,0,37205,114,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4227,0,9082,0
9206,-112,-8238,528,-50,13,6,11361,-2,0,2,0,37206,113,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4228,0,9092,0
9216,-94,-8212,536,-44,21,8,11360,-5,2,1,0,37204,115,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4226,0,9102,0
9226,-100,-8232,532,-49,10,6,11361,-6,-5,0,0,37199,112,24,1,0,0,0,0,0,0,0,0,-32296,0,0,0,4226,0,9112,0
