state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
10004,-298,-8280,528,-54,48,18,9605,0,-2,0,0,37640,315,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4073,0,7563,0
10014,-282,-8280,522,-55,45,21,9606,1,0,-1,0,37642,307,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4072,0,10024,0
10024,-268,-8274,510,-59,39,23,9605,4,0,-3,0,37639,316,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4074,0,10044,0
10034,-280,-8248,500,-52,42,22,9604,-4,-4,-2,0,37636,312,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4073,0,10064,0
10044,-260,-8300,506,-56,42,29,9604,-2,-4,0,0,37636,310,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4075,0,10085,0
10054,-260,-8286,504,-58,41,28,9606,-1,0,-1,0,37640,302,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4074,0,10105,0
10064,-266,-8276,506,-56,41,35,9606,1,0,0,0,37646,297,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4075,0,10126,0
10074,-266,-8294,490,-56,40,31,9605,-2,-3,-1,0,37643,294,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4075,0,10152,0
10084,-322,-8302,548,-61,36,37,9604,-4,-3,1,0,37641,293,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4075,0,10172,0
10094,-298,-8244,494,-60,41,38,9604,-3,-2,0,0,37641,294,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4076,0,10193,0
10104,-268,-8282,512,-56,41,40,9605,2,0,-1,0,37639,304,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4075,0,10213,0
10114,-280,-8292,522,-58,41,41,9604,-2,-2,2,0,37638,307,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4076,0,10233,0
10124,-326,-8284,516,-60,43,45,9604,-7,-1,-1,0,37637,303,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4076,0,10253,0
