state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
8209,24,-8212,782,-53,18,4,14884,-8,-2,-1,0,37191,62,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,2625,0
8219,42,-8204,796,-49,16,7,14886,2,-2,-3,0,37191,71,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8209,0
8229,38,-8224,786,-53,18,5,14884,-4,0,-5,0,37176,76,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8209,0
8239,56,-8210,782,-52,14,5,14886,5,3,0,0,37166,71,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8209,0
8249,24,-8216,808,-55,18,5,14885,5,3,-2,0,37164,64,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8209,0
8259,54,-8224,790,-50,13,9,14884,-8,1,-2,0,37162,59,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8209,0
8269,20,-8224,806,-50,12,4,14885,6,0,-2,0,37156,60,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8209,0
8279,2,-8196,806,-56,16,7,14885,2,1,0,0,37156,62,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8209,0
8289,34,-8216,792,-53,17,8,14883,-8,1,0,0,37156,75,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8209,0
8299,38,-8196,790,-58,13,6,14886,1,-3,-2,0,37156,77,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8209,0
8309,34,-8226,792,-53,12,9,14885,0,-3,-1,0,37156,78,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4173,0,8209,0
8319,38,-8194,786,-57,11,0,14885,0,6,-2,0,37156,74,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8209,0
8329,20,-8228,788,-54,15,4,14884,-2,2,-3,0,37153,75,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8209,0
8339,72,-8216,804,-52,16,8,14884,-7,-4,0,0,37154,66,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8219,0
8349,72,-8212,786,-46,8,3,14884,-3,1,-2,0,37156,65,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8229,0
8359,34,-8220,790,-51,14,6,14885,0,3,-2,0,37159,69,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4173,0,8239,0
8369,40,-8242,792,-50,10,3,14885,-4,1,0,0,37157,63,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8249,0
8379,12,-8232,790,-48,17,6,14883,-6,-2,-1,0,37154,68,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8259,0
8389,30,-8232,768,-43,15,7,14885,0,3,0,0,37153,69,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8269,0
8399,50,-8192,796,-47,16,8,14884,0,0,-2,0,37151,73,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8279,0
8409,42,-8194,812,-47,12,-1,14884,0,5,-1,0,37151,64,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8298,0
8419,32,-8230,786,-46,10,3,14884,-1,-2,-4,0,37151,62,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8318,0
8429,48,-8230,802,-44,11,4,14886,9,0,-3,0,37153,64,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8338,0
8439,48,-8204,800,-50,15,4,14885,6,0,0,0,37156,69,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8356,0
8449,28,-8202,800,-53,10,6,14884,-1,-5,-4,0,37157,63,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8366,0
8459,64,-8188,798,-48,13,13,14885,13,-2,-2,0,37157,58,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8376,0
8469,38,-8190,810,-44,18,9,14884,-1,2,-2,0,37157,59,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8386,0
8479,30,-8214,812,-46,17,8,14885,0,-2,-1,0,37151,61,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4174,0,8397,0
8489,28,-8202,778,-52,17,13,14885,1,-5,0,0,37151,66,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8417,0
8499,60,-8194,768,-50,16,9,14884,-10,-1,-1,0,37151,59,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8427,0
8509,38,-8200,780,-46,14,13,14885,0,3,-2,0,37153,65,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8437,0
8519,24,-8206,808,-43,8,10,14884,0,-1,-2,0,37157,66,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8449,0
8529,42,-8206,786,-45,17,9,14884,-7,-3,-3,0,37156,69,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8459,0
8539,54,-8198,776,-46,9,12,14886,2,-1,-2,0,37154,72,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8469,0
8549,30,-8210,804,-44,13,6,14884,5,-2,0,0,37159,63,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8479,0
8559,54,-8204,798,-43,16,9,14884,-2,-3,-1,0,37161,62,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4173,0,8489,0
8569,48,-8222,804,-44,14,9,14884,5,-4,-1,0,37163,53,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,8501,0
8579,60,-8236,806,-45,14,11,14885,-1,-2,-1,0,37155,56,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8511,0
8589,42,-8216,796,-52,16,13,14884,3,2,-2,0,37153,59,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8521,0
8599,52,-8218,804,-45,9,11,14885,-1,-2,-1,0,37153,57,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8531,0
8609,62,-8226,806,-44,13,15,14885,0,0,-1,0,37157,59,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4174,0,8544,0
8619,38,-8192,798,-49,17,14,14885,0,1,-2,0,37159,65,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8554,0
8629,26,-8204,784,-46,17,12,14885,0,-1,-2,0,37156,59,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8564,0
8639,58,-8208,786,-42,17,12,14885,-5,1,-1,0,37152,57,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8574,0
8649,30,-8212,822,-44,13,8,14884,-5,0,0,0,37158,69,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8584,0
8659,40,-8210,802,-43,16,6,14886,3,-6,0,0,37163,76,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8596,0
8669,42,-8218,810,-50,15,8,14885,-7,-1,-3,0,37164,81,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8606,0
8679,8,-8206,796,-47,14,7,14884,0,6,-2,0,37162,72,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8616,0
8689,24,-8194,788,-47,17,9,14884,-3,-2,-1,0,37161,71,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,8626,0
