state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
9833,-908,-8206,814,-59,40,17,5374,1,-3,0,0,37566,311,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4284,0,6881,0
9843,-896,-8208,802,-56,45,23,5375,8,5,0,0,37567,323,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4283,0,9853,0
9853,-896,-8182,814,-53,39,25,5373,-5,-3,0,0,37565,316,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4283,0,9873,0
9863,-910,-8206,832,-57,46,26,5374,2,2,0,0,37566,315,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4284,0,9893,0
9873,-930,-8196,820,-55,42,24,5372,-4,1,0,0,37569,308,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4284,0,9913,0
9883,-922,-8210,830,-57,47,23,5374,2,-1,0,0,37573,312,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4284,0,9933,0
9893,-904,-8222,826,-55,45,26,5374,-9,0,0,0,37568,317,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4285,0,9953,0
9903,-896,-8218,824,-52,40,27,5373,3,-4,2,0,37568,317,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4284,0,9975,0
9913,-892,-8198,852,-60,45,27,5374,0,1,0,0,37567,321,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4285,0,9995,0
9923,-896,-8202,824,-57,46,32,5375,10,3,0,0,37568,323,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4285,0,10015,0
9933,-860,-8222,824,-59,48,37,5375,5,4,0,0,37562,316,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4284,0,10036,0
9943,-866,-8222,826,-58,46,35,5374,-12,-1,0,0,37563,306,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4285,0,10057,0
9953,-880,-8196,844,-61,46,41,5374,-4,1,0,0,37567,302,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4285,0,10077,0
9963,-942,-8206,828,-62,47,39,5374,1,-3,0,0,37569,308,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4285,0,10097,0
9973,-966,-8208,810,-58,43,33,5373,0,-1,1,0,37564,307,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10117,0
9983,-932,-8200,796,-56,47,29,5374,7,2,0,0,37567,314,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10137,0
9993,-950,-8218,788,-50,45,22,5374,-1,3,-1,0,37570,313,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10158,0
10003,-946,-8192,792,-51,37,18,5373,0,-8,1,0,37570,318,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10178,0
10013,-932,-8184,834,-45,46,18,5374,0,0,3,0,37559,325,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4285,0,10198,0
10023,-906,-8208,816,-47,44,19,5373,-5,-5,0,0,37556,323,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10218,0
10033,-910,-8196,828,-51,42,17,5373,-1,-7,-1,0,37558,318,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10238,0
10043,-904,-8218,838,-48,44,17,5374,-3,-1,0,0,37566,319,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10258,0
10053,-896,-8198,800,-47,45,18,5374,3,-4,0,0,37564,323,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10278,0
10063,-916,-8216,812,-46,45,15,5373,-1,-3,2,0,37555,325,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10298,0
10073,-906,-8196,818,-47,42,20,5373,-7,-5,0,0,37554,305,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10318,0
10083,-904,-8224,826,-48,41,21,5376,4,2,4,0,37560,308,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10338,0
10093,-926,-8200,826,-52,44,19,5374,-3,-4,0,0,37570,319,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10358,0
10103,-948,-8216,814,-48,46,12,5375,-3,4,0,0,37564,323,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10378,0
10113,-942,-8208,802,-52,38,9,5375,13,1,1,0,37558,320,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10398,0
10123,-946,-8212,810,-45,38,11,5373,-9,1,0,0,37556,312,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10418,0
10133,-948,-8230,816,-45,41,9,5374,4,-6,0,0,37561,317,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10438,0
10143,-940,-8192,818,-45,40,6,5373,0,4,0,0,37558,317,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10458,0
10153,-900,-8190,838,-49,41,8,5373,-6,-2,0,0,37552,312,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10478,0
10163,-892,-8188,852,-48,39,15,5374,3,1,2,0,37554,312,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10498,0
10173,-848,-8206,844,-52,43,14,5374,-1,4,1,0,37558,312,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10518,0
10183,-902,-8228,824,-53,41,15,5373,1,2,0,0,37560,322,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4286,0,10538,0
10193,-898,-8200,830,-47,42,21,5375,6,4,1,0,37558,317,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4287,0,10558,0
10203,-894,-8204,826,-50,45,22,5375,3,6,0,0,37558,305,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10578,0
10213,-960,-8222,832,-49,39,20,5373,1,4,1,0,37562,310,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10598,0
10223,-968,-8204,804,-53,40,16,5373,0,1,0,0,37565,314,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10618,0
10233,-944,-8214,802,-46,40,12,5374,0,1,-1,0,37560,329,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10638,0
10243,-888,-8226,814,-45,40,15,5374,0,2,1,0,37559,322,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10658,0
10253,-926,-8210,812,-44,44,11,5374,-1,0,0,0,37561,322,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10678,0
10263,-916,-8200,850,-50,46,9,5374,0,-1,0,0,37565,328,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10698,0
10273,-898,-8216,848,-51,40,17,5375,8,-1,0,0,37560,319,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4286,0,10718,0
10283,-906,-8186,828,-51,44,19,5374,4,2,0,0,37555,318,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10738,0
10293,-904,-8214,850,-53,45,14,5375,1,8,0,0,37557,314,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10758,0
10303,-924,-8194,828,-55,46,19,5373,6,0,0,0,37561,320,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4287,0,10778,0
