state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
17839,-756,-8236,274,-54,15,2,13915,-1,4,4,0,37336,102,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,3326,0
17849,-774,-8196,280,-52,16,8,13914,0,-1,6,0,37336,106,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,17839,0
17859,-764,-8204,274,-49,13,4,13914,0,2,4,0,37332,107,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,17839,0
17869,-766,-8226,266,-51,18,5,13915,5,1,4,0,37330,103,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,17839,0
17879,-752,-8198,262,-55,18,14,13914,-2,-1,4,0,37334,109,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,17839,0
17889,-754,-8200,266,-56,10,12,13915,9,6,4,0,37334,102,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,17839,0
17899,-774,-8214,260,-54,15,13,13914,4,1,5,0,37338,112,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,17839,0
17909,-804,-8200,250,-53,11,10,13915,0,5,5,0,37339,116,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,17839,0
17919,-766,-8184,276,-51,12,10,13915,5,-1,4,0,37341,120,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4451,0,17839,0
17929,-782,-8250,274,-51,15,11,13913,-11,4,5,0,37340,120,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,17839,0
17939,-760,-8218,272,-55,13,7,13914,-4,-4,4,0,37333,113,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4450,0,17839,0
17949,-766,-8202,252,-50,10,15,13915,0,-4,4,0,37332,110,24,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4451,0,17839,0
17959,-764,-8228,262,-55,15,14,13915,7,2,5,0,37335,106,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4450,0,17843,0
17969,-766,-8210,270,-47,12,12,13914,6,-1,5,0,37336,103,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4450,0,17853,0
17979,-776,-8222,274,-50,11,15,13915,4,2,6,0,37334,97,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,17863,0
17989,-794,-8210,262,-45,15,12,13914,-7,-4,4,0,37333,105,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4450,0,17873,0
17999,-800,-8206,276,-50,18,15,13914,4,1,7,0,37333,101,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4451,0,17883,0
18009,-780,-8202,256,-50,16,14,13913,0,0,6,0,37338,108,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,17893,0
18019,-788,-8238,266,-52,13,10,13916,6,-2,3,0,37338,101,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4450,0,17903,0
18029,-802,-8212,260,-52,17,9,13914,0,1,5,0,37342,111,24,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4450,0,17913,0
18039,-786,-8206,270,-47,18,10,13916,7,-10,6,0,37339,102,24,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4450,0,17930,0
18049,-776,-8218,272,-50,16,4,13914,0,1,4,0,37338,115,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4450,0,17945,0
18059,-788,-8230,292,-51,18,3,13914,2,-1,5,0,37337,114,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,17955,0
18069,-800,-8212,276,-53,13,3,13914,0,1,4,0,37335,121,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4450,0,17965,0
18079,-798,-8212,290,-55,16,9,13915,2,3,4,0,37334,127,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4450,0,17975,0
18089,-778,-8188,258,-55,15,5,13914,-5,-3,6,0,37329,119,24,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4449,0,17991,0
18099,-790,-8216,270,-52,10,4,13916,2,-3,4,0,37329,110,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4451,0,18006,0
