state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
19523,-234,-8276,698,-52,41,18,5371,0,-4,0,0,37574,281,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4026,0,7793,0
19533,-248,-8242,720,-50,39,12,5371,6,3,0,0,37571,280,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,19543,0
19543,-242,-8276,732,-57,43,8,5370,-10,1,1,0,37569,281,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,19564,0
19553,-244,-8248,724,-53,41,9,5372,3,5,0,0,37577,282,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,19584,0
19563,-226,-8266,744,-50,48,8,5370,-1,0,0,0,37590,282,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,19604,0
19573,-206,-8282,724,-49,44,13,5370,1,5,1,0,37591,291,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4024,0,19624,0
19583,-176,-8254,718,-50,37,11,5373,7,-5,0,0,37584,290,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4024,0,19644,0
19593,-204,-8280,712,-49,38,16,5370,0,1,1,0,37577,289,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,19667,0
19603,-230,-8280,726,-54,40,16,5371,2,-3,0,0,37573,289,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,19687,0
19613,-216,-8244,710,-50,43,20,5370,5,5,2,0,37575,283,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4024,0,19707,0
19623,-232,-8262,740,-51,45,19,5371,6,-3,0,0,37574,283,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,19727,0
19633,-232,-8244,754,-50,43,18,5369,3,1,1,0,37575,282,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4024,0,19747,0
19643,-218,-8250,740,-53,46,19,5371,0,5,0,0,37577,280,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,19767,0
19653,-238,-8272,714,-56,40,17,5370,-5,0,1,0,37580,287,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,19787,0
19663,-232,-8270,720,-53,44,24,5371,0,1,0,0,37578,286,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,19807,0
19673,-232,-8308,724,-59,42,22,5370,-2,3,0,0,37577,284,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,19827,0
19683,-212,-8280,728,-54,42,17,5370,-5,-4,0,0,37574,285,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,19847,0
19693,-238,-8258,742,-53,42,23,5369,-1,7,0,0,37575,283,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,19867,0
19703,-230,-8288,706,-56,40,19,5371,1,-4,0,0,37575,283,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4026,0,19887,0
19713,-226,-8252,714,-56,39,18,5369,0,4,0,0,37574,275,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,19907,0
19723,-252,-8274,702,-57,40,19,5371,-1,-1,0,0,37574,276,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,19928,0
19733,-236,-8252,716,-53,40,12,5372,0,-4,0,0,37578,280,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,19948,0
19743,-246,-8284,698,-51,43,14,5371,0,-2,0,0,37578,286,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,19968,0
19753,-200,-8280,732,-52,40,13,5372,0,6,1,0,37580,286,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4026,0,19988,0
19763,-174,-8256,712,-48,47,13,5370,-3,-6,0,0,37582,284,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20008,0
19773,-194,-8268,730,-52,44,11,5371,-2,0,0,0,37585,283,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4027,0,20028,0
19783,-208,-8296,724,-48,42,17,5371,-2,-2,1,0,37586,275,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20048,0
19793,-188,-8266,736,-54,42,18,5370,-14,4,0,0,37582,273,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20068,0
19803,-220,-8250,714,-55,38,20,5371,3,-3,0,0,37585,271,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20088,0
19813,-210,-8300,710,-56,39,17,5371,0,2,0,0,37587,277,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4026,0,20108,0
19823,-226,-8244,742,-58,38,21,5370,-3,-6,1,0,37586,285,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20128,0
19833,-258,-8270,712,-56,45,13,5371,-1,2,1,0,37583,283,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,20148,0
19843,-254,-8266,700,-55,40,14,5371,9,3,1,0,37583,280,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4024,0,20168,0
19853,-258,-8250,722,-56,42,6,5372,0,5,0,0,37583,281,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20188,0
19863,-248,-8266,716,-56,42,10,5372,12,1,0,0,37588,281,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,20208,0
19873,-232,-8266,718,-56,36,12,5371,-8,6,0,0,37584,287,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20228,0
19883,-184,-8254,736,-50,45,9,5372,7,4,0,0,37582,283,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,20247,0
19893,-202,-8262,730,-54,42,14,5371,-3,0,0,0,37576,283,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20268,0
19903,-202,-8282,752,-55,40,17,5371,-1,1,0,0,37576,283,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4026,0,20288,0
19913,-214,-8258,722,-54,41,23,5370,-6,-3,0,0,37576,281,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20307,0
19923,-210,-8264,704,-55,37,23,5371,-2,-4,1,0,37576,288,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4026,0,20328,0
19933,-248,-8256,704,-52,45,16,5371,0,2,0,0,37576,285,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4026,0,20347,0
19943,-236,-8244,724,-54,39,16,5371,-2,1,0,0,37573,286,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4026,0,20368,0
19953,-244,-8242,732,-49,39,17,5371,9,0,0,0,37572,288,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20387,0
19963,-192,-8250,720,-47,41,18,5370,2,5,2,0,37577,296,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,20408,0
19973,-208,-8260,718,-54,44,14,5372,3,4,0,0,37578,294,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4026,0,20428,0
19983,-246,-8272,718,-51,44,16,5371,0,3,1,0,37576,283,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4024,0,20448,0
19993,-222,-8276,718,-48,44,9,5372,10,5,0,0,37571,286,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4024,0,20468,0
20003,-212,-8260,706,-49,44,15,5371,2,0,0,0,37570,282,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20488,0
20013,-216,-8252,732,-51,43,14,5371,1,2,0,0,37571,287,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,20508,0
20023,-186,-8290,742,-46,37,19,5370,-3,-4,1,0,37572,285,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,20528,0
20033,-238,-8272,746,-52,41,18,5370,-8,-2,0,0,37572,280,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,20548,0
20043,-204,-8234,732,-46,35,22,5370,-6,-1,1,0,37570,275,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,20568,0
20053,-198,-8262,728,-51,45,21,5371,-7,1,1,0,37572,282,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,20588,0
20063,-202,-8260,720,-52,42,18,5371,3,-2,0,0,37573,282,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20608,0
20073,-218,-8266,720,-57,46,22,5371,2,-1,1,0,37580,287,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,20628,0
20083,-210,-8284,724,-49,41,17,5371,4,0,0,0,37575,279,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20648,0
20093,-226,-8274,730,-55,39,22,5369,-3,-3,0,0,37573,276,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4025,0,20668,0
20103,-254,-8272,708,-47,39,15,5371,1,-2,1,0,37568,282,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20688,0
20113,-240,-8244,690,-49,40,20,5371,-2,-10,2,0,37571,287,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4026,0,20708,0
20123,-216,-8278,710,-49,40,16,5370,-6,4,0,0,37568,292,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4025,0,20728,0
