state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
17602,8,-8198,682,-39,11,14,9106,-6,6,0,0,37269,93,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4144,0,2467,0
17612,-16,-8242,704,-45,13,11,9106,-1,2,1,0,37270,90,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4144,0,17602,0
17622,-22,-8190,708,-49,10,5,9105,-4,3,1,0,37273,89,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4144,0,17602,0
17632,-16,-8214,722,-50,14,3,9108,8,-4,1,0,37275,92,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4144,0,17602,0
17642,-24,-8242,696,-44,10,-1,9107,-6,-2,2,0,37274,89,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4144,0,17602,0
17652,2,-8204,716,-49,12,-7,9107,0,0,0,0,37280,84,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4143,0,17602,0
17662,-6,-8220,710,-55,12,-7,9105,-3,1,1,0,37282,86,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4143,0,17602,0
17672,20,-8214,728,-56,7,-7,9106,-1,0,3,0,37283,93,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4144,0,17602,0
17682,-20,-8220,720,-55,10,-5,9106,-2,2,0,0,37277,97,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4143,0,17602,0
17692,42,-8228,706,-59,9,-3,9106,-1,3,2,0,37270,99,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4143,0,17602,0
17702,-10,-8230,720,-57,5,-10,9107,8,0,0,0,37272,96,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4143,0,17602,0
17712,12,-8222,704,-58,12,-9,9106,-2,-1,0,0,37276,92,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4143,0,17602,0
