state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
18402,-360,-8290,542,-56,47,16,9876,3,-1,0,0,37556,317,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4128,0,6788,0
18412,-344,-8310,532,-52,39,15,9877,0,1,0,0,37549,318,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4128,0,18422,0
18422,-376,-8276,544,-56,40,18,9876,1,2,5,0,37544,326,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4129,0,18442,0
18432,-358,-8280,532,-52,45,14,9878,3,-6,1,0,37533,328,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4128,0,18462,0
18442,-346,-8300,528,-51,36,15,9876,2,0,0,0,37530,334,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4128,0,18482,0
18452,-330,-8282,524,-54,38,19,9876,0,-3,0,0,37528,326,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4129,0,18503,0
18462,-340,-8292,540,-48,38,10,9875,0,0,0,0,37529,333,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4129,0,18522,0
18472,-332,-8260,546,-54,36,15,9876,-6,3,0,0,37531,331,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4128,0,18544,0
18482,-334,-8266,564,-51,41,14,9875,-9,-6,-1,0,37531,336,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4129,0,18564,0
18492,-344,-8286,528,-53,43,15,9876,1,0,2,0,37528,334,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4128,0,18584,0
18502,-320,-8278,530,-53,42,14,9876,7,1,0,0,37523,335,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4128,0,18606,0
18512,-354,-8264,524,-56,38,17,9877,0,-4,0,0,37523,329,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4128,0,18627,0
18522,-334,-8282,520,-57,44,13,9877,7,-3,1,0,37525,327,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4129,0,18647,0
18532,-350,-8272,540,-49,43,17,9875,-1,2,-1,0,37532,329,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4129,0,18667,0
18542,-352,-8256,530,-52,38,12,9876,-2,-3,0,0,37530,324,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4129,0,18687,0
18552,-342,-8278,534,-48,41,17,9877,0,0,-1,0,37532,323,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4130,0,18707,0
