state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
17787,-388,-8220,456,-56,16,-3,8222,0,0,4,0,37219,69,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4275,0,2606,0
17797,-394,-8216,462,-55,13,-5,8223,1,4,0,0,37215,78,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4275,0,17787,0
17807,-402,-8242,448,-51,11,-5,8221,-2,2,0,0,37214,75,25,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4276,0,17787,0
17817,-400,-8196,478,-45,11,2,8222,0,1,3,0,37215,72,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4275,0,17787,0
17827,-386,-8226,470,-47,12,0,8223,0,-6,3,0,37215,75,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4275,0,17787,0
17837,-448,-8232,478,-48,11,-1,8223,1,-1,3,0,37211,86,26,79,0,0,0,0,0,0,0,0,-32292,0,0,0,4275,0,17787,0
17847,-440,-8212,462,-57,10,-9,8222,-6,-1,2,0,37208,84,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4275,0,17787,0
17857,-432,-8230,468,-48,20,-14,8223,-4,-4,2,0,37212,82,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4275,0,17787,0
17867,-392,-8240,456,-51,13,-14,8222,-7,0,1,0,37216,87,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4276,0,17787,0
17877,-370,-8204,476,-50,11,-10,8222,-2,2,1,0,37209,93,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4275,0,17787,0
17887,-374,-8210,458,-52,11,-3,8223,2,4,0,0,37208,91,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4274,0,17787,0
17897,-404,-8228,472,-53,10,-4,8222,-1,5,1,0,37208,80,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4273,0,17787,0
17907,-414,-8228,472,-49,15,-6,8223,3,2,2,0,37214,80,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4274,0,17787,0
17917,-422,-8226,450,-50,15,-5,8222,-1,0,2,0,37214,96,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4273,0,17797,0
17927,-362,-8242,454,-46,15,-8,8223,0,-2,0,0,37207,92,26,79,0,0,0,0,0,0,0,0,-32293,0,0,0,4273,0,17807,0
