state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
17105,-282,-8282,682,-43,42,5,9034,1,-1,0,0,37470,327,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4106,0,6750,0
17115,-276,-8278,672,-52,39,8,9035,1,1,0,0,37468,328,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4106,0,17125,0
17125,-232,-8282,658,-52,41,22,9035,4,3,0,0,37465,323,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4106,0,17145,0
17135,-244,-8260,650,-55,42,23,9034,-1,4,0,0,37464,334,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4106,0,17165,0
17145,-290,-8234,648,-55,44,26,9035,1,2,-1,0,37465,331,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4105,0,17185,0
17155,-330,-8274,622,-49,44,27,9034,1,-3,0,0,37465,329,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4106,0,17205,0
17165,-330,-8244,640,-48,48,17,9034,-8,1,0,0,37467,323,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4106,0,17225,0
17175,-354,-8258,638,-50,39,16,9036,2,-2,0,0,37463,327,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4106,0,17246,0
17185,-324,-8262,616,-44,39,11,9034,-1,1,1,0,37461,330,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4106,0,17266,0
17195,-310,-8304,616,-49,40,9,9033,-1,-2,-1,0,37464,323,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4106,0,17286,0
17205,-324,-8254,618,-47,41,9,9035,-1,0,2,0,37473,319,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4106,0,17306,0
17215,-330,-8280,634,-44,36,-1,9034,1,-1,0,0,37473,318,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4106,0,17329,0
17225,-356,-8250,670,-38,42,-11,9034,-1,-1,1,0,37468,323,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4106,0,17349,0
