state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
24322,-3596,-7492,1562,-40,25,28,14097,-1,-1,-1,0,37037,111,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6079,0,1094,0
24332,-3540,-7392,1516,-47,16,35,14097,-5,4,-1,0,37037,104,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6079,0,24322,0
24342,-3496,-7400,1508,-48,9,39,14098,0,3,2,0,37043,112,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6081,0,24322,0
24352,-3540,-7474,1578,-59,14,39,14098,-6,3,-2,0,37044,106,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6081,0,24322,0
24362,-3562,-7444,1612,-68,24,44,14096,-3,-1,-3,0,37042,96,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6079,0,24322,0
24372,-3610,-7358,1600,-82,43,48,14097,-5,2,-2,0,37044,85,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6079,0,24322,0
24382,-3574,-7268,1560,-91,64,47,14097,0,-3,-2,0,37042,101,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6080,0,24322,0
24392,-3604,-7138,1468,-98,80,51,14097,-2,-4,0,0,37040,106,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6081,0,24322,0
24402,-3584,-7078,1462,-95,96,46,14098,-3,-1,-2,0,37035,101,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6079,0,24322,0
24412,-3542,-7086,1480,-86,97,49,14097,-4,4,-1,0,37037,87,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6079,0,24322,0
24422,-3484,-7062,1496,-93,92,59,14097,-8,-4,1,0,37041,93,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6080,0,24322,0
24432,-3446,-7062,1466,-92,77,68,14098,-7,4,-4,0,37040,112,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6079,0,24322,0
24442,-3444,-7070,1436,-90,61,79,14097,2,2,0,0,37036,112,28,144,0,0,0,0,0,0,0,0,-32289,0,0,0,6081,0,24323,0
24452,-3412,-7124,1422,-85,38,85,14099,5,3,-2,0,37039,111,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6081,0,24333,0
24462,-3400,-7162,1464,-82,27,89,14097,1,4,-2,0,37045,112,28,144,0,0,0,0,0,0,0,0,-32289,0,0,0,6081,0,24343,0
24472,-3448,-7242,1490,-78,24,79,14098,2,1,-1,0,37046,123,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6079,0,24353,0
24482,-3492,-7268,1528,-82,17,74,14097,-2,0,-3,0,37037,125,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6081,0,24363,0
24492,-3462,-7254,1460,-80,22,63,14097,2,0,0,0,37036,105,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6082,0,24373,0
24502,-3480,-7276,1474,-73,24,49,14097,4,0,-2,0,37042,97,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6081,0,24383,0
24512,-3496,-7272,1490,-60,22,27,14099,3,3,-3,0,37044,103,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6080,0,24393,0
24522,-3500,-7298,1492,-52,23,13,14096,-3,-5,0,0,37038,102,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6081,0,24403,0
24532,-3464,-7290,1510,-42,20,-5,14098,4,0,-2,0,37035,104,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6081,0,24413,0
24542,-3460,-7282,1514,-37,16,-12,14098,-2,1,-1,0,37039,102,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6080,0,24423,0
24552,-3466,-7264,1562,-45,-5,-21,14098,3,0,-4,0,37043,99,28,144,0,0,0,0,0,0,0,0,-32289,0,0,0,6080,0,24433,0
24562,-3460,-7306,1550,-52,-17,-23,14097,0,-1,-1,0,37043,103,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,6081,0,24443,0
