state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
4218,1048,-8098,1074,-58,-91,62,12556,0,0,0,0,36953,77,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5671,0,1096,0
4228,886,-8136,1088,-45,-68,45,12556,-1,-1,-1,0,36952,67,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5669,0,4228,0
4238,874,-8150,1064,-50,-19,24,12557,4,2,0,0,36952,61,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5671,0,4238,0
4248,944,-8138,1088,-48,101,15,12557,7,0,-1,0,36951,63,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5671,0,4248,0
4258,932,-8112,1096,-50,176,7,12556,-2,-3,-1,0,36954,63,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5671,0,4258,0
4268,1036,-8026,1124,-39,210,-16,12557,3,-5,-3,0,36953,72,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5671,0,4268,0
4278,1168,-8050,1156,-42,201,-23,12557,1,-4,-3,0,36956,79,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5671,0,4278,0
4288,1336,-8146,1162,-41,150,-13,12556,-1,1,0,0,36953,71,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5669,0,4288,0
4298,1372,-8118,1172,-49,106,-10,12555,-5,3,-2,0,36954,67,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5670,0,4298,0
4308,1382,-8106,1184,-60,19,14,12556,2,0,-2,0,36957,68,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5670,0,4308,0
4318,1362,-8136,1202,-67,-32,26,12556,-5,-3,0,0,36957,72,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5671,0,4318,0
4328,1226,-8092,1114,-82,-107,36,12556,-3,1,-1,0,36957,78,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5671,0,4328,0
4338,1170,-8052,1002,-82,-125,32,12557,6,2,0,0,36953,73,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,5670,0,4338,0
4348,1044,-8074,898,-69,-109,27,12555,-3,0,-3,0,36961,82,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5669,0,4348,0
4358,994,-8114,920,-57,-85,16,12556,-5,0,0,0,36973,78,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5671,0,4358,0
4368,984,-8068,1078,-35,-21,-1,12557,1,1,0,0,36971,73,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,5670,0,4368,0
4378,992,-8128,1190,-40,23,-19,12556,0,2,-2,0,36963,70,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5670,0,4378,0
4388,1034,-8178,1236,-44,68,-49,12557,0,1,0,0,36950,69,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5670,0,4388,0
4398,1110,-8232,1258,-50,82,-48,12556,0,1,-1,0,36950,66,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5671,0,4398,0
4408,1224,-8166,1238,-63,64,-49,12555,-2,4,-1,0,36950,67,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5670,0,4408,0
4418,1266,-8160,1204,-69,28,-45,12558,2,0,-1,0,36948,68,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5670,0,4418,0
4428,1196,-8094,1184,-77,-31,-47,12556,0,5,-3,0,36949,68,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5669,0,4428,0
4438,1164,-8128,1182,-89,-53,-37,12556,-2,3,0,0,36948,63,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5668,0,4438,0
4448,988,-8154,1112,-103,-18,-14,12557,3,-1,0,0,36952,67,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5668,0,4448,0
4458,856,-8090,1088,-100,27,-21,12556,-8,4,-2,0,36953,79,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5668,0,4458,0
4468,840,-8042,1026,-90,114,-50,12556,-2,-1,-1,0,36954,80,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5667,0,4468,0
4478,906,-8034,970,-81,173,-48,12557,1,2,-1,0,36949,72,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5669,0,4478,0
4488,1058,-8000,1010,-60,220,-52,12555,-3,1,-1,0,36946,72,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5669,0,4488,0
4498,1142,-8022,1084,-52,219,-44,12556,-3,-4,0,0,36950,80,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5669,0,4498,0
4508,1290,-8090,1278,-54,170,-38,12554,-7,4,-1,0,36953,76,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5669,0,4508,0
4518,1342,-8140,1364,-64,126,-27,12557,9,1,0,0,36957,71,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5667,0,4518,0
4528,1360,-8086,1306,-75,26,-13,12556,-1,-5,-4,0,36955,58,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5667,0,4528,0
4538,1346,-8046,1192,-73,-33,6,12557,5,0,-1,0,36952,60,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5665,0,4538,0
4548,1186,-7992,1016,-52,-109,30,12556,0,-3,-1,0,36949,65,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5664,0,4548,0
4558,1070,-8030,984,-33,-130,39,12556,-1,5,0,0,36949,68,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5662,0,4558,0
4568,930,-8104,1028,-5,-109,32,12557,4,-2,-1,0,36948,70,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5663,0,4568,0
4578,904,-8166,1064,6,-66,21,12556,1,6,-1,0,36949,68,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5662,0,4578,0
4588,916,-8274,1194,-3,15,19,12557,3,-5,-1,0,36951,67,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,5663,0,4588,0
