state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
16044,60,-8220,438,-23,11,139,12343,9,3,2,0,37005,104,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4202,0,3222,0
16054,100,-8252,502,-15,0,151,12343,0,4,4,0,37006,109,24,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4203,0,16044,0
16064,40,-8252,594,-18,-36,174,12343,3,-7,3,0,37000,107,24,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4205,0,16044,0
16074,-72,-8214,622,-17,-54,182,12343,4,1,6,0,36996,110,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4207,0,16044,0
16084,-98,-8244,642,-24,-49,174,12341,-4,-6,6,0,36994,111,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4211,0,16044,0
16094,-104,-8252,596,-29,-23,167,12343,3,3,2,0,36998,100,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4213,0,16044,0
16104,-246,-8236,584,-35,1,137,12341,-3,0,3,0,37000,95,24,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4214,0,16044,0
16114,-280,-8254,574,-32,22,114,12342,-5,-4,5,0,36999,98,24,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4216,0,16044,0
16124,-160,-8244,598,-34,23,87,12343,-1,-1,3,0,36997,107,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4218,0,16044,0
16134,-186,-8218,606,-44,17,87,12343,7,-1,5,0,36996,108,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4219,0,16044,0
16144,-150,-8266,616,-53,15,73,12343,3,-1,0,0,36999,98,24,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4220,0,16044,0
16154,-200,-8244,598,-57,15,61,12343,2,-3,3,0,36999,92,24,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4220,0,16044,0
16164,-188,-8234,524,-56,19,48,12344,0,0,3,0,36998,107,24,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4221,0,16048,0
16174,-160,-8240,512,-47,22,46,12343,0,-1,4,0,36994,113,24,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4222,0,16058,0
16184,-96,-8230,546,-51,29,39,12342,-8,3,4,0,36995,113,24,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4224,0,16068,0
16194,-74,-8236,562,-44,24,41,12343,6,3,2,0,36995,105,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4225,0,16078,0
16204,-50,-8228,598,-52,16,46,12344,3,5,4,0,36994,103,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4223,0,16088,0
16214,-46,-8226,604,-54,12,51,12341,-11,0,3,0,36992,102,24,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4225,0,16098,0
