state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
17998,-154,-8266,532,-53,43,18,6074,0,-2,0,0,37386,285,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4031,0,7352,0
18008,-168,-8286,510,-56,39,13,6076,4,5,2,0,37384,289,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4031,0,18018,0
18018,-152,-8258,492,-47,42,13,6073,1,-3,1,0,37383,290,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4032,0,18038,0
18028,-148,-8252,506,-48,43,5,6075,15,11,0,0,37379,288,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4032,0,18058,0
18038,-160,-8298,500,-45,40,3,6074,-2,3,2,0,37382,284,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4032,0,18079,0
18048,-146,-8298,498,-42,46,5,6073,-3,-2,-1,0,37382,280,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4032,0,18099,0
18058,-128,-8282,522,-43,41,8,6073,-4,-2,1,0,37382,282,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4031,0,18119,0
18068,-110,-8300,520,-45,33,6,6074,2,0,1,0,37386,291,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4030,0,18142,0
18078,-140,-8302,538,-43,35,11,6075,1,8,0,0,37387,291,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4031,0,18161,0
18088,-130,-8282,528,-49,44,8,6075,7,-1,0,0,37387,286,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4031,0,18181,0
18098,-120,-8280,530,-53,47,15,6075,-2,7,-1,0,37386,288,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4031,0,18201,0
18108,-104,-8272,528,-52,42,16,6073,-10,-3,0,0,37388,290,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4030,0,18221,0
18118,-100,-8266,524,-49,35,18,6075,-3,-4,3,0,37385,293,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4030,0,18244,0
18128,-136,-8320,506,-54,41,17,6074,2,0,1,0,37383,290,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4030,0,18264,0
18138,-156,-8290,528,-57,39,19,6075,9,4,1,0,37378,287,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4030,0,18284,0
18148,-152,-8258,490,-48,38,15,6074,-1,1,0,0,37376,286,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4031,0,18304,0
18158,-176,-8294,480,-47,42,11,6073,0,-4,1,0,37376,285,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4031,0,18324,0
18168,-196,-8276,524,-46,35,6,6074,3,2,1,0,37376,288,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,4030,0,18344,0
