state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
8639,-326,-8172,1016,-51,15,4,12213,-2,-1,-6,0,36931,97,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4303,0,2580,0
8649,-296,-8184,1000,-47,9,9,12212,-3,5,-4,0,36933,85,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4303,0,8639,0
8659,-318,-8164,1000,-46,12,8,12213,1,-1,-5,0,36932,106,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4303,0,8639,0
8669,-312,-8186,1018,-45,16,11,12212,3,-2,-3,0,36936,115,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4303,0,8639,0
8679,-336,-8184,1026,-49,15,10,12213,7,2,-6,0,36930,123,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4304,0,8639,0
8689,-346,-8190,1018,-50,15,8,12214,1,2,-3,0,36929,111,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4303,0,8639,0
8699,-348,-8170,996,-48,22,6,12213,7,3,-4,0,36930,109,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4303,0,8639,0
8709,-328,-8234,1004,-45,18,4,12211,-7,0,-5,0,36930,110,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4302,0,8639,0
8719,-312,-8172,1016,-51,16,11,12212,-5,-4,-3,0,36928,115,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4303,0,8639,0
8729,-330,-8160,1004,-45,13,6,12213,0,-1,-4,0,36927,123,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4303,0,8639,0
8739,-348,-8196,988,-47,10,2,12214,5,4,-3,0,36932,119,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4304,0,8639,0
8749,-310,-8170,1004,-52,15,0,12212,-5,-6,-3,0,36935,123,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4303,0,8639,0
8759,-320,-8184,1002,-50,19,3,12212,3,-3,-6,0,36934,128,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4302,0,8640,0
8769,-302,-8204,1016,-50,14,6,12212,-9,-2,-5,0,36929,125,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4303,0,8650,0
8779,-302,-8182,1042,-47,18,9,12213,2,-6,-4,0,36930,117,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4304,0,8660,0
8789,-286,-8196,1038,-54,13,9,12214,1,3,-4,0,36934,120,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4302,0,8670,0
8799,-300,-8202,1008,-50,18,11,12213,6,0,-4,0,36936,122,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4303,0,8680,0
8809,-300,-8162,1002,-54,13,14,12212,-2,1,-6,0,36934,128,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4302,0,8690,0
8819,-320,-8172,1000,-52,12,11,12212,-5,-2,-2,0,36933,123,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4302,0,8700,0
