state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
10445,-74,-8224,1070,-47,41,16,9743,1,-3,-1,0,37341,287,26,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3965,0,6718,0
10455,-32,-8214,1064,-51,40,15,9744,0,2,-2,0,37342,291,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3963,0,10465,0
10465,-26,-8236,1084,-46,39,13,9743,-2,-4,0,0,37344,289,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3963,0,10485,0
10475,-34,-8208,1066,-48,42,15,9744,0,1,0,0,37344,299,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3963,0,10505,0
10485,-50,-8202,1092,-56,43,17,9742,-4,-2,0,0,37344,291,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3963,0,10525,0
10495,-60,-8250,1040,-45,43,15,9742,-2,-3,0,0,37344,288,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3964,0,10545,0
10505,-64,-8220,1072,-46,40,19,9743,2,-1,-2,0,37346,286,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3964,0,10565,0
10515,-56,-8218,1054,-47,41,19,9743,0,-5,0,0,37354,288,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3964,0,10586,0
10525,-56,-8232,1068,-42,37,14,9744,2,-3,-1,0,37354,291,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3964,0,10606,0
10535,-80,-8208,1072,-46,37,19,9744,0,-3,0,0,37353,295,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3963,0,10629,0
10545,-48,-8214,1094,-49,40,20,9744,4,3,0,0,37344,291,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3964,0,10649,0
10555,-56,-8214,1096,-53,42,15,9744,3,-2,0,0,37346,289,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3964,0,10669,0
10565,-46,-8250,1088,-50,46,23,9742,-4,0,1,0,37346,289,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3964,0,10689,0
10575,-40,-8222,1074,-57,42,17,9743,-6,0,0,0,37346,288,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3963,0,10709,0
10585,-40,-8226,1056,-56,47,27,9744,4,-3,0,0,37347,281,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3963,0,10729,0
10595,-46,-8250,1082,-55,44,30,9743,5,2,0,0,37349,280,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3964,0,10749,0
10605,-10,-8244,1090,-57,40,30,9744,6,1,-2,0,37354,279,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3964,0,10769,0
