state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
8897,296,-8218,924,-47,34,6,12797,-3,-2,0,0,37291,301,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3881,0,6736,0
8907,318,-8252,922,-45,43,5,12798,6,-1,0,0,37291,307,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3881,0,8917,0
8917,314,-8222,912,-47,47,5,12798,6,-3,-1,0,37291,320,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3881,0,8937,0
8927,308,-8252,928,-44,42,5,12798,-4,1,-1,0,37292,321,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3881,0,8957,0
8937,330,-8226,944,-55,37,8,12796,-5,-10,0,0,37291,321,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3881,0,8977,0
8947,332,-8232,906,-52,37,13,12796,-9,-3,-1,0,37292,310,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3882,0,8997,0
8957,334,-8254,896,-51,42,12,12798,2,-4,-1,0,37292,314,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3880,0,9017,0
8967,312,-8236,910,-48,42,14,12799,5,-3,-2,0,37296,316,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3880,0,9039,0
8977,296,-8226,918,-51,40,14,12797,0,-4,-1,0,37295,315,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3882,0,9059,0
8987,314,-8226,938,-51,47,17,12797,4,-2,0,0,37295,317,25,79,0,0,0,0,0,0,0,0,-32319,0,0,0,3880,0,9081,0
8997,320,-8232,910,-54,38,20,12797,-1,-1,-1,0,37289,320,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3881,0,9102,0
9007,330,-8232,910,-51,38,14,12798,4,2,0,0,37290,316,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3880,0,9122,0
9017,310,-8250,916,-46,45,19,12797,-3,1,0,0,37288,316,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3882,0,9141,0
9027,298,-8196,894,-49,42,21,12798,0,1,-3,0,37288,310,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3880,0,9161,0
9037,300,-8240,912,-49,41,17,12797,1,1,-1,0,37287,302,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3882,0,9182,0
9047,326,-8242,900,-49,40,17,12798,6,6,-2,0,37286,301,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3882,0,9202,0
9057,338,-8248,944,-52,41,21,12797,-3,3,0,0,37291,303,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3882,0,9222,0
9067,336,-8216,942,-55,42,20,12798,1,6,-2,0,37297,311,25,79,0,0,0,0,0,0,0,0,-32317,0,0,0,3882,0,9242,0
9077,300,-8244,928,-51,45,19,12797,-4,-2,-2,0,37302,308,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3881,0,9262,0
9087,310,-8264,920,-55,41,16,12797,3,1,0,0,37300,309,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3882,0,9282,0
9097,292,-8230,880,-51,38,21,12799,9,2,0,0,37297,310,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3881,0,9302,0
9107,298,-8216,886,-52,41,19,12798,1,5,-1,0,37289,308,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3882,0,9322,0
9117,310,-8254,900,-53,42,15,12800,6,5,0,0,37289,308,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3882,0,9342,0
9127,302,-8214,886,-44,40,10,12797,-1,-4,-3,0,37289,317,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3882,0,9362,0
9137,324,-8248,884,-45,42,11,12798,1,-1,0,0,37286,325,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3881,0,9382,0
9147,322,-8244,910,-50,44,12,12798,6,-1,-2,0,37281,318,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3881,0,9402,0
9157,310,-8246,914,-44,38,15,12798,1,1,0,0,37280,318,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3881,0,9422,0
9167,296,-8244,916,-43,35,13,12798,-3,1,0,0,37282,315,25,79,0,0,0,0,0,0,0,0,-32318,0,0,0,3880,0,9442,0
