state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
8228,-1318,-8094,800,-46,14,14,12279,-1,0,1,0,36832,91,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,2683,0
8238,-1308,-8120,794,-47,12,10,12278,-1,0,3,0,36821,95,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8238,0
8248,-1302,-8092,794,-49,15,9,12279,-1,-1,3,0,36817,93,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8248,0
8258,-1308,-8084,790,-49,12,10,12278,0,4,1,0,36814,95,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8258,0
8268,-1290,-8108,778,-46,15,6,12278,-6,1,2,0,36819,89,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8268,0
8278,-1304,-8102,798,-52,17,5,12279,9,3,3,0,36821,91,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8278,0
8288,-1312,-8114,806,-43,20,6,12280,5,2,4,0,36823,94,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4611,0,8289,0
8298,-1296,-8112,792,-49,14,7,12279,-1,1,3,0,36816,101,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8308,0
8308,-1292,-8110,804,-48,12,6,12279,-3,3,4,0,36813,106,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8328,0
8318,-1292,-8108,816,-48,21,5,12278,-2,-1,2,0,36811,109,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4609,0,8348,0
8328,-1290,-8100,758,-51,16,9,12278,0,2,3,0,36813,102,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8365,0
8338,-1296,-8100,776,-50,16,5,12278,-3,1,3,0,36816,99,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8376,0
8348,-1294,-8090,770,-48,14,8,12280,-2,-4,3,0,36817,91,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4609,0,8386,0
8358,-1290,-8108,790,-48,16,4,12279,0,3,4,0,36815,89,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4609,0,8396,0
8368,-1298,-8098,802,-48,12,3,12278,-2,0,0,0,36818,91,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8407,0
8378,-1288,-8088,782,-45,14,6,12280,2,-3,2,0,36815,100,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8426,0
8388,-1284,-8100,804,-47,14,8,12279,1,-2,3,0,36815,94,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4609,0,8436,0
8398,-1310,-8094,786,-47,13,6,12279,-4,-2,1,0,36810,90,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4609,0,8447,0
8408,-1298,-8106,778,-47,11,3,12280,0,0,2,0,36812,89,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8458,0
8418,-1292,-8086,798,-47,15,4,12279,1,0,0,0,36814,91,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4609,0,8468,0
8428,-1284,-8100,786,-47,13,4,12278,-7,1,2,0,36812,93,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4609,0,8478,0
8438,-1300,-8100,762,-44,17,8,12278,-6,1,3,0,36810,96,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4609,0,8488,0
8448,-1300,-8114,784,-41,12,9,12279,-5,1,3,0,36808,100,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8500,0
8458,-1276,-8112,814,-45,16,13,12278,-1,0,4,0,36809,103,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4611,0,8511,0
8468,-1304,-8132,804,-46,13,5,12279,4,1,4,0,36818,105,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4611,0,8521,0
8478,-1316,-8094,798,-47,15,7,12278,-4,1,3,0,36819,106,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8531,0
8488,-1310,-8110,802,-46,9,5,12279,-2,0,4,0,36820,105,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4609,0,8541,0
8498,-1296,-8118,820,-50,9,-1,12279,0,1,1,0,36811,105,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8551,0
8508,-1310,-8108,784,-53,14,4,12278,4,-2,4,0,36809,94,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8561,0
8518,-1280,-8124,788,-52,12,6,12279,-4,3,2,0,36809,94,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4610,0,8571,0
8528,-1270,-8094,774,-52,18,3,12279,-1,1,2,0,36810,95,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4609,0,8583,0
