state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
9460,-1120,-8100,908,-51,15,4,2616,0,1,3,0,36729,61,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4546,0,2609,0
9470,-1138,-8130,932,-50,17,9,2616,-1,1,3,0,36731,54,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4547,0,9460,0
9480,-1126,-8108,920,-55,15,1,2615,-1,2,1,0,36737,58,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4547,0,9460,0
9490,-1102,-8128,924,-55,13,5,2617,0,0,1,0,36737,64,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4547,0,9460,0
9500,-1128,-8130,900,-55,17,1,2616,-8,1,1,0,36735,73,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4546,0,9460,0
9510,-1080,-8110,874,-55,22,-4,2616,0,2,2,0,36721,77,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4548,0,9460,0
9520,-982,-8110,862,-54,13,8,2617,2,0,0,0,36722,74,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4547,0,9460,0
9530,-1000,-8126,868,-47,15,16,2616,1,-3,0,0,36724,76,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4547,0,9460,0
9540,-1096,-8134,900,-52,8,17,2616,-7,2,2,0,36725,81,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4546,0,9460,0
9550,-1128,-8110,900,-49,11,23,2618,7,-1,2,0,36727,83,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4547,0,9460,0
9560,-1136,-8138,908,-49,14,12,2617,-1,-1,0,0,36729,69,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4547,0,9460,0
9570,-1158,-8090,902,-47,18,13,2617,5,-1,2,0,36733,61,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4547,0,9460,0
9580,-1096,-8108,892,-49,12,13,2616,-1,-6,0,0,36735,58,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4548,0,9461,0
9590,-1124,-8136,882,-51,15,3,2616,7,5,2,0,36728,68,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4547,0,9470,0
9600,-1094,-8122,880,-52,14,7,2617,5,0,2,0,36724,71,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4547,0,9481,0
9610,-1072,-8114,882,-49,15,9,2617,2,2,2,0,36725,71,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4547,0,9491,0
9620,-1046,-8104,916,-50,15,10,2615,-3,0,1,0,36728,61,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4547,0,9501,0
9630,-1080,-8124,916,-50,10,17,2616,0,0,0,0,36727,63,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4547,0,9511,0
9640,-1122,-8094,924,-59,14,22,2617,5,0,0,0,36725,69,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4548,0,9521,0
9650,-1114,-8120,882,-56,13,15,2616,0,-2,0,0,36725,75,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4547,0,9531,0
9660,-1096,-8134,854,-51,18,17,2616,-1,-2,1,0,36729,82,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4548,0,9550,0
9670,-1130,-8094,848,-50,15,13,2615,-8,2,2,0,36731,73,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4547,0,9570,0
9680,-1084,-8128,888,-47,16,12,2616,8,2,0,0,36730,77,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4548,0,9590,0
9690,-1130,-8128,894,-51,17,9,2617,5,-3,2,0,36730,81,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4548,0,9607,0
9700,-1108,-8114,872,-51,13,6,2616,1,0,1,0,36729,74,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4549,0,9617,0
9710,-1098,-8122,894,-51,16,8,2616,-1,-2,2,0,36731,67,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4547,0,9627,0
9720,-1092,-8072,898,-47,16,10,2616,-1,0,3,0,36731,71,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4548,0,9637,0
9730,-1064,-8136,886,-49,20,11,2616,2,1,0,0,36728,73,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4548,0,9647,0
9740,-1086,-8128,852,-52,16,14,2616,5,0,1,0,36728,70,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4548,0,9657,0
9750,-1086,-8114,856,-48,13,17,2616,0,1,2,0,36730,65,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4548,0,9667,0
9760,-1130,-8118,896,-46,15,16,2616,1,-3,5,0,36733,62,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4548,0,9677,0
9770,-1124,-8148,912,-50,12,13,2616,-1,2,5,0,36739,67,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4549,0,9687,0
9780,-1130,-8128,890,-52,14,12,2616,-8,1,4,0,36739,64,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4548,0,9697,0
9790,-1136,-8132,888,-56,14,12,2617,10,1,3,0,36741,74,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4548,0,9707,0
9800,-1134,-8114,862,-49,14,8,2617,0,2,2,0,36734,74,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4548,0,9717,0
9810,-1140,-8160,886,-52,15,4,2616,5,0,4,0,36731,71,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4548,0,9727,0
9820,-1092,-8120,894,-51,13,4,2616,3,2,2,0,36731,70,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4549,0,9739,0
9830,-1096,-8126,886,-56,16,4,2615,-11,0,0,0,36733,67,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4549,0,9758,0
9840,-1110,-8108,898,-55,12,5,2616,1,-1,1,0,36734,62,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4549,0,9768,0
9850,-1102,-8120,874,-52,16,2,2615,0,-4,0,0,36733,65,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4549,0,9779,0
9860,-1112,-8126,874,-53,13,3,2616,0,2,0,0,36731,59,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4548,0,9789,0
9870,-1088,-8120,898,-49,9,3,2617,0,1,5,0,36734,62,25,144,0,0,0,0,0,0,0,0,-32296,0,0,0,4548,0,9799,0
9880,-1106,-8126,876,-51,15,8,2616,0,0,0,0,36738,72,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4549,0,9809,0
9890,-1112,-8114,888,-50,14,7,2616,-5,-1,1,0,36738,76,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4549,0,9819,0
