state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
15507,-102,-8192,834,-45,14,5,11042,-2,3,0,0,36680,76,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,2628,0
15517,-110,-8188,860,-42,10,8,11042,-6,-5,0,0,36678,74,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4183,0,15507,0
15527,-104,-8218,836,-42,15,9,11042,-6,3,-1,0,36675,69,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4183,0,15507,0
15537,-102,-8196,860,-43,16,3,11043,0,-2,0,0,36678,56,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4182,0,15507,0
15547,-126,-8220,828,-49,8,6,11043,0,1,-1,0,36681,69,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,15507,0
15557,-98,-8194,850,-43,11,3,11043,0,2,-1,0,36676,73,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,15507,0
15567,-90,-8196,866,-43,12,6,11044,-2,-3,0,0,36675,63,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4182,0,15507,0
15577,-106,-8206,858,-49,10,4,11043,3,1,0,0,36681,56,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4182,0,15507,0
15587,-110,-8178,834,-45,11,4,11044,1,-3,-2,0,36685,68,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4183,0,15507,0
15597,-122,-8198,858,-46,11,5,11043,1,3,1,0,36681,70,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4183,0,15507,0
15607,-98,-8200,816,-47,7,3,11043,9,0,0,0,36684,77,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4183,0,15507,0
15617,-102,-8194,844,-51,10,-3,11043,2,-4,-1,0,36688,70,25,144,0,0,0,0,0,0,0,0,-32295,0,0,0,4182,0,15507,0
15627,-118,-8194,854,-50,10,3,11043,-1,-5,-2,0,36692,75,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4182,0,15508,0
15637,-112,-8208,830,-47,13,0,11044,3,-3,-2,0,36682,64,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4183,0,15517,0
15647,-78,-8194,844,-52,14,3,11043,2,-1,0,0,36677,75,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,15528,0
15657,-90,-8202,844,-42,16,9,11043,-1,-3,0,0,36677,64,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,15538,0
15667,-96,-8212,816,-44,14,13,11042,-6,2,-1,0,36681,72,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4183,0,15548,0
15677,-86,-8204,848,-44,17,8,11041,-7,0,0,0,36680,80,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4182,0,15558,0
15687,-94,-8184,840,-46,18,11,11044,6,2,0,0,36678,76,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,15568,0
15697,-96,-8192,846,-44,11,4,11042,1,3,0,0,36678,72,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,15578,0
15707,-132,-8212,868,-39,13,6,11043,-2,2,-2,0,36682,54,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4185,0,15597,0
15717,-124,-8188,870,-49,13,10,11043,-4,1,-1,0,36689,59,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,15607,0
15727,-112,-8184,858,-47,10,8,11042,-2,-4,0,0,36682,65,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,15620,0
15737,-102,-8208,846,-44,16,9,11043,2,0,-1,0,36682,65,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,15630,0
15747,-96,-8164,830,-44,18,7,11043,-1,4,0,0,36681,73,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,15640,0
15757,-126,-8222,816,-43,12,3,11043,0,-4,0,0,36686,66,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4184,0,15656,0
15767,-110,-8224,900,-45,10,5,11042,-5,1,-1,0,36682,70,25,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4183,0,15671,0
