state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
16541,-112,-8288,596,-52,45,17,9788,-5,-2,-2,0,37113,297,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,6664,0
16551,-124,-8290,572,-52,36,11,9789,0,-4,0,0,37112,297,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,16562,0
16561,-116,-8278,586,-48,43,16,9789,0,-4,-1,0,37110,297,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4052,0,16582,0
16571,-142,-8270,604,-47,38,20,9788,1,4,0,0,37110,287,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,16602,0
16581,-118,-8274,604,-49,41,20,9789,1,-3,0,0,37112,286,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,16622,0
16591,-132,-8280,616,-56,40,20,9790,6,-2,0,0,37115,297,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,16642,0
16601,-130,-8252,610,-51,37,15,9789,3,3,0,0,37120,300,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,16662,0
16611,-120,-8290,594,-55,43,21,9789,0,-2,0,0,37121,308,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,16683,0
16621,-142,-8286,570,-52,40,21,9789,1,-3,0,0,37118,303,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,16703,0
16631,-140,-8240,580,-54,43,21,9788,0,-3,0,0,37121,314,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4053,0,16723,0
16641,-116,-8302,568,-49,40,15,9790,0,5,-1,0,37123,311,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,16743,0
16651,-126,-8272,568,-52,40,20,9789,0,3,-2,0,37121,311,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,16766,0
16661,-134,-8268,580,-53,37,21,9788,-2,3,0,0,37112,304,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4052,0,16786,0
16671,-162,-8272,594,-51,42,19,9788,-1,-3,-1,0,37111,307,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,16806,0
16681,-154,-8258,590,-47,38,18,9789,-4,3,-1,0,37112,304,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,16826,0
16691,-150,-8238,574,-51,40,10,9789,-2,1,0,0,37113,299,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,16846,0
16701,-122,-8282,582,-52,38,12,9790,6,1,-1,0,37113,293,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,16866,0
16711,-118,-8308,590,-54,39,14,9789,-1,-2,0,0,37112,296,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,16886,0
16721,-132,-8258,568,-50,44,12,9789,-3,-1,-2,0,37113,297,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,16906,0
16731,-130,-8274,588,-52,38,10,9790,3,1,0,0,37118,300,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4055,0,16926,0
16741,-142,-8268,594,-45,37,11,9789,1,4,0,0,37122,299,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,16946,0
16751,-150,-8236,596,-46,40,15,9788,1,-2,0,0,37122,301,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,16966,0
16761,-128,-8306,588,-46,38,15,9789,-4,-1,-1,0,37122,295,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4052,0,16986,0
16771,-140,-8306,594,-46,42,10,9788,-1,2,-2,0,37114,299,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17006,0
16781,-124,-8274,586,-46,41,11,9788,-5,-2,0,0,37116,304,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17026,0
16791,-102,-8314,586,-47,41,14,9788,-5,3,0,0,37117,307,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4055,0,17046,0
16801,-130,-8290,598,-46,39,12,9789,6,0,0,0,37115,302,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17066,0
16811,-146,-8276,604,-49,43,15,9788,-3,0,-1,0,37116,300,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4052,0,17086,0
16821,-114,-8270,604,-50,43,12,9790,8,4,0,0,37118,290,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,17106,0
16831,-90,-8282,590,-45,44,17,9789,3,1,0,0,37119,290,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17126,0
16841,-120,-8266,574,-49,45,20,9789,0,-5,-1,0,37124,287,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17146,0
16851,-126,-8300,588,-47,42,21,9788,-3,0,0,0,37124,299,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17166,0
16861,-130,-8308,572,-51,45,21,9789,1,3,-1,0,37123,297,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17186,0
16871,-132,-8282,584,-50,43,23,9789,0,-1,0,0,37118,298,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17206,0
16881,-148,-8274,596,-49,41,21,9789,1,2,0,0,37117,303,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17226,0
16891,-150,-8286,576,-52,42,18,9788,-7,-3,1,0,37118,313,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17246,0
16901,-150,-8266,584,-46,39,19,9789,-2,1,0,0,37119,305,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17267,0
16911,-134,-8288,602,-45,39,17,9788,-4,0,-1,0,37118,304,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,17287,0
16921,-132,-8286,600,-50,43,15,9788,0,2,0,0,37119,302,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4055,0,17307,0
16931,-136,-8284,600,-47,37,18,9788,-1,0,-1,0,37120,308,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,17327,0
16941,-156,-8282,590,-49,40,11,9789,0,4,0,0,37120,303,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,17346,0
16951,-126,-8280,572,-50,40,13,9788,0,-2,0,0,37123,300,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4053,0,17367,0
16961,-140,-8280,590,-43,44,13,9788,1,-1,-1,0,37122,296,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4055,0,17386,0
16971,-138,-8290,596,-47,41,16,9789,7,-3,0,0,37123,296,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4054,0,17406,0
