state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
4202,-8170,-532,248,-59,32,-40,2254,0,-4,-2,0,37505,87,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8011,0,619,0
4212,-8032,-474,234,-44,-15,-38,2254,1,1,-2,0,37508,71,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4202,0
4222,-8024,-574,290,-36,-33,-26,2255,3,-2,-1,0,37511,77,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8012,0,4202,0
4232,-7996,-600,392,-32,-46,-6,2253,-6,-1,-1,0,37509,87,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8011,0,4202,0
4242,-7988,-594,458,-31,-55,10,2255,9,4,-2,0,37504,86,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4202,0
4252,-8060,-574,620,-37,-31,32,2254,-1,0,0,0,37500,82,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4202,0
4262,-8078,-554,664,-36,-6,39,2253,-7,2,-2,0,37515,65,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8011,0,4202,0
4272,-8122,-500,690,-53,19,43,2254,1,3,0,0,37518,77,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4202,0
4282,-8206,-490,684,-64,51,41,2254,1,4,0,0,37510,84,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4202,0
4292,-8224,-430,530,-66,71,24,2254,-10,-2,-2,0,37499,79,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4202,0
4302,-8234,-428,460,-78,61,15,2254,2,1,0,0,37503,81,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8011,0,4202,0
4312,-8210,-384,332,-63,49,-4,2255,4,-1,-3,0,37509,73,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8009,0,4202,0
4322,-8222,-404,266,-58,25,-12,2255,1,-2,-1,0,37506,80,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4202,0
4332,-8144,-454,252,-40,-15,-20,2254,4,-3,0,0,37503,80,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8011,0,4212,0
4342,-8072,-430,268,-32,-26,-17,2254,-3,3,-2,0,37505,76,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8009,0,4222,0
4352,-8080,-508,444,-35,-57,-8,2254,3,1,0,0,37509,81,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4232,0
4362,-8090,-526,550,-31,-47,-5,2254,2,1,0,0,37519,86,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8011,0,4242,0
4372,-8110,-484,724,-49,-16,-3,2253,0,5,0,0,37513,87,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4252,0
4382,-8124,-550,712,-61,8,6,2255,2,-2,-2,0,37514,75,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4262,0
4392,-8048,-552,706,-73,64,13,2254,0,-1,-2,0,37507,71,22,144,0,0,0,0,0,0,0,0,-32298,0,0,0,8011,0,4272,0
4402,-8030,-548,614,-72,90,32,2254,-5,0,0,0,37506,83,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4282,0
4412,-8218,-422,462,-84,74,33,2255,7,-3,-2,0,37503,84,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4292,0
4422,-8206,-440,384,-69,87,16,2254,3,2,0,0,37497,74,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8012,0,4302,0
4432,-8190,-452,116,-65,23,6,2255,2,-2,0,0,37501,61,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8012,0,4312,0
4442,-8218,-462,230,-55,-21,-4,2253,0,2,-3,0,37505,80,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4322,0
4452,-8138,-466,378,-29,-19,-10,2254,1,-2,0,0,37499,84,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8010,0,4332,0
4462,-8162,-534,480,-37,-43,-14,2253,-4,1,-3,0,37495,66,22,144,0,0,0,0,0,0,0,0,-32299,0,0,0,8011,0,4342,0
