state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
18109,-528,-8192,832,-24,54,47,10040,0,-2,0,0,37273,109,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4423,0,3413,0
18119,-518,-8210,920,-36,54,66,10039,1,-1,-2,0,37273,116,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4424,0,18109,0
18129,-496,-8206,960,-52,62,102,10039,-6,-3,0,0,37276,112,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4426,0,18109,0
18139,-522,-8178,946,-56,53,131,10039,-7,-4,-3,0,37275,104,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4426,0,18109,0
18149,-508,-8178,936,-78,25,170,10039,2,-6,-1,0,37271,100,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4428,0,18109,0
18159,-564,-8204,912,-88,6,190,10040,4,2,0,0,37269,108,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4430,0,18109,0
18169,-750,-8180,824,-98,-3,195,10040,0,4,0,0,37280,108,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4433,0,18109,0
18179,-874,-8200,824,-98,4,191,10040,5,0,0,0,37284,101,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4435,0,18109,0
18189,-942,-8176,726,-98,9,162,10040,3,0,-2,0,37283,96,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4438,0,18109,0
18199,-894,-8192,740,-88,20,142,10041,5,1,-1,0,37277,95,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4439,0,18109,0
18209,-832,-8186,718,-81,15,128,10040,0,1,-1,0,37275,99,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4441,0,18109,0
18219,-820,-8152,754,-79,8,118,10040,2,0,-1,0,37276,99,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4442,0,18109,0
18229,-836,-8172,780,-78,-5,112,10039,3,1,0,0,37277,99,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4443,0,18115,0
18239,-796,-8148,808,-84,-2,101,10040,4,2,-2,0,37276,101,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4445,0,18125,0
18249,-848,-8154,762,-83,2,91,10039,-1,0,-2,0,37273,113,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4446,0,18135,0
18259,-938,-8146,748,-83,8,74,10040,0,-4,0,0,37274,113,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4447,0,18145,0
18269,-878,-8146,666,-78,4,54,10040,0,2,0,0,37274,112,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4447,0,18155,0
18279,-870,-8204,614,-65,11,44,10040,-2,1,0,0,37280,108,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4448,0,18165,0
18289,-898,-8162,652,-50,14,29,10041,0,4,-2,0,37275,103,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4448,0,18175,0
18299,-858,-8186,686,-49,13,18,10039,-1,-1,-1,0,37276,102,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,18185,0
18309,-788,-8154,750,-47,18,11,10040,5,2,-1,0,37273,103,24,79,0,0,0,0,0,0,0,0,-32295,0,0,0,4449,0,18195,0
18319,-786,-8154,818,-49,19,12,10039,-8,-1,0,0,37273,108,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,18205,0
18329,-752,-8194,816,-52,15,14,10041,8,-2,-1,0,37271,105,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4448,0,18215,0
18339,-720,-8182,772,-56,13,17,10039,0,1,-1,0,37270,101,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4449,0,18225,0
18349,-718,-8178,818,-56,9,28,10039,1,1,-1,0,37273,97,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4450,0,18235,0
18359,-730,-8148,790,-62,8,42,10039,0,0,0,0,37274,96,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4450,0,18245,0
18369,-788,-8168,742,-65,11,45,10040,0,3,0,0,37272,95,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4450,0,18255,0
18379,-772,-8184,704,-65,12,44,10040,3,0,-2,0,37272,104,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4451,0,18265,0
18389,-820,-8132,708,-55,12,42,10041,3,4,-2,0,37277,107,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4451,0,18275,0
18399,-784,-8164,710,-48,11,36,10041,6,3,-1,0,37278,105,24,79,0,0,0,0,0,0,0,0,-32295,0,0,0,4453,0,18285,0
18409,-816,-8136,716,-39,14,36,10040,-1,3,0,0,37288,107,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4453,0,18296,0
18419,-804,-8166,692,-38,16,36,10039,1,-1,0,0,37296,105,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4453,0,18305,0
18429,-818,-8162,770,-41,16,32,10040,0,3,-1,0,37301,105,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4453,0,18315,0
18439,-838,-8144,776,-37,15,35,10040,7,2,-1,0,37288,101,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4453,0,18325,0
18449,-804,-8186,818,-46,13,26,10039,0,-2,-2,0,37274,102,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4453,0,18335,0
18459,-808,-8170,832,-43,11,22,10040,-2,2,0,0,37264,107,24,79,0,0,0,0,0,0,0,0,-32296,0,0,0,4453,0,18346,0
