state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
86284,604,-8210,756,-51,12,12,9473,-2,0,-2,0,37136,67,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3938,0,2732,0
86294,614,-8172,764,-49,14,13,9472,-3,0,-2,0,37135,72,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3937,0,86284,0
86304,628,-8182,768,-46,11,10,9472,3,6,0,0,37118,65,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3938,0,86284,0
86314,588,-8196,772,-54,9,10,9472,1,2,-2,0,37116,62,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3938,0,86284,0
86324,614,-8194,762,-46,17,9,9472,1,7,0,0,37119,67,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3938,0,86284,0
86334,598,-8162,760,-47,12,11,9472,0,-2,-1,0,37118,78,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3938,0,86284,0
86344,604,-8166,770,-47,13,5,9471,1,2,-1,0,37117,73,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3938,0,86284,0
86354,606,-8190,784,-44,17,10,9471,-7,-3,0,0,37117,62,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3939,0,86284,0
86364,628,-8218,784,-41,11,10,9472,-3,-3,-1,0,37121,62,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3937,0,86284,0
86374,616,-8178,816,-44,15,12,9472,2,1,-1,0,37128,66,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3938,0,86284,0
86384,588,-8166,798,-48,12,4,9472,3,4,-1,0,37125,67,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3938,0,86284,0
86394,604,-8192,784,-51,11,6,9472,-2,-3,-2,0,37124,60,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3938,0,86284,0
86404,592,-8184,770,-49,8,8,9472,0,-3,0,0,37116,66,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3938,0,86285,0
86414,580,-8218,786,-49,12,1,9472,4,1,-2,0,37118,67,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3939,0,86295,0
86424,618,-8186,750,-45,15,7,9472,1,0,-1,0,37117,71,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,3937,0,86305,0
