state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
79898,-830,-8208,768,-49,43,10,11605,9,-1,2,0,37196,270,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,7046,0
79908,-816,-8230,812,-47,37,7,11603,-2,-1,-1,0,37195,274,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4302,0,79918,0
79918,-816,-8238,824,-49,39,10,11604,-2,-4,2,0,37198,280,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,79938,0
79928,-804,-8222,796,-50,43,11,11603,-3,-3,-1,0,37204,269,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4301,0,79958,0
79938,-802,-8230,782,-55,44,17,11604,0,0,1,0,37205,265,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4302,0,79978,0
79948,-784,-8184,760,-53,37,16,11604,0,0,2,0,37204,269,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,79998,0
79958,-804,-8240,764,-54,43,19,11605,6,-1,0,0,37195,281,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80018,0
79968,-800,-8214,782,-52,38,25,11604,-1,-2,1,0,37196,277,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4300,0,80038,0
79978,-816,-8222,778,-48,41,20,11604,3,-3,-2,0,37196,272,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80058,0
79988,-824,-8242,768,-48,41,26,11604,-2,3,0,0,37195,271,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80078,0
79998,-790,-8230,746,-49,41,21,11604,-2,1,0,0,37191,275,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80099,0
80008,-826,-8234,762,-47,43,27,11604,-1,5,1,0,37189,278,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80119,0
80018,-822,-8210,754,-44,47,27,11605,-3,-2,0,0,37192,277,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80139,0
80028,-844,-8218,772,-45,43,22,11604,5,-4,1,0,37196,278,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4302,0,80159,0
80038,-844,-8220,798,-48,38,23,11605,5,-1,2,0,37195,267,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80179,0
80048,-838,-8218,782,-51,40,20,11604,-11,-1,2,0,37193,277,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80199,0
80058,-818,-8218,772,-48,41,18,11603,-1,4,0,0,37188,272,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80219,0
80068,-820,-8234,752,-48,44,13,11604,0,0,0,0,37192,267,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80239,0
80078,-810,-8208,754,-45,40,14,11604,3,0,0,0,37190,266,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80259,0
80088,-806,-8250,742,-41,42,16,11605,0,4,1,0,37189,268,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80279,0
80098,-822,-8206,734,-44,40,19,11605,6,1,0,0,37189,273,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80299,0
80108,-838,-8230,774,-42,43,19,11604,1,3,2,0,37191,280,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80320,0
80118,-832,-8220,762,-45,35,16,11604,0,3,0,0,37192,275,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80340,0
80128,-818,-8198,800,-45,38,12,11604,-2,0,-1,0,37190,281,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80360,0
80138,-794,-8200,794,-43,41,12,11603,-1,-2,3,0,37191,282,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80380,0
80148,-818,-8230,792,-37,45,13,11606,3,2,1,0,37193,281,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80400,0
80158,-806,-8242,780,-47,41,17,11605,0,-4,0,0,37193,271,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4302,0,80420,0
80168,-806,-8188,758,-42,41,15,11604,1,-2,0,0,37189,269,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80441,0
80178,-860,-8242,780,-45,40,19,11605,4,-6,-1,0,37187,268,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80461,0
80188,-860,-8212,766,-42,41,14,11604,1,1,0,0,37187,266,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80481,0
80198,-848,-8204,766,-42,43,11,11604,-2,1,0,0,37186,268,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80501,0
80208,-860,-8232,790,-43,38,9,11604,-9,1,0,0,37186,272,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80524,0
80218,-838,-8214,798,-50,36,5,11605,8,5,0,0,37185,276,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80544,0
80228,-806,-8234,782,-42,38,10,11604,1,-1,-1,0,37183,269,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80564,0
80238,-796,-8244,760,-43,44,18,11605,1,-5,0,0,37190,262,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80584,0
80248,-820,-8222,788,-45,40,15,11604,4,-2,0,0,37193,258,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80604,0
80258,-814,-8198,758,-44,39,15,11604,-1,1,0,0,37194,263,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80624,0
80268,-846,-8230,772,-44,42,9,11604,-4,-3,0,0,37193,267,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80644,0
80278,-864,-8216,792,-44,34,13,11605,6,2,0,0,37189,275,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80664,0
80288,-854,-8194,780,-49,42,1,11605,3,2,1,0,37189,279,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80684,0
80298,-832,-8242,788,-47,40,2,11605,3,5,1,0,37189,273,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80704,0
80308,-792,-8240,768,-48,39,10,11605,2,4,3,0,37187,269,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4301,0,80725,0
80318,-756,-8238,760,-45,34,12,11605,2,-1,0,0,37189,270,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4301,0,80745,0
80328,-792,-8202,778,-45,37,20,11605,2,-1,-1,0,37189,272,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4300,0,80765,0
80338,-810,-8214,758,-47,34,28,11604,1,1,1,0,37186,273,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4301,0,80785,0
80348,-866,-8230,758,-43,42,14,11605,0,6,2,0,37187,274,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80804,0
80358,-858,-8216,764,-40,36,13,11603,-7,-8,0,0,37187,278,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80823,0
80368,-858,-8198,778,-41,48,8,11605,8,0,0,0,37187,276,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80843,0
80378,-812,-8212,796,-44,35,6,11604,0,-4,-1,0,37183,274,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4301,0,80863,0
80388,-804,-8246,816,-50,44,7,11604,4,2,0,0,37183,271,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4301,0,80883,0
80398,-774,-8220,792,-49,37,10,11604,-6,5,0,0,37183,278,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,80903,0
80408,-784,-8220,756,-51,38,16,11604,2,2,0,0,37185,278,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4301,0,80923,0
80418,-782,-8192,760,-51,40,20,11604,0,3,1,0,37184,282,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4301,0,80943,0
80428,-830,-8214,764,-48,35,19,11603,3,-2,-1,0,37185,288,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4301,0,80963,0
80438,-858,-8184,744,-44,39,21,11604,2,2,2,0,37186,291,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4301,0,80983,0
80448,-842,-8224,772,-50,38,12,11604,-2,-2,0,0,37191,286,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4302,0,81003,0
80458,-844,-8250,806,-42,42,9,11604,3,2,0,0,37192,272,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4301,0,81023,0
