state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
88259,-578,-8228,492,-42,16,12,15875,-2,2,1,0,36944,45,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4313,0,2798,0
88269,-572,-8192,500,-48,13,12,15875,1,1,0,0,36948,38,27,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4313,0,88259,0
88279,-600,-8192,502,-41,14,10,15876,1,3,1,0,36952,33,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4313,0,88259,0
88289,-560,-8202,526,-47,13,13,15876,0,-1,2,0,36949,48,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4313,0,88259,0
88299,-560,-8186,518,-45,15,11,15877,2,1,0,0,36951,51,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4314,0,88259,0
88309,-558,-8190,484,-46,13,14,15875,3,0,0,0,36952,43,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4313,0,88259,0
88319,-548,-8208,532,-42,16,17,15876,-1,3,2,0,36957,42,27,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4315,0,88259,0
88329,-572,-8212,522,-37,14,20,15876,4,0,0,0,36947,54,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4314,0,88259,0
88339,-608,-8198,524,-42,18,20,15876,0,2,1,0,36944,70,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4313,0,88259,0
88349,-592,-8200,498,-35,14,24,15875,-3,-1,2,0,36941,52,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4314,0,88259,0
88359,-584,-8222,476,-35,11,24,15875,-3,-1,1,0,36946,41,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4315,0,88259,0
88369,-568,-8204,526,-38,12,20,15875,-2,-1,1,0,36950,39,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4316,0,88259,0
88379,-566,-8226,518,-45,15,22,15875,-4,-1,2,0,36943,40,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4316,0,88259,0
88389,-574,-8220,526,-42,13,23,15874,-7,-4,1,0,36938,34,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4315,0,88269,0
88399,-602,-8192,566,-42,15,25,15877,3,5,0,0,36946,30,27,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4315,0,88279,0
88409,-596,-8228,508,-48,11,25,15876,5,1,1,0,36954,35,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4315,0,88289,0
88419,-632,-8218,500,-47,12,18,15877,3,4,1,0,36948,54,27,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4316,0,88299,0
88429,-588,-8224,540,-46,18,24,15875,-1,-4,0,0,36937,49,27,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4316,0,88309,0
88439,-584,-8232,532,-50,11,25,15876,1,4,1,0,36935,44,27,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4316,0,88319,0
88449,-586,-8194,530,-53,7,18,15875,0,-2,2,0,36942,39,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4316,0,88329,0
88459,-602,-8210,540,-56,7,22,15875,-1,-2,0,0,36944,50,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4316,0,88339,0
88469,-608,-8204,536,-56,8,20,15875,-1,1,0,0,36936,55,27,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4318,0,88349,0
88479,-610,-8214,528,-65,9,17,15875,-5,-1,2,0,36936,48,27,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4317,0,88359,0
88489,-654,-8212,516,-65,6,10,15875,-4,0,2,0,36943,48,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4318,0,88370,0
88499,-626,-8200,492,-62,13,5,15874,-2,-8,4,0,36946,56,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4316,0,88380,0
88509,-612,-8206,516,-63,8,1,15875,-5,2,2,0,36947,66,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4318,0,88390,0
88519,-588,-8198,492,-60,9,3,15876,0,0,3,0,36939,69,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4318,0,88399,0
88529,-582,-8224,498,-64,18,3,15875,-3,2,0,0,36941,55,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4317,0,88409,0
88539,-590,-8210,486,-61,10,7,15876,-5,2,0,0,36941,41,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4317,0,88420,0
88549,-572,-8206,498,-58,15,9,15875,-3,-5,2,0,36937,47,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4318,0,88430,0
88559,-574,-8196,496,-58,16,4,15875,2,-2,0,0,36933,58,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4318,0,88440,0
88569,-582,-8200,464,-63,12,6,15877,3,4,1,0,36936,42,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4318,0,88450,0
88579,-594,-8176,476,-53,15,8,15876,9,3,1,0,36946,31,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4317,0,88460,0
88589,-592,-8238,466,-56,12,5,15876,1,0,2,0,36949,41,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4316,0,88470,0
88599,-588,-8228,488,-52,16,5,15876,4,-2,0,0,36940,51,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4317,0,88480,0
88609,-578,-8204,530,-54,10,11,15876,0,8,0,0,36943,47,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4317,0,88490,0
88619,-538,-8232,552,-57,5,11,15876,-2,1,0,0,36944,47,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4316,0,88500,0
88629,-568,-8220,516,-63,12,18,15875,-5,-1,2,0,36949,51,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4317,0,88510,0
88639,-576,-8222,538,-58,9,17,15876,1,3,1,0,36944,67,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4318,0,88521,0
88649,-574,-8226,528,-68,5,22,15876,0,6,3,0,36935,67,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4318,0,88531,0
88659,-572,-8210,520,-73,10,24,15877,1,5,-1,0,36937,59,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4318,0,88549,0
88669,-564,-8200,508,-74,11,27,15876,6,-2,1,0,36940,51,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4318,0,88569,0
88679,-542,-8196,552,-75,8,30,15876,4,0,1,0,36941,51,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4318,0,88589,0
88689,-552,-8242,532,-86,8,36,15874,-1,1,0,0,36934,48,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4318,0,88606,0
88699,-546,-8234,590,-96,7,49,15875,1,-6,3,0,36934,44,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4319,0,88617,0
88709,-516,-8194,500,-95,13,54,15876,0,-5,2,0,36942,45,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4320,0,88627,0
88719,-500,-8234,468,-92,12,63,15875,-5,-2,-1,0,36947,52,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4320,0,88637,0
88729,-510,-8190,456,-92,10,82,15875,-2,2,2,0,36940,56,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4322,0,88649,0
88739,-462,-8202,428,-81,10,95,15875,-6,0,2,0,36939,55,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4322,0,88667,0
88749,-436,-8234,430,-75,15,126,15876,-1,4,1,0,36940,45,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4325,0,88677,0
88759,-452,-8222,454,-77,12,147,15876,-2,0,0,0,36943,46,27,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4326,0,88687,0
88769,-448,-8202,434,-69,9,171,15876,4,-1,1,0,36939,44,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4328,0,88699,0
88779,-438,-8174,462,-71,10,193,15875,0,1,3,0,36940,55,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4331,0,88709,0
88789,-522,-8236,510,-64,9,221,15875,-5,-4,3,0,36944,42,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4334,0,88719,0
88799,-496,-8216,492,-64,6,238,15876,0,3,3,0,36956,47,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4336,0,88729,0
88809,-520,-8214,436,-70,8,258,15875,-7,-2,0,0,36963,66,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4341,0,88739,0
88819,-548,-8184,446,-64,15,276,15876,-1,3,2,0,36955,79,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4344,0,88749,0
88829,-584,-8186,438,-54,3,298,15874,-8,0,0,0,36951,65,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4348,0,88762,0
88839,-602,-8232,448,-61,9,307,15875,0,4,2,0,36938,51,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4352,0,88772,0
88849,-628,-8172,484,-50,6,320,15875,2,1,2,0,36943,53,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4357,0,88782,0
88859,-668,-8194,470,-55,8,334,15875,-5,2,1,0,36938,61,27,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4361,0,88792,0
88869,-710,-8198,474,-59,9,336,15875,1,7,2,0,36936,61,27,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4367,0,88805,0
88879,-738,-8184,448,-54,5,344,15876,-2,-1,2,0,36939,47,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4372,0,88815,0
88889,-790,-8176,450,-43,4,340,15875,-1,-2,3,0,36939,48,28,79,0,0,0,0,0,0,0,0,-32291,0,0,0,4375,0,88825,0
