state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
83076,474,-8206,1120,-48,44,19,4313,-2,5,-1,0,37029,284,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3847,0,7352,0
83086,472,-8190,1124,-53,44,18,4314,6,0,0,0,37027,292,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83096,0
83096,438,-8212,1126,-51,40,19,4313,1,6,0,0,37027,296,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83116,0
83106,452,-8168,1118,-52,40,17,4312,0,0,-2,0,37029,308,28,79,0,0,0,0,0,0,0,0,-32315,0,0,0,3847,0,83136,0
83116,464,-8196,1128,-47,43,17,4311,-11,-3,0,0,37029,305,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3848,0,83156,0
83126,460,-8174,1118,-48,43,10,4313,-3,2,-1,0,37026,302,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83176,0
83136,470,-8176,1114,-47,46,17,4313,1,-6,0,0,37025,304,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83196,0
83146,490,-8204,1116,-50,46,16,4313,-2,3,0,0,37031,304,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83216,0
83156,482,-8180,1114,-50,43,20,4313,-11,1,-4,0,37028,310,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83236,0
83166,468,-8202,1080,-52,37,18,4315,4,-5,0,0,37027,311,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83256,0
83176,472,-8192,1108,-48,41,20,4313,-5,2,-1,0,37016,294,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3848,0,83276,0
83186,488,-8192,1126,-53,42,22,4314,2,-5,0,0,37018,295,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83296,0
83196,482,-8212,1116,-47,40,17,4313,6,0,-1,0,37020,294,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83316,0
83206,446,-8190,1118,-53,36,15,4313,-3,-3,-3,0,37021,291,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83336,0
83216,444,-8186,1108,-50,44,15,4312,-7,0,0,0,37021,287,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83356,0
83226,436,-8234,1094,-50,41,11,4314,3,1,-3,0,37019,287,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83376,0
83236,470,-8184,1098,-48,37,20,4314,3,4,-1,0,37017,295,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83396,0
83246,464,-8162,1110,-49,41,16,4313,-2,0,0,0,37019,304,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83417,0
83256,474,-8180,1124,-46,46,10,4312,-7,4,0,0,37022,307,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83437,0
83266,476,-8174,1142,-50,40,17,4313,5,-2,0,0,37024,302,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83457,0
83276,472,-8198,1118,-47,44,18,4313,0,-1,-2,0,37020,295,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3847,0,83477,0
83286,442,-8206,1108,-57,46,18,4313,-3,1,-1,0,37016,296,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83497,0
83296,460,-8194,1098,-50,48,14,4313,0,5,0,0,37016,292,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83517,0
83306,458,-8176,1100,-48,37,16,4314,8,4,-1,0,37019,286,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83537,0
83316,474,-8184,1112,-54,41,15,4314,7,-5,1,0,37019,290,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83557,0
83326,460,-8216,1124,-46,38,13,4314,1,0,-1,0,37016,294,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83577,0
83336,466,-8192,1122,-52,51,16,4313,0,1,1,0,37013,295,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83597,0
83346,482,-8192,1148,-52,43,19,4315,14,-1,1,0,37018,292,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83619,0
83356,474,-8188,1128,-52,40,21,4313,6,0,-1,0,37020,296,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83639,0
83366,460,-8172,1070,-52,37,22,4312,-1,1,0,0,37021,292,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83659,0
83376,502,-8194,1078,-49,35,22,4314,6,-1,0,0,37015,292,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3847,0,83682,0
83386,438,-8212,1106,-50,39,22,4313,-2,7,-1,0,37015,294,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3850,0,83702,0
83396,418,-8196,1134,-47,42,21,4313,2,1,-1,0,37017,297,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3850,0,83722,0
83406,448,-8210,1110,-49,39,9,4313,6,4,0,0,37017,300,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3849,0,83742,0
83416,496,-8178,1132,-51,43,7,4313,0,7,0,0,37016,301,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3850,0,83762,0
83426,484,-8172,1114,-52,39,14,4313,5,4,-2,0,37016,298,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3849,0,83782,0
83436,492,-8180,1096,-50,41,15,4313,2,1,-1,0,37017,293,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83802,0
83446,468,-8186,1074,-55,36,14,4311,-9,3,2,0,37019,286,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83822,0
83456,462,-8182,1082,-49,42,13,4313,6,-3,-2,0,37020,302,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3848,0,83842,0
83466,486,-8216,1084,-45,41,13,4312,-3,2,2,0,37018,306,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83862,0
83476,468,-8194,1086,-46,32,13,4313,-1,0,-2,0,37019,309,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83882,0
83486,438,-8188,1118,-50,38,14,4314,0,-8,-2,0,37017,294,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3848,0,83902,0
