state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
14926,-200,-8244,968,-52,39,22,9268,3,-1,1,0,37576,263,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4029,0,7476,0
14936,-218,-8248,974,-51,45,13,9267,5,-2,0,0,37578,274,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4029,0,14946,0
14946,-196,-8236,978,-52,43,12,9267,-1,0,-1,0,37585,274,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4028,0,14966,0
14956,-198,-8228,998,-52,39,12,9266,-5,-2,0,0,37585,276,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4028,0,14986,0
14966,-166,-8252,980,-53,39,10,9267,-3,-2,0,0,37582,273,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4028,0,15006,0
14976,-174,-8214,980,-52,44,14,9266,1,-3,0,0,37580,273,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4029,0,15026,0
14986,-166,-8266,982,-53,46,13,9268,1,5,0,0,37574,278,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4028,0,15046,0
14996,-194,-8234,984,-51,42,16,9268,3,2,1,0,37572,284,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4028,0,15066,0
15006,-184,-8218,990,-45,41,11,9268,1,4,0,0,37569,285,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4029,0,15086,0
15016,-164,-8220,978,-51,38,16,9268,0,2,0,0,37564,275,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4028,0,15106,0
15026,-168,-8218,992,-48,39,11,9267,-1,-1,2,0,37562,271,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4029,0,15126,0
15036,-144,-8218,982,-53,38,11,9267,0,-4,0,0,37565,279,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4028,0,15146,0
15046,-192,-8224,976,-48,38,16,9267,0,-4,0,0,37568,281,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4028,0,15166,0
15056,-166,-8224,986,-48,33,16,9267,2,1,0,0,37570,288,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4028,0,15186,0
15066,-140,-8224,976,-48,40,17,9268,1,3,0,0,37568,286,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4029,0,15206,0
15076,-190,-8244,998,-50,40,12,9269,2,1,1,0,37570,281,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4028,0,15226,0
15086,-198,-8250,988,-44,38,8,9268,2,0,0,0,37569,275,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4027,0,15247,0
15096,-188,-8210,1018,-52,40,16,9268,0,1,0,0,37569,270,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4027,0,15266,0
15106,-176,-8248,996,-51,44,14,9267,-1,-1,0,0,37565,272,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4029,0,15287,0
15116,-122,-8206,1014,-57,37,14,9267,-7,0,1,0,37562,275,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4028,0,15307,0
15126,-170,-8240,992,-53,41,15,9267,-1,-4,0,0,37563,278,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4029,0,15327,0
15136,-164,-8256,980,-52,42,22,9268,0,4,0,0,37563,275,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4027,0,15347,0
15146,-162,-8210,982,-51,35,23,9266,-11,-1,1,0,37563,277,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4029,0,15367,0
15156,-176,-8244,994,-49,38,27,9268,4,-1,0,0,37562,281,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4028,0,15387,0
15166,-200,-8232,996,-47,40,22,9267,2,-2,0,0,37568,281,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4029,0,15407,0
15176,-190,-8248,1000,-48,41,18,9267,1,1,2,0,37569,278,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4029,0,15427,0
15186,-226,-8226,1010,-53,38,17,9267,0,-1,0,0,37569,272,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4029,0,15447,0
15196,-178,-8202,976,-50,44,18,9267,0,-2,0,0,37560,268,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4027,0,15468,0
