state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
57844,538,-8158,968,-47,10,0,13318,2,2,0,0,37127,37,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4022,0,2706,0
57854,542,-8184,956,-51,11,0,13316,-5,-4,-3,0,37127,46,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,57844,0
57864,570,-8174,964,-45,14,4,13316,-6,-2,-2,0,37125,51,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,57844,0
57874,588,-8200,972,-48,12,1,13317,0,-1,-2,0,37124,60,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,57844,0
57884,562,-8160,962,-46,14,10,13318,2,1,-3,0,37129,40,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,57844,0
57894,584,-8152,954,-45,12,8,13317,-2,2,-1,0,37131,39,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,57844,0
57904,524,-8170,954,-48,11,11,13318,2,1,-3,0,37127,50,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,57844,0
57914,550,-8164,962,-44,9,15,13318,0,-1,-3,0,37124,45,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,57844,0
57924,508,-8168,968,-46,17,6,13317,5,-2,-2,0,37127,47,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,57844,0
57934,534,-8216,954,-46,10,6,13318,3,-3,-3,0,37131,39,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,57844,0
57944,538,-8162,954,-41,10,8,13318,3,-3,0,0,37130,43,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,57844,0
57954,568,-8160,962,-46,14,4,13318,5,0,0,0,37126,44,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,57844,0
57964,558,-8176,990,-48,10,8,13318,1,-1,-2,0,37127,35,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,57845,0
57974,550,-8166,998,-45,9,11,13317,-3,1,-1,0,37132,37,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,57855,0
57984,558,-8160,940,-44,11,6,13316,-4,4,-3,0,37133,55,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,57865,0
57994,538,-8164,960,-47,12,7,13317,1,-3,-2,0,37130,59,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,57875,0
58004,534,-8178,956,-49,5,8,13317,-7,-3,-4,0,37134,55,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,57885,0
58014,558,-8162,938,-48,7,2,13317,0,2,-2,0,37139,48,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,57895,0
58024,532,-8150,962,-43,10,-1,13318,4,-2,0,0,37139,59,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,57905,0
58034,510,-8162,950,-51,8,-1,13318,8,3,-2,0,37121,58,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,57915,0
58044,564,-8166,976,-51,10,-3,13318,3,-4,0,0,37119,46,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,57925,0
58054,536,-8164,960,-47,8,3,13317,3,-2,-2,0,37123,42,27,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,57935,0
58064,532,-8170,984,-52,7,2,13318,3,-6,-2,0,37130,42,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,57945,0
58074,548,-8174,960,-49,9,2,13318,3,1,-2,0,37123,50,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,57955,0
58084,560,-8184,956,-45,19,2,13317,0,-2,-2,0,37120,40,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,57965,0
58094,524,-8190,958,-53,11,5,13318,5,0,-1,0,37124,45,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,57975,0
58104,540,-8172,970,-46,9,6,13317,-5,-2,-1,0,37141,50,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,57985,0
58114,536,-8174,982,-48,10,3,13316,-2,4,-4,0,37150,51,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,57995,0
58124,546,-8156,978,-46,11,1,13317,1,-2,0,0,37142,57,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58005,0
58134,546,-8150,990,-44,9,2,13318,2,2,-1,0,37135,45,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,58015,0
58144,544,-8218,942,-51,16,1,13317,-6,2,-2,0,37123,42,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58025,0
58154,562,-8158,938,-48,11,10,13316,-5,0,-2,0,37124,45,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58035,0
58164,580,-8162,980,-49,11,10,13316,-10,-5,-2,0,37120,42,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58045,0
58174,556,-8190,980,-47,7,11,13318,0,-2,-1,0,37119,50,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58055,0
58184,516,-8168,970,-51,19,13,13317,3,2,0,0,37124,40,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58066,0
58194,528,-8166,948,-46,15,14,13319,0,-5,-1,0,37129,43,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58076,0
58204,554,-8190,964,-46,18,4,13316,-3,6,-2,0,37129,42,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58086,0
58214,514,-8134,980,-46,11,11,13317,-1,1,-2,0,37127,48,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58096,0
58224,546,-8158,986,-47,4,-1,13318,3,-1,0,0,37126,59,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58106,0
58234,522,-8166,976,-52,13,1,13318,5,3,-2,0,37130,62,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58116,0
58244,548,-8146,960,-52,13,5,13317,0,1,-1,0,37120,62,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,58134,0
58254,522,-8152,976,-52,6,2,13317,-4,-4,-1,0,37116,47,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,58154,0
58264,550,-8184,936,-49,11,1,13315,-4,7,-4,0,37118,43,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58175,0
58274,536,-8180,942,-47,12,6,13317,-2,-2,0,0,37121,53,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,58191,0
58284,546,-8152,944,-45,11,1,13318,-3,-2,0,0,37118,59,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58201,0
58294,566,-8148,982,-46,15,2,13317,5,1,-2,0,37113,63,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58211,0
58304,524,-8174,968,-49,13,2,13318,4,3,0,0,37119,46,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58221,0
58314,522,-8158,966,-47,8,-6,13317,-10,-2,0,0,37125,47,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,58232,0
58324,528,-8174,956,-49,15,-3,13317,-3,7,0,0,37122,54,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,58242,0
58334,560,-8190,964,-55,14,-10,13316,-4,0,-3,0,37117,47,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58252,0
58344,552,-8156,960,-51,13,-3,13316,0,2,-1,0,37112,39,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58261,0
58354,544,-8186,958,-50,16,-3,13317,4,-1,-3,0,37119,38,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58272,0
58364,548,-8176,962,-51,19,-5,13317,-5,-1,-3,0,37121,52,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58282,0
58374,596,-8188,954,-46,16,2,13316,-5,2,0,0,37114,51,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58295,0
58384,570,-8186,968,-49,12,6,13316,0,-1,-2,0,37113,34,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58312,0
58394,570,-8166,974,-53,11,11,13318,5,4,-2,0,37120,38,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58322,0
58404,580,-8162,968,-46,15,11,13316,-2,-2,-1,0,37124,40,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58334,0
58414,578,-8150,972,-55,13,15,13316,-2,3,-3,0,37126,52,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58344,0
58424,576,-8154,948,-48,17,16,13318,1,1,0,0,37118,54,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58354,0
58434,578,-8168,952,-49,9,19,13318,-1,0,-3,0,37123,55,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58364,0
58444,566,-8156,954,-50,18,19,13316,0,1,0,0,37118,52,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58374,0
58454,586,-8154,958,-48,10,17,13316,-1,2,1,0,37117,44,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58387,0
58464,528,-8196,976,-49,13,25,13317,2,4,0,0,37110,41,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58397,0
58474,550,-8140,948,-45,13,16,13317,0,3,1,0,37110,34,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58407,0
58484,544,-8190,972,-52,13,24,13318,-2,3,-2,0,37113,35,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58417,0
58494,542,-8190,968,-49,11,23,13316,-4,5,-1,0,37113,45,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58430,0
58504,498,-8148,978,-47,12,23,13317,3,-1,-1,0,37110,53,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58440,0
58514,506,-8188,952,-52,16,18,13316,2,1,-2,0,37116,57,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58450,0
58524,540,-8178,972,-55,18,20,13316,-6,-2,-1,0,37122,45,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58460,0
58534,562,-8134,984,-54,13,19,13317,-3,1,-4,0,37127,41,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58473,0
58544,530,-8188,970,-50,15,19,13318,-3,-1,-3,0,37118,45,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58483,0
58554,514,-8194,966,-55,14,20,13317,5,4,-1,0,37110,35,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58493,0
58564,530,-8142,972,-59,15,15,13318,2,5,-3,0,37113,42,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58503,0
58574,516,-8158,960,-55,15,15,13317,-7,-2,0,0,37120,36,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58517,0
58584,528,-8168,962,-57,11,8,13318,5,-3,-2,0,37122,42,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58527,0
58594,516,-8136,964,-58,14,2,13316,-7,-3,-2,0,37115,43,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4022,0,58537,0
58604,516,-8172,930,-53,13,2,13317,3,2,-2,0,37117,35,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58547,0
58614,518,-8152,946,-56,12,1,13317,2,1,-3,0,37122,45,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58562,0
58624,488,-8132,954,-53,14,-1,13318,3,3,-4,0,37129,52,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58572,0
58634,504,-8186,968,-59,10,0,13317,-3,-1,-2,0,37121,55,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4022,0,58582,0
58644,528,-8184,926,-60,15,-4,13317,-1,-1,0,0,37117,36,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58591,0
58654,530,-8176,938,-54,10,-2,13317,-3,-2,-3,0,37117,40,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58605,0
58664,582,-8160,944,-51,10,1,13316,1,-3,-2,0,37121,54,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58615,0
58674,536,-8168,982,-50,11,-4,13317,0,4,-1,0,37116,57,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58625,0
58684,516,-8146,980,-53,7,2,13317,1,-1,-3,0,37113,50,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58635,0
58694,558,-8150,962,-55,3,0,13318,3,0,-2,0,37118,45,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58647,0
58704,544,-8166,928,-57,7,-2,13317,-1,0,0,0,37124,41,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58657,0
58714,542,-8166,930,-51,15,1,13317,-2,3,-1,0,37118,46,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58667,0
58724,562,-8150,928,-48,8,3,13317,-2,4,-3,0,37120,31,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,58677,0
58734,540,-8184,966,-52,10,-1,13317,5,-2,-2,0,37122,36,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58690,0
58744,568,-8140,948,-52,7,5,13317,-2,-2,-3,0,37129,33,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4020,0,58700,0
58754,558,-8160,948,-52,12,8,13318,0,-2,-2,0,37126,37,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58710,0
58764,534,-8164,946,-49,12,5,13317,-1,-3,-2,0,37117,40,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58721,0
58774,556,-8164,938,-47,12,6,13317,0,-1,-1,0,37118,32,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4019,0,58732,0
58784,556,-8132,932,-49,15,10,13317,-2,-2,-2,0,37123,38,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58742,0
58794,566,-8170,950,-49,11,7,13319,14,4,-1,0,37126,50,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58752,0
58804,554,-8188,932,-45,15,11,13318,1,-1,-3,0,37124,63,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58764,0
58814,554,-8164,966,-44,16,14,13318,0,0,-1,0,37120,62,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58774,0
58824,540,-8184,974,-42,16,12,13318,7,0,-1,0,37123,44,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58784,0
58834,562,-8138,966,-44,14,12,13318,1,1,-2,0,37133,48,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58794,0
58844,554,-8168,978,-48,12,15,13318,2,0,0,0,37129,51,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4019,0,58807,0
58854,560,-8168,940,-53,16,14,13317,2,-3,-2,0,37127,53,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58817,0
58864,526,-8148,932,-49,16,13,13316,0,-1,-2,0,37122,43,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58827,0
58874,498,-8194,946,-49,11,12,13317,3,0,-1,0,37128,48,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58837,0
58884,516,-8184,950,-46,11,13,13316,-8,-2,-1,0,37122,55,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58850,0
58894,530,-8178,966,-50,12,16,13316,-5,-2,-3,0,37121,43,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58860,0
58904,520,-8144,938,-51,16,16,13317,-4,-5,-1,0,37123,33,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4020,0,58870,0
58914,528,-8164,972,-46,15,14,13317,-2,-3,-2,0,37132,37,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4022,0,58880,0
58924,570,-8188,940,-49,17,12,13318,5,1,-1,0,37131,47,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58891,0
58934,558,-8146,952,-42,17,19,13317,0,2,0,0,37131,56,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58901,0
58944,532,-8160,948,-46,16,16,13317,-7,-2,-1,0,37133,37,27,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58911,0
58954,504,-8178,938,-44,10,15,13317,-1,-2,-2,0,37138,36,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58921,0
58964,536,-8138,958,-45,20,14,13317,3,-2,-2,0,37133,52,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4021,0,58934,0
58974,546,-8170,932,-50,15,25,13318,0,-2,-1,0,37130,55,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58944,0
58984,590,-8150,940,-47,18,17,13317,-2,1,-1,0,37127,53,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58954,0
58994,586,-8142,954,-47,17,20,13316,-8,5,-1,0,37131,37,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4022,0,58964,0
59004,546,-8204,962,-48,14,33,13316,0,0,0,0,37132,49,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4021,0,58977,0
59014,564,-8156,944,-41,18,31,13317,5,0,-2,0,37124,52,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4023,0,58987,0
59024,556,-8190,928,-39,14,37,13318,-3,-3,0,0,37122,46,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4022,0,58997,0
59034,566,-8194,944,-32,13,45,13316,-3,2,-4,0,37127,42,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4023,0,59008,0
59044,536,-8176,950,-36,14,46,13317,1,0,-1,0,37138,41,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4023,0,59021,0
59054,548,-8162,960,-38,13,49,13316,-9,-2,-1,0,37133,50,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4023,0,59031,0
59064,502,-8182,932,-38,12,52,13318,2,0,-2,0,37130,49,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4024,0,59041,0
59074,518,-8162,962,-38,13,47,13317,-1,0,0,0,37125,52,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4025,0,59054,0
59084,502,-8168,972,-42,6,48,13316,-4,2,-1,0,37125,44,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4025,0,59064,0
59094,484,-8152,958,-40,12,46,13318,-1,-4,-2,0,37124,45,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4026,0,59074,0
59104,498,-8180,952,-38,12,41,13317,-4,-2,-1,0,37120,55,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4026,0,59084,0
59114,472,-8160,972,-40,17,31,13317,-3,-3,-2,0,37123,40,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4027,0,59097,0
59124,482,-8174,970,-44,12,30,13316,-3,4,0,0,37126,37,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4027,0,59107,0
59134,474,-8184,970,-39,11,23,13316,0,-2,-1,0,37124,52,27,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4027,0,59117,0
59144,478,-8172,952,-42,12,21,13317,6,2,-1,0,37124,55,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4027,0,59127,0
59154,510,-8166,966,-41,16,15,13316,0,0,-1,0,37122,50,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4028,0,59141,0
59164,506,-8168,938,-46,13,17,13318,3,2,-2,0,37130,35,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4027,0,59151,0
59174,508,-8170,928,-43,16,20,13317,-1,-4,0,0,37129,55,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4028,0,59161,0
59184,518,-8190,952,-42,10,23,13317,5,1,-3,0,37123,66,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4028,0,59171,0
59194,510,-8182,960,-39,12,22,13317,1,1,-1,0,37118,47,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4029,0,59184,0
59204,472,-8160,1004,-45,12,23,13317,-6,-1,-2,0,37120,45,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4028,0,59194,0
59214,452,-8150,1004,-43,10,17,13317,-2,-1,-2,0,37127,40,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4030,0,59204,0
59224,474,-8178,970,-53,13,8,13317,4,-1,0,0,37123,42,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4029,0,59214,0
59234,456,-8158,990,-53,4,2,13316,-5,3,-2,0,37115,45,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4028,0,59227,0
59244,412,-8172,980,-54,8,-3,13317,-5,2,-1,0,37124,34,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4029,0,59237,0
59254,460,-8174,984,-58,2,-11,13316,0,-3,-1,0,37129,41,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4029,0,59247,0
59264,468,-8148,956,-58,8,-10,13316,-6,2,-2,0,37128,48,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4028,0,59257,0
