state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
54186,-422,-8248,788,-46,41,27,9256,2,-2,-1,0,37252,283,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,7063,0
54196,-446,-8234,812,-51,40,19,9255,3,2,1,0,37247,285,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,54206,0
54206,-434,-8234,786,-53,40,23,9255,1,-4,0,0,37245,291,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4124,0,54226,0
54216,-430,-8224,768,-47,37,24,9254,-5,-6,2,0,37247,282,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,54246,0
54226,-448,-8256,796,-55,42,20,9255,6,1,1,0,37260,281,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,54266,0
54236,-448,-8236,784,-50,37,22,9255,1,0,0,0,37271,281,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4125,0,54286,0
54246,-438,-8264,792,-50,41,14,9255,1,4,1,0,37280,289,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4124,0,54307,0
54256,-424,-8232,794,-49,41,20,9254,-2,1,1,0,37270,281,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,54327,0
54266,-456,-8216,804,-51,37,20,9255,0,0,2,0,37260,285,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,54347,0
54276,-470,-8260,790,-52,38,18,9256,1,0,-1,0,37249,283,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4124,0,54367,0
54286,-454,-8254,786,-48,41,24,9255,-4,-1,-1,0,37247,288,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4124,0,54387,0
54296,-444,-8228,770,-49,40,18,9254,3,1,0,0,37247,286,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4124,0,54407,0
54306,-434,-8258,766,-52,38,21,9254,-3,-3,0,0,37244,277,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4126,0,54427,0
54316,-450,-8256,812,-51,39,20,9255,1,1,2,0,37245,276,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54447,0
54326,-448,-8220,784,-45,35,19,9255,1,-1,1,0,37245,280,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,54467,0
54336,-430,-8256,804,-51,35,12,9257,13,-2,0,0,37246,278,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54487,0
54346,-454,-8224,806,-51,40,16,9255,0,-3,1,0,37244,276,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4125,0,54507,0
54356,-444,-8246,818,-59,42,10,9255,-6,0,1,0,37244,281,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4126,0,54527,0
54366,-456,-8246,786,-52,43,14,9255,0,-5,2,0,37243,285,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54547,0
54376,-456,-8238,792,-52,42,14,9257,4,-4,0,0,37244,283,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54567,0
54386,-432,-8256,802,-49,38,14,9256,1,0,0,0,37244,279,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54587,0
54396,-446,-8240,800,-49,38,17,9255,-5,-6,1,0,37245,280,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,54607,0
54406,-440,-8246,790,-49,40,16,9255,0,1,0,0,37244,280,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4126,0,54627,0
54416,-428,-8254,790,-47,42,18,9255,7,-3,1,0,37243,288,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,54647,0
54426,-444,-8242,798,-48,38,16,9255,-3,-1,0,0,37244,291,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,54667,0
54436,-452,-8242,782,-52,34,16,9255,-8,-4,1,0,37247,295,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54688,0
54446,-452,-8266,822,-51,40,19,9255,2,-1,0,0,37249,294,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4126,0,54708,0
54456,-442,-8256,804,-53,40,15,9254,-3,-4,1,0,37249,293,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54729,0
54466,-454,-8276,792,-53,38,17,9256,5,0,0,0,37249,284,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54749,0
54476,-434,-8246,788,-54,42,19,9256,1,0,0,0,37247,282,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54769,0
54486,-434,-8244,802,-52,40,12,9255,0,0,0,0,37246,286,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,54790,0
54496,-422,-8262,790,-56,44,17,9255,-1,-2,1,0,37244,282,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54811,0
54506,-440,-8230,770,-51,43,14,9254,-5,0,0,0,37247,283,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4126,0,54831,0
54516,-416,-8276,788,-51,42,16,9254,-9,0,2,0,37250,276,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,54851,0
54526,-432,-8226,776,-48,42,23,9256,9,3,0,0,37249,274,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4125,0,54871,0
54536,-438,-8240,784,-52,41,21,9254,-4,-4,-1,0,37248,278,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54891,0
54546,-454,-8264,786,-52,37,23,9256,0,2,3,0,37250,280,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54911,0
54556,-456,-8234,828,-49,36,15,9256,4,0,1,0,37251,280,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54931,0
54566,-480,-8230,820,-51,41,21,9256,5,7,0,0,37249,283,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4126,0,54951,0
54576,-502,-8246,800,-52,37,17,9256,-1,-3,0,0,37250,293,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54971,0
54586,-454,-8284,792,-51,44,15,9256,5,-1,0,0,37248,291,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,54991,0
54596,-456,-8266,752,-56,40,9,9254,0,2,1,0,37251,282,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,55011,0
54606,-440,-8228,790,-47,44,10,9256,-2,-2,0,0,37250,280,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,55031,0
54616,-432,-8258,784,-44,40,15,9254,0,-3,2,0,37249,293,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,55051,0
54626,-458,-8272,776,-44,45,10,9256,0,5,0,0,37249,297,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,55071,0
54636,-420,-8238,798,-49,41,18,9254,-1,-6,0,0,37253,299,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,55094,0
54646,-438,-8248,784,-48,39,12,9254,-3,2,4,0,37252,289,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,55111,0
54656,-414,-8224,786,-51,37,16,9255,3,2,0,0,37257,295,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,55131,0
54666,-428,-8230,790,-52,38,18,9256,0,0,1,0,37255,296,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4125,0,55151,0
54676,-436,-8250,800,-53,38,15,9255,0,1,1,0,37258,291,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,55171,0
54686,-446,-8258,778,-51,35,20,9255,-2,0,-1,0,37253,282,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,55192,0
54696,-456,-8238,782,-49,40,21,9255,0,1,1,0,37253,277,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,55212,0
54706,-452,-8286,776,-43,37,19,9255,-3,0,0,0,37250,287,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,55231,0
54716,-422,-8244,796,-50,41,15,9253,-7,6,0,0,37251,282,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,55251,0
54726,-454,-8244,788,-47,34,21,9255,-1,0,0,0,37253,289,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4126,0,55271,0
54736,-432,-8250,796,-47,43,14,9256,4,3,0,0,37254,286,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,55292,0
54746,-414,-8248,756,-47,40,19,9254,0,1,2,0,37252,289,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4125,0,55312,0
