state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
55927,452,-8232,248,-49,12,4,8753,3,-2,-1,0,36938,101,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,2745,0
55937,436,-8234,268,-50,8,-1,8752,1,2,-1,0,36941,117,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,55927,0
55947,426,-8234,238,-47,11,-2,8752,3,-2,0,0,36937,118,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,55927,0
55957,456,-8248,274,-47,16,2,8751,-5,0,-1,0,36938,108,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,55927,0
55967,432,-8242,250,-50,8,3,8750,-4,-1,-1,0,36936,105,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,55927,0
55977,434,-8226,234,-49,11,3,8752,-1,2,0,0,36934,86,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,55927,0
55987,432,-8252,248,-49,7,2,8752,2,-2,-1,0,36933,90,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,55927,0
55997,442,-8246,258,-44,10,7,8751,-7,-3,0,0,36934,94,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,55927,0
56007,448,-8234,214,-46,16,4,8752,3,3,-3,0,36935,94,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,55927,0
56017,434,-8230,226,-47,12,5,8752,-4,-2,-1,0,36932,92,27,144,0,0,0,0,0,0,0,0,-32290,0,0,0,4012,0,55927,0
56027,450,-8242,220,-45,13,1,8753,5,0,0,0,36931,97,27,144,0,0,0,0,0,0,0,0,-32290,0,0,0,4012,0,55927,0
56037,462,-8250,222,-47,10,3,8752,-2,-4,-2,0,36931,95,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,55927,0
56047,436,-8242,238,-50,2,6,8751,-5,4,0,0,36939,84,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4011,0,55928,0
56057,442,-8234,262,-46,12,4,8751,-7,-4,0,0,36940,83,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,55938,0
56067,450,-8240,252,-48,7,5,8752,4,1,0,0,36938,91,27,144,0,0,0,0,0,0,0,0,-32290,0,0,0,4013,0,55948,0
56077,428,-8250,228,-47,13,5,8751,-5,-1,0,0,36930,100,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,55958,0
56087,454,-8222,272,-44,10,7,8752,2,-1,-1,0,36928,97,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,55968,0
56097,438,-8220,236,-45,11,4,8752,-2,-1,0,0,36930,92,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4012,0,55978,0
56107,408,-8248,256,-48,7,9,8752,-4,-1,-2,0,36931,94,28,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4012,0,55988,0
56117,434,-8230,244,-46,13,5,8752,3,-2,0,0,36931,93,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,55998,0
56127,444,-8216,220,-44,7,10,8752,1,2,-1,0,36929,90,27,144,0,0,0,0,0,0,0,0,-32290,0,0,0,4012,0,56008,0
56137,442,-8216,252,-49,10,3,8752,0,1,-2,0,36929,94,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56018,0
56147,452,-8224,262,-46,12,9,8751,-2,-2,0,0,36931,107,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56028,0
56157,408,-8248,226,-49,17,3,8752,0,-3,-1,0,36930,102,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56038,0
56167,436,-8226,250,-41,11,6,8752,-3,2,0,0,36928,94,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56048,0
56177,478,-8250,244,-47,12,11,8753,3,2,0,0,36926,80,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56058,0
56187,430,-8234,246,-45,11,11,8752,2,-1,-2,0,36927,87,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56068,0
56197,430,-8228,266,-46,9,6,8753,5,-3,-1,0,36928,89,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56078,0
56207,440,-8256,244,-50,12,5,8751,0,-10,-1,0,36927,93,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56088,0
56217,416,-8226,230,-45,12,7,8751,-3,-2,0,0,36925,91,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56098,0
56227,474,-8240,236,-46,10,8,8751,-8,-3,-2,0,36925,89,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56108,0
56237,438,-8220,236,-42,7,8,8753,3,-2,-1,0,36924,95,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56118,0
56247,452,-8224,260,-43,11,9,8751,1,1,-1,0,36929,98,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56128,0
56257,436,-8240,246,-49,14,9,8751,-3,-2,-1,0,36927,100,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56138,0
56267,450,-8230,246,-46,18,7,8751,1,-2,0,0,36925,101,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56148,0
56277,416,-8220,238,-44,11,8,8752,3,-6,1,0,36923,97,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56158,0
56287,448,-8250,226,-40,10,11,8752,3,0,0,0,36923,96,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56168,0
56297,442,-8226,240,-51,10,6,8752,0,-1,0,0,36925,91,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56178,0
56307,428,-8226,256,-47,12,5,8752,4,1,-1,0,36924,86,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56189,0
56317,446,-8230,232,-43,15,4,8752,5,-1,0,0,36925,81,27,144,0,0,0,0,0,0,0,0,-32290,0,0,0,4013,0,56199,0
56327,442,-8252,236,-43,12,4,8751,-8,-3,0,0,36926,87,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56218,0
56337,430,-8232,234,-41,14,6,8752,4,0,-2,0,36927,92,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56238,0
56347,406,-8258,256,-38,12,1,8752,-3,4,0,0,36930,87,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56258,0
56357,414,-8230,248,-44,9,2,8752,-3,3,-2,0,36927,83,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,4012,0,56274,0
56367,440,-8244,256,-44,12,6,8751,-2,1,-1,0,36930,91,27,144,0,0,0,0,0,0,0,0,-32290,0,0,0,4013,0,56284,0
56377,452,-8240,252,-45,17,1,8753,10,-1,1,0,36926,96,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56295,0
56387,448,-8236,250,-47,12,2,8752,0,-2,-2,0,36925,98,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56305,0
56397,446,-8214,252,-48,10,7,8751,-5,-2,0,0,36922,96,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56316,0
56407,446,-8222,254,-42,12,8,8752,-2,-2,0,0,36920,98,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56335,0
56417,454,-8228,236,-47,12,-1,8751,0,-2,-2,0,36919,99,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56345,0
56427,418,-8234,262,-42,9,2,8752,0,0,0,0,36919,95,27,144,0,0,0,0,0,0,0,0,-32290,0,0,0,4012,0,56355,0
56437,442,-8222,262,-43,13,5,8752,5,2,0,0,36919,93,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56367,0
56447,422,-8232,254,-51,10,5,8751,-2,-1,1,0,36924,93,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56377,0
56457,462,-8222,242,-48,14,5,8752,-1,-3,-2,0,36924,93,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56387,0
56467,456,-8246,248,-43,13,6,8751,0,-1,0,0,36923,86,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56397,0
56477,442,-8240,252,-46,12,6,8752,-3,3,0,0,36920,91,28,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4012,0,56407,0
56487,406,-8252,266,-46,13,4,8753,5,-3,-2,0,36920,89,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4013,0,56419,0
56497,438,-8230,256,-43,13,1,8752,-1,-2,0,0,36920,84,28,144,0,0,0,0,0,0,0,0,-32290,0,0,0,4013,0,56429,0
