state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
55503,-516,-8290,424,-47,39,18,8832,4,0,0,0,37040,363,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,7107,0
55513,-508,-8254,418,-45,39,17,8832,-7,-7,0,0,37045,355,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,55523,0
55523,-516,-8300,412,-46,41,18,8833,0,-2,0,0,37048,348,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,55543,0
55533,-510,-8288,410,-46,41,13,8833,-4,1,0,0,37051,352,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,55563,0
55543,-514,-8266,414,-48,39,13,8831,-8,1,0,0,37054,344,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,55583,0
55553,-514,-8284,418,-48,38,11,8832,-5,-5,0,0,37054,348,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,55603,0
55563,-504,-8280,400,-56,40,14,8832,-2,-3,0,0,37047,343,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,55623,0
55573,-504,-8280,420,-54,35,18,8832,0,-5,0,0,37037,341,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4185,0,55643,0
55583,-530,-8268,390,-49,45,15,8831,-10,5,0,0,37039,336,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,55663,0
55593,-534,-8324,386,-52,46,8,8832,4,-2,0,0,37043,334,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,55683,0
55603,-526,-8236,390,-47,38,8,8832,-7,-1,0,0,37046,342,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,55703,0
55613,-544,-8276,390,-49,38,11,8833,5,3,0,0,37043,351,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,55723,0
55623,-526,-8274,436,-47,36,15,8833,4,1,0,0,37042,347,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,55743,0
55633,-544,-8276,404,-47,37,9,8833,-1,-1,0,0,37046,347,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4185,0,55763,0
55643,-542,-8238,388,-47,42,8,8832,-3,-1,0,0,37049,352,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,55783,0
55653,-518,-8294,392,-53,39,13,8832,0,1,0,0,37047,370,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,55803,0
55663,-498,-8268,408,-44,30,6,8832,-4,5,-1,0,37041,363,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4185,0,55823,0
55673,-518,-8288,404,-50,40,14,8832,0,-7,0,0,37041,352,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,55843,0
55683,-496,-8292,382,-51,38,12,8833,0,6,0,0,37045,345,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,55864,0
55693,-520,-8274,402,-43,42,11,8832,-7,-1,-1,0,37046,353,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,55883,0
55703,-500,-8300,412,-51,37,11,8833,0,2,0,0,37041,362,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4185,0,55904,0
55713,-510,-8296,404,-51,34,15,8832,8,0,0,0,37040,353,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,55924,0
55723,-544,-8278,408,-55,37,13,8833,1,0,1,0,37045,349,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,55944,0
55733,-522,-8314,402,-44,38,13,8833,3,0,-1,0,37054,350,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,55964,0
55743,-534,-8306,402,-43,42,13,8832,-4,0,-1,0,37049,349,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,55984,0
55753,-508,-8284,426,-50,39,19,8833,2,-1,0,0,37046,347,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4185,0,56004,0
55763,-546,-8262,394,-51,39,10,8831,4,-4,0,0,37046,339,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,56024,0
55773,-516,-8298,396,-45,35,12,8832,-5,6,-1,0,37049,335,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56045,0
55783,-500,-8288,398,-52,35,12,8832,-1,-1,-1,0,37045,341,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56065,0
55793,-502,-8260,418,-48,37,15,8832,0,-5,-1,0,37043,348,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,56085,0
55803,-516,-8258,396,-50,37,18,8831,-11,-1,0,0,37046,359,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56107,0
55813,-510,-8276,402,-48,39,16,8833,1,-2,0,0,37048,355,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56128,0
55823,-530,-8272,416,-47,42,14,8833,0,6,-1,0,37048,360,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56148,0
55833,-518,-8274,402,-50,38,13,8833,-5,1,0,0,37048,360,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56168,0
55843,-526,-8292,382,-48,40,15,8831,-3,-7,0,0,37049,357,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4185,0,56188,0
55853,-516,-8266,394,-48,43,15,8833,2,2,-1,0,37054,347,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4185,0,56208,0
55863,-522,-8308,412,-45,44,13,8833,4,4,0,0,37052,347,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56228,0
55873,-512,-8308,404,-49,43,14,8832,-4,0,0,0,37047,360,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,56248,0
55883,-512,-8270,418,-45,38,11,8833,0,0,0,0,37045,350,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,56268,0
55893,-490,-8264,430,-50,42,9,8831,-15,-3,0,0,37048,342,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4183,0,56288,0
55903,-516,-8318,396,-46,41,9,8833,0,0,-2,0,37054,353,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56308,0
55913,-520,-8256,426,-46,43,13,8833,8,2,0,0,37049,354,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56328,0
55923,-498,-8290,412,-50,41,9,8834,6,3,-1,0,37043,352,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56348,0
55933,-500,-8294,422,-50,42,14,8833,0,0,0,0,37051,350,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,56368,0
55943,-520,-8258,402,-48,37,15,8833,5,1,0,0,37057,353,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4183,0,56388,0
55953,-514,-8284,392,-50,33,15,8833,6,6,-1,0,37057,368,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,56408,0
55963,-502,-8288,416,-50,43,19,8832,2,0,-1,0,37050,359,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4185,0,56428,0
55973,-516,-8298,412,-50,38,21,8832,2,-3,0,0,37048,349,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4185,0,56448,0
55983,-526,-8290,418,-51,41,15,8832,1,-1,0,0,37053,337,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,56468,0
55993,-494,-8300,406,-51,44,17,8833,4,1,-1,0,37053,348,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,56488,0
56003,-502,-8272,404,-50,36,17,8833,5,-2,1,0,37048,349,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4184,0,56508,0
56013,-524,-8278,408,-45,38,19,8833,2,1,0,0,37046,351,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56528,0
56023,-524,-8290,398,-46,42,21,8833,-1,1,-1,0,37054,345,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4184,0,56548,0
