state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
35336,-82,-8264,690,-31,36,-13,10886,4,2,-1,0,36536,308,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4065,0,7022,0
35346,-122,-8280,700,-35,35,-10,10886,6,4,0,0,36540,296,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4064,0,35356,0
35356,-110,-8246,704,-34,40,-8,10884,-1,-3,1,0,36538,281,28,66,0,0,0,0,0,0,0,0,-32314,0,0,0,4064,0,35376,0
35366,-112,-8270,698,-30,37,-14,10886,5,1,0,0,36538,287,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4064,0,35396,0
35376,-146,-8276,700,-29,44,-21,10884,-8,-2,0,0,36531,295,28,66,0,0,0,0,0,0,0,0,-32314,0,0,0,4063,0,35416,0
35386,-124,-8288,626,-38,37,-28,10886,-2,3,1,0,36532,301,28,66,0,0,0,0,0,0,0,0,-32314,0,0,0,4063,0,35436,0
35396,-116,-8230,678,-40,48,-30,10885,-1,-1,0,0,36534,300,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4063,0,35456,0
35406,-78,-8250,692,-41,41,-27,10885,-2,-2,1,0,36533,297,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4061,0,35476,0
35416,-82,-8232,732,-39,41,-30,10886,-5,0,0,0,36533,293,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4061,0,35496,0
35426,-72,-8260,692,-33,45,-27,10884,-6,-7,0,0,36531,291,28,66,0,0,0,0,0,0,0,0,-32314,0,0,0,4060,0,35516,0
35436,-72,-8302,688,-39,42,-19,10885,0,0,0,0,36531,287,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,35536,0
35446,-68,-8252,684,-42,42,-19,10884,0,3,-1,0,36534,283,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4059,0,35556,0
35456,-46,-8280,676,-37,40,-15,10886,-1,3,1,0,36536,275,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,35577,0
35466,-80,-8274,688,-43,41,-13,10886,-1,0,0,0,36537,279,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4058,0,35597,0
35476,-70,-8248,686,-39,44,-11,10885,-3,-2,2,0,36538,282,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4059,0,35617,0
35486,-72,-8254,702,-34,39,-3,10886,7,2,0,0,36532,282,28,66,0,0,0,0,0,0,0,0,-32314,0,0,0,4058,0,35637,0
35496,-48,-8292,692,-40,40,-2,10885,1,0,0,0,36531,277,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4057,0,35657,0
35506,-76,-8252,716,-40,37,-3,10885,-2,1,0,0,36533,271,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4057,0,35677,0
35516,-92,-8278,674,-36,39,1,10885,-4,-2,0,0,36534,275,28,66,0,0,0,0,0,0,0,0,-32313,0,0,0,4057,0,35697,0
35526,-92,-8310,680,-38,41,-3,10886,4,4,0,0,36534,279,28,66,0,0,0,0,0,0,0,0,-32314,0,0,0,4057,0,35717,0
