state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
25875,72,-8244,854,-58,48,45,9114,-1,1,-2,0,36443,354,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4006,0,7225,0
25885,72,-8218,848,-57,42,42,9113,5,0,0,0,36442,361,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4006,0,25895,0
25895,50,-8238,834,-58,41,40,9112,-4,0,0,0,36444,351,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4006,0,25915,0
25905,56,-8262,846,-62,42,39,9113,0,2,-1,0,36444,357,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,25935,0
25915,52,-8260,830,-58,42,33,9114,4,5,0,0,36450,354,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,25955,0
25925,28,-8214,820,-55,44,23,9113,1,0,0,0,36444,353,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,25975,0
25935,48,-8248,844,-59,38,20,9114,1,5,1,0,36439,355,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,25995,0
25945,4,-8262,818,-56,37,15,9114,2,-1,1,0,36436,348,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26015,0
25955,38,-8224,838,-53,43,11,9113,-3,-2,2,0,36441,350,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26035,0
25965,56,-8260,818,-51,35,8,9113,-1,-4,1,0,36443,345,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26055,0
25975,64,-8254,834,-49,34,8,9113,-1,0,-1,0,36439,329,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26075,0
25985,68,-8232,842,-49,34,9,9112,-4,-3,0,0,36438,329,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26095,0
25995,68,-8254,834,-51,41,9,9114,8,1,0,0,36443,322,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4007,0,26115,0
26005,56,-8260,850,-45,37,5,9113,-3,4,0,0,36450,330,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26135,0
26015,56,-8254,844,-46,36,8,9113,3,-4,0,0,36448,344,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4008,0,26155,0
26025,86,-8266,840,-46,37,8,9114,7,3,-1,0,36446,343,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4007,0,26175,0
26035,78,-8238,848,-51,38,7,9113,1,2,0,0,36446,352,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4007,0,26195,0
26045,82,-8246,828,-53,37,13,9113,-3,-1,-1,0,36447,347,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4007,0,26215,0
26055,90,-8224,848,-49,40,11,9114,0,0,0,0,36445,359,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4007,0,26235,0
26065,90,-8248,846,-49,42,16,9112,-7,-3,0,0,36437,357,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4007,0,26255,0
26075,86,-8222,838,-55,41,15,9111,-5,-3,-1,0,36434,345,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26276,0
26085,74,-8260,818,-54,40,15,9113,-3,1,0,0,36437,351,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26296,0
26095,58,-8268,816,-51,44,15,9115,0,6,0,0,36448,355,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26316,0
26105,64,-8232,826,-52,43,20,9113,0,1,0,0,36451,363,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4008,0,26336,0
26115,32,-8236,840,-48,41,21,9113,-7,2,0,0,36463,357,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4006,0,26356,0
26125,30,-8282,824,-43,41,16,9112,3,-3,0,0,36460,359,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26376,0
26135,78,-8212,830,-46,39,15,9114,-2,6,0,0,36457,367,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4007,0,26396,0
26145,42,-8246,826,-47,37,8,9114,0,-1,0,0,36441,353,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26417,0
26155,20,-8272,818,-41,36,6,9113,-5,4,0,0,36428,343,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4007,0,26440,0
26165,46,-8214,824,-46,38,5,9113,0,-2,0,0,36431,343,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4007,0,26460,0
26175,66,-8254,804,-45,36,3,9113,-4,1,-1,0,36435,337,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26480,0
26185,56,-8240,812,-40,37,-2,9113,-4,-4,0,0,36436,339,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4008,0,26500,0
26195,68,-8262,836,-40,33,2,9112,-9,0,0,0,36432,337,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4006,0,26520,0
26205,62,-8262,856,-43,38,4,9113,-5,-2,1,0,36429,346,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4006,0,26540,0
26215,62,-8258,850,-41,36,3,9115,11,-1,0,0,36433,353,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4007,0,26560,0
26225,84,-8228,850,-42,38,9,9113,0,1,-1,0,36435,362,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4006,0,26580,0
26235,74,-8224,850,-41,40,3,9114,2,-5,1,0,36434,359,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4006,0,26600,0
