state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
110646,538,-8232,260,-42,8,-8,4360,5,0,-5,0,36045,87,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3965,0,4207,0
110656,508,-8238,276,-35,7,-3,4358,-3,-2,-3,0,36042,78,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3966,0,110647,0
110666,508,-8262,274,-43,12,-4,4359,-4,1,-6,0,36047,79,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3965,0,110647,0
110676,502,-8232,254,-49,19,-10,4359,2,4,-7,0,36052,90,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3965,0,110647,0
110686,520,-8216,256,-40,15,-7,4361,6,-4,-4,0,36048,103,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3965,0,110647,0
110696,516,-8252,290,-39,15,-12,4360,4,2,-6,0,36046,82,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3965,0,110647,0
110706,550,-8234,274,-40,14,-5,4360,0,1,-3,0,36048,91,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3964,0,110647,0
110716,544,-8230,290,-43,15,-3,4358,-2,2,-2,0,36052,88,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3964,0,110647,0
110726,512,-8244,294,-41,12,1,4359,3,1,-4,0,36053,93,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3964,0,110647,0
110736,504,-8222,316,-49,6,-9,4360,-2,-6,-5,0,36052,97,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3965,0,110647,0
110746,506,-8202,302,-45,16,-7,4359,-4,5,-5,0,36054,78,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3964,0,110647,0
110756,500,-8250,270,-46,10,-12,4359,-1,-2,-3,0,36055,75,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3965,0,110647,0
110766,524,-8222,244,-46,12,-11,4359,0,2,-5,0,36058,77,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3964,0,110650,0
110776,540,-8230,244,-42,15,-14,4360,11,-1,-7,0,36060,94,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3963,0,110660,0
110786,516,-8254,276,-44,22,-12,4359,-1,1,-3,0,36055,93,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3964,0,110670,0
110796,560,-8232,318,-47,19,-10,4361,9,-3,-5,0,36056,85,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3963,0,110680,0
110806,576,-8208,294,-50,14,-7,4359,0,-2,-3,0,36054,99,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3963,0,110690,0
110816,520,-8244,314,-53,5,-8,4359,0,2,-3,0,36053,97,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3963,0,110700,0
110826,516,-8232,290,-56,12,-8,4360,0,-6,-8,0,36059,99,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3963,0,110710,0
110836,568,-8246,296,-52,20,-4,4359,8,-2,-4,0,36061,83,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3962,0,110720,0
110846,576,-8216,270,-54,10,-6,4359,0,-3,-4,0,36063,98,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3961,0,110730,0
110856,536,-8242,234,-52,8,-4,4359,3,-1,-4,0,36051,104,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3962,0,110740,0
110866,524,-8224,234,-47,12,-3,4359,-3,-5,-5,0,36050,84,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3961,0,110750,0
110876,534,-8222,222,-41,13,-6,4359,0,3,-7,0,36055,81,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3961,0,110760,0
110886,550,-8216,234,-44,17,-1,4358,-7,-5,-5,0,36059,85,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3961,0,110770,0
110896,570,-8224,288,-45,12,3,4358,-11,0,-4,0,36057,85,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3961,0,110780,0
110906,558,-8228,286,-49,18,11,4358,-5,2,-5,0,36051,90,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3961,0,110790,0
110916,528,-8232,284,-47,9,13,4359,-2,-1,-5,0,36054,79,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3961,0,110800,0
110926,562,-8220,296,-48,10,9,4358,1,-2,-4,0,36063,89,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3961,0,110810,0
110936,546,-8230,278,-49,16,9,4359,-4,-5,-3,0,36062,95,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3961,0,110821,0
110946,524,-8256,276,-48,11,9,4358,-1,-1,-5,0,36059,91,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3961,0,110831,0
110956,524,-8252,278,-49,14,16,4359,0,-2,-5,0,36055,87,26,65,0,0,0,0,0,0,0,0,-32293,0,0,0,3961,0,110840,0
