state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
104953,-1020,-8268,-62,-28,36,8,9878,2,1,0,0,37349,301,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,8578,0
104963,-1044,-8274,-92,-35,37,4,9878,0,3,-1,0,37335,305,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,104973,0
104973,-968,-8224,-78,-33,32,3,9877,-2,4,-1,0,37331,301,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,104993,0
104983,-1012,-8252,-90,-34,33,2,9879,4,5,0,0,37332,303,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105014,0
104993,-1030,-8306,-72,-26,34,-4,9877,-7,1,-2,0,37337,306,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105034,0
105003,-1034,-8260,-24,-28,40,-7,9879,1,-4,0,0,37335,310,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105054,0
105013,-972,-8280,-26,-33,44,-2,9878,0,-3,0,0,37330,309,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4342,0,105073,0
105023,-914,-8302,-12,-37,40,-1,9878,4,-1,-2,0,37332,303,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105093,0
105033,-944,-8264,8,-39,36,12,9878,0,0,0,0,37339,304,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105113,0
105043,-938,-8278,-10,-46,43,19,9878,2,1,0,0,37339,306,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4341,0,105133,0
105053,-932,-8274,-46,-43,40,19,9878,1,2,-1,0,37335,306,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105153,0
105063,-960,-8246,-64,-44,40,19,9879,4,-1,-1,0,37329,295,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4342,0,105173,0
105073,-982,-8248,-104,-46,39,24,9879,7,0,0,0,37330,299,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105193,0
105083,-994,-8256,-120,-49,41,25,9878,2,0,0,0,37330,307,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4342,0,105213,0
105093,-1000,-8268,-68,-46,39,28,9877,-2,1,0,0,37327,298,26,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4343,0,105233,0
105103,-960,-8262,-44,-46,42,24,9878,4,-2,0,0,37326,290,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4343,0,105253,0
105113,-966,-8308,-62,-44,46,31,9878,-1,-1,0,0,37332,266,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4342,0,105274,0
105123,-974,-8262,-96,-45,40,33,9878,0,4,0,0,37333,290,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4342,0,105294,0
105133,-978,-8276,-50,-45,39,34,9877,-3,1,0,0,37330,297,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4343,0,105314,0
105143,-998,-8246,-42,-48,36,35,9879,0,4,1,0,37338,289,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105334,0
105153,-1032,-8260,-74,-47,43,28,9878,0,2,-2,0,37341,285,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4343,0,105354,0
105163,-1032,-8232,-42,-48,43,18,9878,-3,0,0,0,37346,294,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4343,0,105374,0
105173,-988,-8260,-60,-50,36,18,9878,-3,-2,0,0,37333,300,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4344,0,105394,0
105183,-984,-8270,-64,-52,43,22,9878,0,-4,0,0,37329,306,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4343,0,105414,0
105193,-1010,-8238,-144,-38,38,24,9877,-5,0,0,0,37333,298,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4344,0,105434,0
105203,-994,-8274,-68,-41,38,21,9879,-3,1,0,0,37335,303,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105454,0
105213,-994,-8274,-42,-44,32,21,9878,-7,0,0,0,37330,303,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105474,0
105223,-1004,-8258,-44,-43,38,19,9878,-5,-1,0,0,37323,314,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4344,0,105496,0
105233,-1034,-8262,-54,-40,37,16,9878,7,1,-2,0,37322,308,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4344,0,105516,0
105243,-1056,-8264,-60,-37,42,15,9878,0,-2,0,0,37326,303,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105536,0
105253,-1018,-8228,-20,-47,38,5,9879,0,-4,-1,0,37329,297,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105556,0
105263,-1032,-8284,-38,-52,43,9,9878,-6,-1,1,0,37324,294,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105578,0
105273,-966,-8244,-92,-48,38,8,9878,1,2,0,0,37323,300,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105598,0
105283,-946,-8254,-90,-48,38,9,9879,2,-2,1,0,37322,292,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4342,0,105618,0
105293,-916,-8262,-56,-43,34,16,9879,1,-3,-2,0,37328,299,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4343,0,105638,0
