state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
15656,-1128,-8154,814,-53,21,28,5862,2,2,-5,0,37561,112,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4509,0,1873,0
15666,-1102,-8140,796,-56,18,26,5862,6,-4,-3,0,37558,112,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4509,0,15657,0
15676,-1084,-8156,770,-55,14,32,5860,-4,1,-5,0,37556,114,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4509,0,15657,0
15686,-1128,-8094,752,-51,16,41,5863,7,6,-4,0,37556,111,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4510,0,15657,0
15696,-1158,-8162,740,-48,3,41,5863,3,10,-4,0,37556,117,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4511,0,15657,0
15706,-1224,-8152,730,-38,9,30,5861,-6,-1,-3,0,37557,110,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4510,0,15657,0
15716,-1248,-8120,752,-32,10,11,5860,0,-3,-6,0,37557,115,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4512,0,15657,0
15726,-1238,-8140,786,-32,10,-5,5860,-2,-3,-4,0,37561,118,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4512,0,15657,0
15736,-1216,-8150,890,-43,5,-11,5861,1,-2,-3,0,37570,119,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4511,0,15657,0
15746,-1262,-8100,904,-52,6,-20,5861,-2,2,-4,0,37569,116,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4511,0,15657,0
15756,-1298,-8152,900,-64,-5,-42,5861,2,0,-3,0,37568,111,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4511,0,15657,0
15766,-1296,-8134,878,-72,-11,-63,5862,1,7,-3,0,37565,118,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4511,0,15657,0
15776,-1392,-8158,868,-84,-13,-107,5860,-4,-2,-4,0,37564,130,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4511,0,15657,0
15786,-1388,-8078,896,-87,-14,-136,5861,-3,1,-2,0,37565,128,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4508,0,15666,0
15796,-1296,-8160,908,-100,3,-177,5861,0,3,-4,0,37561,123,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4505,0,15676,0
15806,-1324,-8118,890,-107,14,-199,5863,13,-3,-4,0,37557,127,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4504,0,15686,0
15816,-1278,-8158,844,-110,21,-234,5862,-1,0,-4,0,37559,116,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4501,0,15696,0
15826,-1194,-8120,794,-111,22,-251,5861,-1,-1,-3,0,37558,112,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4498,0,15706,0
15836,-1134,-8096,710,-107,16,-266,5861,-2,-5,-5,0,37563,109,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4495,0,15716,0
15846,-1134,-8116,656,-103,21,-273,5861,8,4,-4,0,37565,118,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4491,0,15726,0
15856,-1062,-8166,706,-90,14,-280,5862,1,-1,-2,0,37568,128,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4488,0,15736,0
15866,-1036,-8138,742,-85,18,-278,5862,-1,0,-4,0,37571,121,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4484,0,15746,0
15876,-1012,-8114,792,-88,20,-270,5861,-2,2,-3,0,37575,111,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4479,0,15756,0
15886,-1002,-8146,798,-93,12,-266,5862,3,-2,-1,0,37585,117,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4477,0,15766,0
15896,-1008,-8112,768,-87,14,-264,5861,4,0,-4,0,37588,121,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4473,0,15776,0
15906,-992,-8128,730,-86,23,-269,5860,0,-3,-5,0,37575,118,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4469,0,15786,0
15916,-944,-8164,726,-82,20,-260,5862,4,0,-4,0,37567,123,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4466,0,15796,0
15926,-896,-8158,678,-72,26,-252,5862,-2,3,-5,0,37563,123,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4462,0,15806,0
15936,-858,-8186,642,-57,18,-239,5862,-3,2,-2,0,37561,124,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4460,0,15816,0
15946,-848,-8152,672,-48,11,-221,5861,3,3,-3,0,37567,123,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4456,0,15827,0
15956,-926,-8148,650,-33,1,-219,5861,0,3,-4,0,37570,121,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4453,0,15837,0
15966,-952,-8152,604,-22,-8,-215,5862,0,1,-2,0,37572,118,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4450,0,15847,0
15976,-1014,-8176,574,4,-10,-229,5862,9,1,-4,0,37570,122,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4448,0,15857,0
15986,-1042,-8166,586,17,-4,-244,5862,7,1,-3,0,37564,109,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4444,0,15867,0
15996,-1058,-8184,756,25,7,-271,5860,-7,-4,-4,0,37562,115,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4441,0,15877,0
16006,-1038,-8170,882,20,12,-290,5862,3,0,-3,0,37563,112,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4438,0,15887,0
16016,-1016,-8148,1024,-1,10,-310,5861,4,0,-3,0,37561,105,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4433,0,15897,0
16026,-1014,-8128,1052,-19,6,-323,5862,0,3,-3,0,37562,111,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4428,0,15907,0
16036,-982,-8196,972,-56,14,-347,5862,9,-2,-3,0,37562,115,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4424,0,15917,0
16046,-930,-8224,940,-67,21,-357,5862,6,4,-5,0,37561,115,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4418,0,15927,0
16056,-788,-8126,788,-68,25,-358,5862,-7,1,-1,0,37565,124,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4412,0,15946,0
16066,-730,-8204,686,-70,22,-357,5862,0,-2,-3,0,37563,129,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4407,0,15958,0
16076,-614,-8144,668,-60,23,-331,5862,3,6,-5,0,37562,132,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4402,0,15969,0
16086,-574,-8176,676,-50,13,-313,5861,0,4,-3,0,37555,129,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4397,0,15978,0
16096,-600,-8180,778,-47,16,-282,5862,0,3,-4,0,37557,124,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4392,0,15988,0
16106,-584,-8152,814,-40,21,-268,5862,2,0,-4,0,37557,121,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4388,0,15998,0
16116,-560,-8142,836,-54,26,-248,5861,7,1,-3,0,37557,117,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4385,0,16008,0
16126,-520,-8170,830,-57,27,-219,5861,0,6,-4,0,37556,108,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4381,0,16019,0
16136,-436,-8160,812,-57,27,-182,5861,4,0,-3,0,37557,114,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4378,0,16029,0
16146,-422,-8172,792,-56,28,-146,5862,1,4,-5,0,37561,112,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4374,0,16041,0
16156,-426,-8176,790,-63,17,-100,5861,2,-1,-1,0,37565,113,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4373,0,16059,0
16166,-426,-8198,764,-64,22,-64,5861,0,3,-2,0,37560,113,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4371,0,16069,0
16176,-474,-8180,750,-56,14,-19,5861,4,-2,-4,0,37555,122,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4370,0,16081,0
16186,-522,-8166,746,-46,12,3,5861,0,0,-3,0,37552,123,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4371,0,16091,0
16196,-574,-8192,748,-52,19,24,5861,-2,-1,-5,0,37555,121,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4371,0,16101,0
16206,-688,-8192,764,-49,18,35,5861,2,-5,-3,0,37555,119,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4371,0,16111,0
16216,-760,-8164,770,-44,17,33,5861,-2,-4,-3,0,37552,117,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4371,0,16121,0
16226,-804,-8208,784,-45,15,22,5860,-1,-6,-4,0,37553,119,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4371,0,16131,0
16236,-826,-8166,804,-46,20,9,5861,-1,-1,-2,0,37556,114,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4371,0,16144,0
16246,-806,-8184,852,-54,15,-5,5861,5,1,-4,0,37558,120,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4371,0,16154,0
16256,-782,-8202,844,-62,8,-16,5860,-1,-1,-3,0,37557,129,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4371,0,16164,0
16266,-798,-8212,870,-66,1,-30,5861,-5,-4,-2,0,37557,126,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4371,0,16174,0
16276,-890,-8166,838,-77,-3,-47,5862,2,3,-4,0,37557,113,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4371,0,16187,0
16286,-890,-8224,840,-78,14,-81,5861,-5,-2,-3,0,37558,112,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4368,0,16197,0
16296,-940,-8166,794,-82,18,-124,5861,-2,-4,-5,0,37551,117,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4367,0,16207,0
16306,-896,-8164,800,-78,26,-141,5862,0,2,-4,0,37547,124,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4365,0,16218,0
16316,-818,-8218,786,-81,20,-170,5861,0,-2,-3,0,37544,123,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4363,0,16230,0
16326,-762,-8152,756,-87,24,-183,5861,3,1,-5,0,37548,120,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4361,0,16240,0
16336,-682,-8182,780,-87,27,-194,5862,4,1,-3,0,37552,118,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4358,0,16249,0
16346,-620,-8182,768,-93,27,-196,5862,5,3,-6,0,37552,111,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4355,0,16263,0
16356,-534,-8148,808,-94,30,-180,5862,7,3,-3,0,37550,118,23,144,0,0,0,0,0,0,0,0,-32297,0,0,0,4353,0,16274,0
16366,-506,-8154,764,-103,25,-168,5861,-2,0,0,0,37557,117,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4349,0,16284,0
16376,-436,-8200,752,-99,19,-137,5862,8,4,-4,0,37556,120,23,144,0,0,0,0,0,0,0,0,-32298,0,0,0,4348,0,16294,0
