state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
338126,-2726,-2706,-502,1463,-318,-9864,9119,-4,-6,-3,0,37437,326,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4457,3,6228,0
338136,-2586,-2938,-536,1817,-141,-10603,9120,0,0,-3,0,37433,312,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4480,2,338146,0
338146,-2624,-2956,-576,2037,-40,-11007,9119,-3,3,0,0,37430,307,27,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4493,1,338166,0
338156,-2468,-3166,-612,2373,56,-11404,9121,0,1,-2,0,37429,299,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4498,0,338186,0
338166,-2216,-3520,-684,2613,86,-11585,9119,1,1,-1,0,37430,303,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4498,0,338206,0
338176,-2596,-4630,-770,3076,187,-11791,9120,-4,0,-3,0,37432,302,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4497,0,338226,0
338186,-3718,-5864,-914,3411,269,-11964,9119,-8,-3,-5,0,37430,298,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4494,0,338246,0
338196,-5092,-7288,-484,3931,330,-12315,9120,5,2,-2,0,37430,301,27,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4492,0,338266,0
338206,-5536,-7594,-218,4250,426,-12582,9120,-3,-2,-5,0,37438,300,27,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4486,0,338286,0
338216,-5992,-8076,598,4645,678,-12872,9119,-2,-3,-1,0,37438,303,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4478,0,338306,0
338226,-6248,-8534,882,4844,885,-12914,9119,-2,-4,-1,0,37437,300,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4465,-1,338326,0
338236,-5978,-9764,870,5041,1277,-12681,9118,-4,0,0,0,37430,305,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4449,-1,338346,0
338246,-5848,-10518,452,5013,1596,-12270,9119,8,1,1,0,37429,312,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4432,-1,338366,0
338256,-5924,-12134,1184,4514,1968,-11318,9119,-1,-2,0,0,37427,316,27,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4404,-3,338386,0
338266,-5596,-13282,1876,3962,1970,-10384,9118,-1,1,2,0,37428,317,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4362,-4,338406,0
338276,-6176,-14448,2286,2795,1068,-8406,9117,-3,-1,2,0,37429,317,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4311,-5,338426,0
338286,-7118,-15984,1512,2040,429,-6612,9116,-8,1,4,0,37429,312,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4257,-5,338446,0
338296,-7096,-17278,256,1212,-684,-3521,9116,4,5,1,0,37427,309,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4223,-3,338466,0
338306,-6594,-17202,-788,757,-1357,-1455,9116,-1,0,-2,0,37427,304,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4204,-1,338486,0
338316,-6876,-15074,-1920,105,-2976,1649,9115,-9,2,-1,0,37431,300,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4197,0,338506,0
338326,4606,-32768,-9384,-967,-3999,2683,9120,20,6,-30,0,37431,304,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4188,-2,338527,0
338336,-10124,-712,14094,1167,-6549,3601,9113,-45,-3,50,0,37430,301,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,4027,-15,338547,0
338346,562,-8946,-5126,846,-4202,4904,9117,18,-16,-39,0,37423,309,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3983,-2,338567,0
338356,2190,1368,3658,2228,-4038,4924,9117,0,23,-5,0,37431,304,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3984,1,338587,0
338366,-2380,4476,1246,166,-607,2653,9125,9,6,-30,0,37444,303,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3944,-8,338607,0
338376,-592,-6080,-666,-1548,-2211,1402,9120,-4,-12,18,0,37455,306,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3828,-12,338627,0
338386,2636,-12856,-1430,-1483,-769,2024,9118,-4,-12,1,0,37452,315,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3711,-11,338647,0
338396,-684,-14552,-2962,-615,-107,3800,9118,5,10,0,0,37438,314,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3631,-5,338669,0
338406,26,-11440,-3746,-136,-350,4906,9119,3,5,-6,0,37425,314,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3616,0,338689,0
338416,-1948,-8168,-794,-312,588,5041,9120,1,7,-11,0,37426,304,27,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3621,0,338709,0
338426,-3724,-11122,1538,125,104,4888,9119,0,-1,4,0,37432,310,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3630,1,338730,0
338436,-4506,-7604,1480,340,346,5082,9119,0,-3,-3,0,37430,309,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3654,2,338750,0
338446,-4476,-7760,2370,15,440,4912,9121,9,0,-3,0,37428,303,27,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3693,4,338771,0
338456,-7684,-11080,4764,-238,274,4763,9120,4,4,0,0,37420,305,27,79,0,0,0,0,0,0,0,0,-32313,0,0,0,3733,4,338791,0
338466,-3968,-6824,3064,-314,207,4726,9120,9,3,-9,0,37420,305,28,79,0,0,0,0,0,0,0,0,-32314,0,0,0,3799,7,338812,0
