state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
11342,-406,-8178,986,-50,15,-3,5918,1,0,2,0,37414,100,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4316,0,1901,0
11352,-430,-8160,984,-49,16,-6,5918,2,-2,2,0,37407,100,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4316,0,11352,0
11362,-396,-8172,992,-44,12,-4,5917,0,2,1,0,37405,77,26,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4315,0,11362,0
11372,-386,-8188,1008,-49,12,-3,5918,-7,1,1,0,37413,79,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4315,0,11372,0
11382,-416,-8168,980,-45,19,-6,5917,-4,1,0,0,37411,87,26,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4315,0,11382,0
11392,-382,-8174,1000,-46,14,-1,5918,0,1,2,0,37403,90,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4315,0,11392,0
11402,-378,-8156,1006,-48,15,1,5918,3,-3,3,0,37401,87,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4316,0,11402,0
11412,-390,-8200,976,-45,11,7,5917,0,0,1,0,37406,85,26,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4316,0,11412,0
11422,-386,-8188,980,-45,10,9,5917,-6,-5,1,0,37412,91,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4315,0,11422,0
11432,-396,-8164,994,-42,10,10,5917,-6,-4,2,0,37411,101,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4315,0,11432,0
11442,-386,-8184,994,-47,15,12,5917,0,-1,1,0,37408,86,26,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4315,0,11442,0
11452,-396,-8178,984,-41,13,13,5918,-3,-4,0,0,37413,95,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4315,0,11452,0
11462,-358,-8166,990,-42,17,17,5919,6,-4,1,0,37411,88,26,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4315,0,11462,0
11472,-422,-8202,980,-40,17,20,5917,-1,0,1,0,37407,86,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4316,0,11472,0
11482,-408,-8162,1016,-44,6,21,5918,-1,1,1,0,37400,85,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4315,0,11482,0
11492,-452,-8152,1012,-45,11,25,5918,-2,1,1,0,37403,73,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4317,0,11492,0
11502,-456,-8176,986,-42,13,17,5917,-6,0,2,0,37407,80,26,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4317,0,11502,0
11512,-464,-8150,994,-47,18,9,5918,-1,-2,2,0,37407,85,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4315,0,11513,0
11522,-458,-8160,984,-44,19,5,5919,0,-4,1,0,37403,92,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4317,0,11523,0
11532,-438,-8164,1002,-45,14,-1,5917,-9,-1,1,0,37404,94,26,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4316,0,11533,0
11542,-404,-8152,1002,-46,13,-1,5917,1,0,1,0,37415,82,25,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4317,0,11543,0
11552,-404,-8188,990,-44,12,3,5917,-1,-1,1,0,37414,86,26,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4317,0,11553,0
