state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
14268,-572,-8188,1134,-50,39,18,9179,-3,3,0,0,37381,256,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4184,0,6388,0
14278,-606,-8158,1108,-57,43,19,9179,0,0,3,0,37380,264,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4183,0,14288,0
14288,-582,-8216,1108,-58,39,17,9180,8,2,0,0,37382,265,27,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4184,0,14308,0
14298,-568,-8212,1096,-57,40,25,9179,0,-4,0,0,37376,270,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4182,0,14328,0
14308,-570,-8184,1088,-55,43,23,9180,-3,0,1,0,37371,271,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4183,0,14348,0
14318,-554,-8198,1064,-56,39,20,9178,-9,2,0,0,37375,267,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4183,0,14368,0
14328,-606,-8232,1076,-49,33,25,9179,-1,8,1,0,37379,273,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4183,0,14388,0
14338,-574,-8184,1102,-54,40,25,9179,1,2,-1,0,37378,273,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4184,0,14408,0
14348,-594,-8192,1092,-57,37,26,9179,-1,-1,-2,0,37375,273,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4184,0,14428,0
14358,-590,-8180,1120,-54,40,26,9180,1,2,0,0,37373,263,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4184,0,14448,0
14368,-574,-8192,1126,-53,40,23,9179,-5,-2,0,0,37379,265,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4184,0,14468,0
14378,-578,-8202,1126,-59,47,26,9180,3,3,1,0,37377,266,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4185,0,14488,0
14388,-594,-8204,1084,-66,42,25,9181,1,3,1,0,37370,262,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4183,0,14508,0
14398,-596,-8174,1106,-59,43,21,9180,3,-2,0,0,37365,258,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4184,0,14528,0
14408,-586,-8196,1046,-59,36,20,9179,-5,-5,1,0,37372,255,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4184,0,14548,0
14418,-580,-8210,1062,-57,40,26,9179,1,3,-1,0,37376,255,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4184,0,14568,0
14428,-632,-8178,1070,-49,39,24,9179,-1,1,2,0,37370,250,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4185,0,14588,0
14438,-632,-8184,1084,-47,42,16,9179,-3,-3,1,0,37371,242,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4184,0,14608,0
14448,-614,-8208,1092,-48,38,17,9179,1,-2,0,0,37380,261,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4185,0,14628,0
14458,-620,-8176,1108,-50,39,18,9180,2,0,2,0,37390,259,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4185,0,14648,0
14468,-596,-8200,1086,-54,41,15,9178,-3,2,1,0,37387,262,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4185,0,14668,0
14478,-596,-8168,1094,-53,48,12,9179,1,1,3,0,37383,267,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4185,0,14688,0
14488,-608,-8208,1080,-50,38,14,9180,8,0,0,0,37379,259,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4185,0,14708,0
14498,-600,-8188,1074,-52,46,11,9179,0,-1,-2,0,37382,268,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4185,0,14728,0
14508,-564,-8178,1098,-48,41,13,9179,0,0,0,0,37384,266,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4185,0,14748,0
14518,-580,-8198,1090,-52,45,17,9179,-5,2,2,0,37382,278,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4185,0,14768,0
14528,-598,-8198,1094,-48,41,13,9180,2,4,3,0,37377,268,27,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4185,0,14788,0
