state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
152559,-606,-8164,900,-48,14,7,10370,-4,-2,-3,0,37389,75,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4341,0,3821,0
152569,-574,-8190,874,-45,16,2,10370,1,-2,-5,0,37390,68,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4343,0,152559,0
152579,-576,-8182,864,-54,12,12,10369,-6,-2,-4,0,37389,70,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4341,0,152559,0
152589,-570,-8196,814,-50,11,12,10371,-1,-2,-5,0,37387,73,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4342,0,152559,0
152599,-562,-8190,796,-45,15,9,10369,-7,-5,-3,0,37387,80,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4342,0,152559,0
152609,-598,-8192,796,-40,10,12,10370,-2,1,-5,0,37391,79,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4343,0,152559,0
152619,-578,-8184,810,-40,16,9,10370,0,-1,-4,0,37393,71,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4343,0,152559,0
152629,-590,-8168,880,-40,10,5,10370,-3,4,-4,0,37392,68,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4343,0,152559,0
152639,-584,-8184,848,-43,12,10,10371,1,0,-3,0,37387,70,26,144,0,0,0,0,0,0,0,0,-32294,0,0,0,4343,0,152559,0
152649,-590,-8184,848,-47,18,10,10370,1,0,-2,0,37388,75,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4343,0,152559,0
152659,-598,-8170,830,-49,11,12,10371,2,2,-3,0,37392,82,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,4343,0,152559,0
