state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
34999,-374,-8194,722,-46,13,9,4689,5,-3,-2,0,36763,72,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4275,0,3732,0
35009,-402,-8204,738,-47,10,11,4687,0,3,-2,0,36763,69,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4276,0,34999,0
35019,-364,-8224,760,-50,10,8,4687,-5,-4,-1,0,36763,67,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4276,0,34999,0
35029,-390,-8202,746,-44,12,8,4687,-2,1,-3,0,36760,66,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4275,0,34999,0
35039,-396,-8176,748,-47,20,3,4687,3,4,-3,0,36764,68,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4276,0,34999,0
35049,-386,-8222,754,-44,15,5,4687,-2,1,-3,0,36763,73,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4276,0,34999,0
35059,-382,-8202,758,-50,11,11,4689,8,1,-2,0,36763,79,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4277,0,34999,0
35069,-394,-8206,724,-43,9,8,4687,-1,-1,-2,0,36766,86,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4275,0,34999,0
35079,-400,-8242,724,-48,11,8,4686,-5,2,-3,0,36777,85,27,144,0,0,0,0,0,0,0,0,-32292,0,0,0,4276,0,34999,0
35089,-378,-8200,742,-44,11,4,4687,0,-4,-1,0,36774,86,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4275,0,34999,0
35099,-374,-8184,724,-48,17,6,4687,2,3,-4,0,36772,81,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4275,0,34999,0
35109,-400,-8226,754,-51,12,11,4688,7,-6,-2,0,36759,76,27,144,0,0,0,0,0,0,0,0,-32291,0,0,0,4276,0,34999,0
