state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
32691,-94,-8264,866,-50,38,13,14172,0,-5,0,0,36915,294,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,8018,0
32701,-126,-8220,900,-48,42,12,14172,0,-3,0,0,36911,283,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,32711,0
32711,-124,-8238,906,-52,33,14,14171,-3,3,0,0,36912,283,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,32731,0
32721,-98,-8266,866,-52,43,13,14172,-3,-2,0,0,36917,284,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,32751,0
32731,-114,-8250,878,-46,40,9,14173,6,-2,-1,0,36908,290,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4059,0,32771,0
32741,-136,-8236,888,-47,38,14,14172,3,-2,0,0,36902,286,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4059,0,32791,0
32751,-86,-8244,874,-51,44,13,14174,10,-2,-1,0,36907,287,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,32811,0
32761,-100,-8236,868,-52,39,17,14172,3,2,0,0,36915,289,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,32831,0
32771,-124,-8246,880,-50,33,15,14171,0,1,-1,0,36912,279,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4060,0,32851,0
32781,-122,-8262,900,-46,40,16,14172,-1,-2,2,0,36913,290,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,32871,0
32791,-112,-8242,894,-46,36,12,14170,-10,3,1,0,36915,278,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,32891,0
32801,-124,-8254,884,-46,39,12,14173,1,0,0,0,36923,292,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,32911,0
32811,-126,-8232,900,-51,37,13,14171,-2,0,0,0,36920,293,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,32933,0
32821,-132,-8270,890,-49,43,9,14172,3,5,0,0,36913,296,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,32952,0
32831,-114,-8224,870,-49,40,9,14172,1,2,0,0,36909,292,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,4060,0,32972,0
32841,-112,-8226,848,-47,39,14,14173,2,4,0,0,36914,281,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,4060,0,32992,0
