state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
38785,-806,-8136,760,-50,9,11,6942,-2,-3,0,0,36541,125,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,3395,0
38795,-798,-8152,794,-53,14,11,6943,-1,0,-1,0,36541,107,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38785,0
38805,-806,-8154,786,-54,13,7,6944,6,-6,-2,0,36542,100,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38785,0
38815,-826,-8180,766,-52,10,9,6945,4,3,-3,0,36545,106,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38785,0
38825,-802,-8192,772,-55,13,4,6944,6,3,-3,0,36544,117,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38785,0
38835,-800,-8164,786,-55,16,2,6944,12,2,0,0,36546,117,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38785,0
38845,-782,-8152,768,-54,8,1,6942,2,-1,-4,0,36545,110,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4453,0,38785,0
38855,-744,-8200,732,-56,10,3,6942,0,-3,-3,0,36550,101,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4453,0,38785,0
38865,-758,-8138,754,-52,10,8,6943,-1,3,-2,0,36548,111,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38785,0
38875,-752,-8140,748,-48,11,11,6943,0,0,-4,0,36547,107,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38785,0
38885,-780,-8188,754,-55,8,19,6944,4,3,-3,0,36546,114,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38785,0
38895,-796,-8170,760,-54,9,20,6943,3,0,-2,0,36557,114,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38785,0
38905,-758,-8146,732,-49,10,18,6943,-4,3,-3,0,36569,121,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38786,0
38915,-748,-8180,754,-53,9,23,6941,-7,-8,-2,0,36567,129,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38796,0
38925,-812,-8160,738,-52,15,19,6943,3,-2,-3,0,36556,129,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4454,0,38806,0
38935,-788,-8176,746,-53,12,17,6943,-1,3,-2,0,36548,121,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4455,0,38816,0
38945,-786,-8180,766,-44,8,21,6944,0,0,1,0,36547,115,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4456,0,38826,0
38955,-780,-8142,782,-52,10,21,6943,-3,-1,-4,0,36550,116,28,79,0,0,0,0,0,0,0,0,-32290,0,0,0,4456,0,38836,0
