state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
38308,0,-8266,842,-56,42,16,7221,2,-6,-1,0,36749,303,29,79,0,0,0,0,0,0,0,0,-32311,0,0,0,3993,0,7654,0
38318,-6,-8242,830,-55,38,21,7221,9,-2,0,0,36748,298,29,79,0,0,0,0,0,0,0,0,-32312,0,0,0,3993,0,38328,0
38328,-2,-8274,818,-61,42,16,7220,1,3,0,0,36748,298,29,79,0,0,0,0,0,0,0,0,-32311,0,0,0,3994,0,38348,0
38338,-8,-8224,832,-53,37,15,7221,5,4,0,0,36745,300,29,79,0,0,0,0,0,0,0,0,-32312,0,0,0,3994,0,38368,0
38348,-16,-8244,796,-49,37,13,7220,-11,1,-1,0,36743,309,29,79,0,0,0,0,0,0,0,0,-32312,0,0,0,3994,0,38388,0
38358,-20,-8260,804,-52,39,17,7219,-7,2,0,0,36743,313,29,79,0,0,0,0,0,0,0,0,-32312,0,0,0,3993,0,38408,0
38368,-18,-8232,824,-47,34,17,7220,-6,-4,-2,0,36743,318,29,79,0,0,0,0,0,0,0,0,-32311,0,0,0,3993,0,38428,0
38378,-34,-8240,854,-45,41,13,7220,-2,-1,0,0,36743,313,29,79,0,0,0,0,0,0,0,0,-32312,0,0,0,3994,0,38448,0
38388,-12,-8266,854,-49,39,12,7220,1,6,0,0,36744,314,29,79,0,0,0,0,0,0,0,0,-32312,0,0,0,3993,0,38468,0
38398,-8,-8268,858,-47,47,13,7221,5,5,-1,0,36743,309,29,79,0,0,0,0,0,0,0,0,-32312,0,0,0,3993,0,38488,0
38408,-16,-8246,810,-48,37,14,7220,3,-2,1,0,36744,317,29,79,0,0,0,0,0,0,0,0,-32311,0,0,0,3993,0,38508,0
38418,-6,-8234,850,-47,41,15,7220,2,-4,0,0,36740,318,29,79,0,0,0,0,0,0,0,0,-32312,0,0,0,3993,0,38528,0
38428,-10,-8244,862,-54,44,14,7220,1,-4,-2,0,36743,321,29,79,0,0,0,0,0,0,0,0,-32312,0,0,0,3993,0,38548,0
