state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
50146,-134,-8206,782,-54,16,-57,8148,1,7,3,0,35521,96,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4181,0,3479,0
50156,-116,-8214,788,-56,8,-56,8149,1,1,1,0,35517,99,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4180,0,50146,0
50166,-128,-8206,794,-53,11,-51,8148,0,3,3,0,35518,110,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4179,0,50146,0
50176,-120,-8242,816,-55,15,-44,8148,-4,-2,2,0,35520,111,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4180,0,50146,0
50186,-126,-8192,812,-60,12,-41,8148,0,2,0,0,35522,115,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4178,0,50146,0
50196,-150,-8224,814,-53,14,-38,8149,0,1,3,0,35520,118,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4179,0,50146,0
50206,-118,-8216,822,-60,12,-39,8149,-4,-1,2,0,35515,106,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4177,0,50146,0
50216,-122,-8198,784,-56,16,-38,8149,-3,2,1,0,35514,97,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4176,0,50146,0
50226,-144,-8232,770,-57,11,-36,8149,0,-1,2,0,35514,96,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4176,0,50146,0
50236,-112,-8202,776,-49,20,-38,8150,8,3,0,0,35515,91,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4174,0,50146,0
50246,-92,-8218,802,-55,15,-30,8149,0,5,2,0,35512,94,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4174,0,50146,0
50256,-80,-8196,788,-47,16,-25,8150,1,2,2,0,35510,95,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4174,0,50146,0
50266,-90,-8176,814,-45,14,-18,8148,-2,1,3,0,35511,98,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,50146,0
50276,-106,-8236,824,-50,14,-9,8148,-6,-3,2,0,35515,102,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,50156,0
50286,-140,-8204,784,-54,7,-6,8148,-3,1,0,0,35515,93,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4174,0,50166,0
50296,-114,-8206,804,-50,16,-5,8148,2,-3,3,0,35514,92,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,50176,0
50306,-112,-8230,800,-50,15,-4,8149,-2,2,1,0,35514,84,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,50186,0
50316,-68,-8198,794,-45,13,1,8149,-1,-2,1,0,35515,87,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,50196,0
50326,-86,-8184,782,-45,14,4,8149,-2,0,1,0,35517,91,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4174,0,50206,0
50336,-128,-8232,788,-51,14,10,8150,3,2,0,0,35516,99,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,50216,0
50346,-116,-8186,818,-49,14,13,8148,-5,-1,3,0,35515,99,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,50226,0
50356,-124,-8234,802,-49,15,7,8147,-4,-8,2,0,35513,98,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4174,0,50236,0
50366,-106,-8242,814,-44,17,6,8149,0,1,1,0,35513,99,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4174,0,50246,0
50376,-126,-8184,830,-45,12,14,8148,-3,-3,1,0,35512,92,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,50256,0
50386,-138,-8230,844,-45,14,10,8149,9,-3,1,0,35513,89,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,50266,0
50396,-150,-8212,790,-50,18,11,8149,1,4,3,0,35511,80,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,50276,0
50406,-128,-8210,780,-50,12,8,8149,2,1,0,0,35517,93,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4172,0,50286,0
50416,-134,-8204,804,-47,17,8,8148,-5,2,2,0,35521,98,25,79,0,0,0,0,0,0,0,0,-32294,0,0,0,4173,0,50296,0
