state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
39953,-336,-8250,662,-54,47,14,7603,-7,-1,0,0,35722,271,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4134,0,7793,0
39963,-320,-8310,676,-51,38,16,7604,3,0,0,0,35726,272,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,39973,0
39973,-312,-8258,662,-49,39,19,7603,-5,-6,2,0,35726,270,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,39993,0
39983,-342,-8266,664,-51,36,19,7604,-3,-2,0,0,35720,270,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40013,0
39993,-324,-8302,660,-49,45,19,7604,-3,-1,1,0,35723,259,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40033,0
40003,-350,-8266,688,-50,41,14,7604,0,1,0,0,35722,271,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40053,0
40013,-340,-8268,692,-52,43,15,7604,-1,-3,1,0,35720,269,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40073,0
40023,-324,-8288,680,-48,48,19,7604,-1,-2,0,0,35717,272,26,79,0,0,0,0,0,0,0,0,-32317,0,0,0,4132,0,40093,0
40033,-306,-8282,702,-49,42,20,7604,5,1,-1,0,35716,263,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40113,0
40043,-328,-8254,676,-50,39,14,7604,1,1,0,0,35726,250,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40133,0
40053,-324,-8274,694,-51,38,14,7604,0,1,0,0,35726,262,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40153,0
40063,-314,-8266,700,-49,42,12,7604,0,1,0,0,35718,260,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4135,0,40173,0
40073,-304,-8240,684,-48,45,16,7603,0,-2,2,0,35721,258,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4134,0,40193,0
40083,-322,-8270,684,-50,38,20,7603,-1,-1,0,0,35726,266,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4134,0,40213,0
40093,-318,-8266,684,-53,41,17,7605,11,1,0,0,35731,266,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4134,0,40233,0
40103,-298,-8224,674,-50,42,16,7603,-2,-2,2,0,35725,265,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40253,0
40113,-322,-8278,674,-50,39,20,7604,3,-3,1,0,35716,266,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4135,0,40273,0
40123,-322,-8266,682,-47,42,20,7604,5,0,0,0,35715,264,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40293,0
40133,-320,-8254,686,-52,42,15,7604,-2,1,1,0,35717,270,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40313,0
40143,-304,-8280,666,-50,41,17,7603,0,0,0,0,35726,265,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40333,0
40153,-316,-8284,672,-50,41,20,7605,3,7,0,0,35725,268,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4134,0,40353,0
40163,-326,-8262,688,-48,41,21,7604,0,-2,2,0,35724,257,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4134,0,40373,0
40173,-332,-8274,674,-48,46,22,7604,2,7,1,0,35720,254,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4134,0,40394,0
40183,-324,-8272,696,-57,41,17,7603,0,-6,0,0,35720,250,26,79,0,0,0,0,0,0,0,0,-32315,0,0,0,4135,0,40414,0
40193,-322,-8258,688,-54,41,17,7603,-1,1,0,0,35721,245,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4135,0,40434,0
40203,-316,-8246,688,-53,41,20,7604,1,-2,2,0,35719,243,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4133,0,40454,0
40213,-330,-8262,676,-52,43,19,7602,-5,3,1,0,35719,239,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4135,0,40474,0
40223,-320,-8268,680,-57,44,22,7603,-2,1,1,0,35723,255,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4135,0,40495,0
40233,-316,-8302,678,-48,42,26,7604,2,0,1,0,35719,263,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4135,0,40515,0
40243,-322,-8278,674,-47,44,20,7602,1,4,0,0,35716,264,26,79,0,0,0,0,0,0,0,0,-32316,0,0,0,4135,0,40538,0
