state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
84824,-644,86,8040,-55,18,6,7140,-3,-4,0,0,35539,87,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6502,0,1908,0
84834,-652,32,8044,-42,12,11,7140,-1,-1,-1,0,35542,93,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6502,0,84824,0
84844,-612,100,8046,-50,13,6,7139,0,6,0,0,35545,95,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6502,0,84824,0
84854,-642,68,8086,-50,16,3,7140,7,3,-1,0,35541,109,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6503,0,84824,0
84864,-652,74,8030,-50,13,9,7139,-6,5,0,0,35537,105,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,6502,0,84824,0
84874,-632,116,8054,-46,10,4,7140,-4,-2,-1,0,35536,104,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6503,0,84824,0
84884,-620,58,8044,-39,10,10,7141,5,2,0,0,35544,105,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6503,0,84824,0
84894,-636,78,8046,-48,16,9,7141,4,-5,0,0,35544,105,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6503,0,84824,0
84904,-642,78,8078,-59,17,5,7141,4,0,0,0,35546,105,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,6503,0,84824,0
84914,-646,48,8058,-45,9,7,7141,4,1,0,0,35540,99,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6504,0,84824,0
84924,-634,98,8062,-38,14,6,7141,0,-1,0,0,35541,91,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6503,0,84825,0
84934,-632,86,8046,-48,14,7,7141,4,0,-1,0,35540,92,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6503,0,84825,0
84944,-644,52,8054,-48,7,7,7140,-1,2,-1,0,35540,94,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6502,0,84825,0
84954,-654,82,8058,-55,11,9,7140,0,-1,-1,0,35537,89,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6503,0,84834,0
84964,-668,50,8028,-41,9,9,7140,0,-1,0,0,35539,88,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6503,0,84844,0
84974,-642,76,8064,-46,7,9,7141,0,-3,0,0,35539,88,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,6502,0,84854,0
84984,-638,88,8056,-51,14,6,7141,1,1,-1,0,35546,95,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,6502,0,84864,0
84994,-650,46,8050,-47,13,12,7140,1,5,0,0,35556,97,26,144,0,0,0,0,0,0,0,0,-32293,0,0,0,6503,0,84874,0
85004,-640,84,8056,-49,8,6,7140,1,1,0,0,35567,101,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,6503,0,84884,0
85014,-648,64,8054,-47,13,4,7140,-2,3,0,0,35572,102,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,6502,0,84894,0
85024,-652,80,8050,-41,9,4,7140,-6,0,0,0,35561,101,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,6502,0,84904,0
85034,-616,120,8084,-57,17,6,7141,0,3,-2,0,35553,105,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,6504,0,84914,0
85044,-630,46,8032,-49,12,2,7140,1,1,0,0,35540,106,26,144,0,0,0,0,0,0,0,0,-32292,0,0,0,6502,0,84924,0
