state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
72220,-98,-218,-8454,-50,41,15,9250,-1,2,-5,0,35616,299,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2750,0,6359,0
72230,-82,-246,-8476,-52,41,14,9250,-1,4,-6,0,35616,296,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72240,0
72240,-100,-242,-8404,-48,44,17,9251,3,-3,-5,0,35619,291,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2748,0,72260,0
72250,-100,-204,-8474,-49,39,13,9250,0,-3,-5,0,35626,292,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72280,0
72260,-116,-218,-8408,-45,44,17,9251,-1,1,-5,0,35624,293,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72300,0
72270,-130,-230,-8414,-47,42,19,9251,1,-1,-6,0,35621,290,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2750,0,72320,0
72280,-98,-204,-8466,-50,42,13,9251,2,0,-6,0,35617,280,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72340,0
72290,-134,-214,-8418,-50,38,15,9251,10,1,-6,0,35619,283,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72360,0
72300,-96,-196,-8462,-44,48,13,9251,0,-3,-4,0,35618,286,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72380,0
72310,-98,-234,-8442,-48,43,13,9250,0,6,-4,0,35615,293,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72400,0
72320,-122,-240,-8408,-47,45,13,9250,-1,0,-6,0,35612,293,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72420,0
72330,-108,-224,-8462,-47,40,15,9250,-3,1,-6,0,35615,283,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,2749,0,72440,0
72340,-122,-208,-8410,-47,39,10,9250,-6,1,-5,0,35616,282,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72460,0
72350,-114,-228,-8452,-50,38,14,9252,0,1,-5,0,35622,283,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2748,0,72480,0
72360,-104,-198,-8480,-52,40,15,9251,0,-1,-5,0,35621,292,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72500,0
72370,-94,-232,-8404,-45,37,13,9251,1,0,-7,0,35621,286,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2748,0,72520,0
72380,-70,-222,-8486,-49,41,16,9250,-7,-10,-5,0,35617,277,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,2749,0,72540,0
72390,-122,-206,-8416,-49,39,16,9250,0,3,-5,0,35616,282,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2750,0,72560,0
72400,-106,-220,-8390,-48,37,15,9251,3,-5,-4,0,35618,282,28,79,0,0,0,0,0,0,0,0,-32313,0,0,0,2749,0,72580,0
72410,-130,-232,-8472,-46,40,14,9251,0,4,-4,0,35617,283,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72600,0
72420,-104,-218,-8406,-51,41,17,9250,0,1,-6,0,35617,281,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72620,0
72430,-126,-208,-8410,-49,44,19,9251,9,2,-5,0,35617,292,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2748,0,72640,0
72440,-92,-224,-8472,-51,41,22,9249,-1,1,-7,0,35617,293,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72660,0
72450,-116,-234,-8434,-53,37,12,9250,1,3,-6,0,35621,282,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72680,0
72460,-104,-226,-8440,-52,43,15,9250,-7,0,-7,0,35621,276,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72700,0
72470,-92,-220,-8466,-49,33,15,9251,5,2,-6,0,35622,280,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2748,0,72720,0
72480,-120,-226,-8394,-47,40,15,9250,6,-1,-6,0,35619,292,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2750,0,72741,0
72490,-74,-216,-8486,-45,46,17,9251,2,3,-4,0,35616,278,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2750,0,72763,0
72500,-110,-242,-8422,-48,43,14,9251,5,-1,-5,0,35617,279,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2748,0,72783,0
72510,-106,-228,-8424,-46,39,20,9250,0,5,-8,0,35619,285,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2750,0,72803,0
72520,-88,-216,-8480,-44,37,13,9249,0,-4,-5,0,35618,284,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2748,0,72824,0
72530,-102,-228,-8446,-51,38,17,9250,5,0,-5,0,35615,285,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2748,0,72844,0
72540,-110,-210,-8462,-50,38,13,9250,-1,1,-6,0,35616,289,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72865,0
72550,-106,-224,-8460,-49,38,14,9250,0,-3,-7,0,35620,291,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2750,0,72885,0
72560,-144,-198,-8408,-49,40,15,9250,2,1,-3,0,35627,302,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72906,0
72570,-108,-212,-8460,-45,41,15,9250,-1,1,-4,0,35624,298,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72926,0
72580,-122,-228,-8410,-48,48,17,9250,-1,4,-5,0,35622,294,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72946,0
72590,-108,-206,-8414,-48,40,13,9250,-2,1,-4,0,35618,293,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72967,0
72600,-86,-226,-8444,-50,35,14,9250,-2,3,-5,0,35622,288,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,72988,0
72610,-122,-212,-8434,-51,43,16,9250,3,1,-8,0,35621,287,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2750,0,73008,0
72620,-98,-208,-8476,-44,40,12,9251,3,-4,-7,0,35619,288,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,73028,0
72630,-82,-220,-8464,-44,45,20,9251,8,2,-6,0,35618,287,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2749,0,73049,0
72640,-102,-224,-8424,-51,43,16,9250,5,2,-5,0,35621,288,28,79,0,0,0,0,0,0,0,0,-32312,0,0,0,2750,0,73069,0
