state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
47716,6856,53241,1,3,0
47726,6857,53241,1,-2,0
47736,6857,53240,0,-6,0
47746,6857,53240,1,0,0
47756,6856,53242,0,9,0
47766,6857,53241,-1,0,0
47776,6857,53240,3,3,0
47786,6856,53241,1,0,0
47796,6857,53240,0,0,0
47806,6857,53242,0,2,0
47816,6856,53240,2,-9,0
47826,6857,53241,0,0,0
47836,6857,53241,0,0,0
47846,6856,53240,1,-4,0
47856,6857,53241,0,4,0
47866,6856,53240,1,-5,0
47876,6856,53241,0,0,0
47886,6856,53241,-1,1,0
47896,6856,53241,1,5,0
47906,6857,53240,0,-4,0
47916,6857,53241,0,1,0
47926,6857,53241,-1,4,0
47936,6857,53242,1,0,0
47946,6856,53241,0,3,0
47956,6857,53241,0,-3,0
47966,6857,53241,0,-1,0
47976,6856,53240,1,1,0
47986,6856,53240,0,-2,0
47996,6857,53239,2,-9,0
48006,6856,53240,0,-5,0
48016,6856,53241,1,0,0
48026,6857,53241,0,2,0
48036,6857,53242,0,3,0
48046,6856,53240,0,-6,0
48056,6857,53241,-1,-1,0
48066,6856,53240,0,-3,0
48076,6856,53242,-1,4,0
48086,6857,53242,-1,4,0
48096,6856,53241,0,1,0
48106,6857,53241,0,-4,0
48116,6856,53241,1,-3,0
48126,6857,53240,1,-1,0
48136,6857,53241,0,1,0
48146,6857,53241,0,3,0
48156,6857,53241,0,0,0
48166,6856,53241,1,0,0
48176,6857,53240,0,-1,0
48186,6856,53242,-2,1,0
48196,6856,53240,0,3,0
48206,6856,53241,0,0,0
48216,6856,53241,1,4,0
48226,6856,53242,2,5,0
48236,6856,53241,0,-2,0
48246,6857,53241,0,1,0
48256,6857,53240,-1,-3,0
48266,6857,53241,-1,2,0
48276,6857,53241,0,-1,0
48286,6857,53241,0,3,0
48296,6856,53241,0,2,0
48306,6857,53241,-1,0,0
48316,6857,53241,0,3,0
48326,6856,53240,2,-4,0
48336,6854,53239,2,-2,0
48346,6846,53237,13,-11,0
48356,6837,53235,19,-13,0
48366,6825,53228,37,-14,-1
48376,6812,53218,62,-23,-1
48386,6796,53191,101,-58,-1
48396,6775,53165,111,-58,-2
48406,6759,53139,116,-64,-1
48416,6739,53104,147,-65,-2
48426,6728,53082,91,-41,0
48446,6706,53032,85,-34,0
48456,6699,53014,71,-44,0
48466,6690,52986,111,-68,-1
48476,6681,52961,109,-64,0
48486,6670,52926,152,-95,-1
48496,6658,52890,131,-62,0
48506,6650,52863,135,-70,0
48516,6640,52833,133,-61,0
48526,6631,52800,158,-81,-1
48536,6619,52754,174,-95,-1
48546,6608,52710,172,-94,-1
48556,6599,52680,119,-58,0
48566,6591,52646,140,-76,-1
48576,6585,52621,116,-57,0
48586,6577,52585,163,-81,-1
48596,6571,52561,120,-53,0
48606,6564,52530,147,-77,0
48616,6556,52502,104,-52,0
48626,6551,52477,126,-67,-1
48636,6544,52447,120,-57,0
