state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
18433,2663,-43724,2,2,0
18443,2662,-43725,1,2,0
18453,2663,-43726,-1,-4,0
18463,2663,-43725,1,-8,0
18473,2663,-43724,0,1,0
18483,2664,-43726,0,-5,0
18493,2664,-43725,0,0,0
18503,2663,-43724,1,4,0
18513,2663,-43726,0,-3,0
18523,2663,-43724,1,3,0
18533,2664,-43724,0,-1,0
18543,2663,-43724,0,0,0
18553,2665,-43725,0,-1,0
18563,2663,-43725,0,-2,0
18573,2665,-43725,0,0,0
18583,2664,-43723,-2,2,0
18593,2665,-43725,0,-11,0
18603,2664,-43724,0,-1,0
18613,2664,-43724,3,5,0
18623,2664,-43725,2,0,0
18633,2665,-43726,4,-1,0
18643,2666,-43726,1,-8,0
18653,2665,-43726,1,-2,0
18663,2667,-43725,2,-3,0
18673,2665,-43724,0,9,0
18683,2666,-43726,-1,6,0
18693,2665,-43726,0,-10,0
18703,2665,-43727,-1,-13,0
18713,2667,-43726,1,-3,0
18723,2665,-43726,0,1,0
18733,2665,-43727,1,-9,0
18743,2665,-43726,-1,0,0
18753,2665,-43724,0,0,0
18763,2666,-43725,0,2,0
18773,2666,-43726,0,2,0
18783,2665,-43726,0,-10,0
18793,2665,-43725,0,-5,0
18803,2667,-43725,-1,1,0
18813,2665,-43726,-1,3,0
18823,2665,-43724,0,1,0
18833,2666,-43724,0,0,0
18843,2666,-43725,0,-1,0
18853,2667,-43725,1,-2,0
18863,2665,-43725,0,0,0
18873,2666,-43724,0,-1,0
18883,2666,-43725,0,0,0
18893,2665,-43724,-1,0,0
18903,2665,-43724,-2,-8,0
18913,2665,-43723,-3,1,0
18923,2665,-43722,-10,9,0
18933,2665,-43721,-12,0,0
18943,2665,-43716,-15,6,0
18953,2664,-43712,-33,12,0
18963,2664,-43700,-77,24,0
18973,2667,-43660,-196,101,0
18983,2672,-43611,-214,104,0
18993,2676,-43565,-168,95,0
19003,2680,-43524,-185,89,0
19013,2682,-43483,-171,98,0
19023,2685,-43445,-162,83,0
19033,2689,-43405,-190,92,0
19043,2691,-43370,-162,84,0
19053,2695,-43330,-171,79,0
19063,2699,-43286,-181,95,0
19073,2704,-43244,-185,107,0
19083,2708,-43206,-151,68,0
19093,2710,-43182,-110,50,0
19103,2712,-43171,-48,12,0
19113,2712,-43171,0,-1,0
19123,2712,-43169,-1,9,0
19133,2712,-43170,0,-5,0
19143,2711,-43169,-7,3,0
19153,2712,-43167,-16,1,0
19163,2710,-43163,-19,5,0
19173,2710,-43158,-30,11,0
19183,2711,-43146,-58,28,0
19193,2714,-43121,-131,81,0
19203,2716,-43090,-129,66,0
19213,2719,-43059,-136,76,0
19223,2721,-43040,-69,17,0
19233,2721,-43035,-11,11,0
19243,2722,-43035,-6,-10,0
19253,2722,-43033,-11,6,0
19263,2722,-43030,-20,8,0
19273,2722,-43023,-39,14,0
19283,2722,-43009,-63,38,0
19293,2724,-42996,-70,26,0
19303,2724,-42988,-25,6,0
19313,2725,-42990,1,-9,0
19323,2724,-42988,-5,8,0
19333,2724,-42985,-25,4,0
19343,2724,-42977,-57,10,0
19353,2726,-42949,-131,83,0
19363,2728,-42907,-197,90,0
19373,2732,-42866,-187,87,0
19383,2734,-42832,-140,72,0
19393,2738,-42790,-171,92,0
19403,2740,-42753,-154,88,0
19413,2745,-42720,-152,70,0
19433,2751,-42634,-173,93,0
19443,2753,-42596,-151,69,0
19453,2756,-42548,-202,113,0
19463,2762,-42490,-243,143,0
19473,2767,-42439,-210,110,0
19483,2772,-42403,-153,79,0
19493,2775,-42355,-193,101,0
19503,2779,-42315,-158,90,0
19513,2780,-42295,-72,27,0
19523,2781,-42290,-27,10,0
19533,2782,-42285,-26,19,0
19543,2784,-42274,-48,23,0
19553,2784,-42257,-79,41,0
19563,2786,-42246,-47,13,0
19573,2786,-42244,-2,11,0
19583,2786,-42244,0,13,0
19593,2787,-42245,-2,3,0
19603,2787,-42244,-5,1,0
19613,2787,-42244,-5,-6,0
19623,2787,-42244,-4,2,0
19633,2787,-42241,-7,1,0
19643,2786,-42240,-6,5,0
19653,2786,-42238,-6,6,0
19663,2787,-42239,-3,2,0
19673,2786,-42237,-4,9,0
19683,2786,-42238,0,-7,0
19693,2787,-42238,0,-3,0
19703,2787,-42237,0,1,0
19713,2787,-42238,0,-4,0
19723,2787,-42236,0,1,0
19733,2787,-42238,-2,1,0
19743,2787,-42237,-2,5,0
19753,2787,-42236,-3,0,0
19763,2787,-42237,-4,-2,0
19773,2787,-42234,-9,5,0
19783,2788,-42232,-23,0,0
19793,2787,-42223,-45,23,0
19803,2789,-42206,-97,45,0
19813,2791,-42180,-113,51,0
19823,2793,-42164,-82,30,0
19833,2794,-42139,-128,68,0
19843,2797,-42111,-109,50,0
19853,2798,-42100,-58,30,0
19863,2799,-42078,-101,63,0
19873,2802,-42046,-129,65,0
19883,2804,-42017,-118,74,0
19893,2806,-41978,-171,87,0
19903,2810,-41924,-230,136,0
19913,2815,-41875,-199,101,0
19923,2818,-41831,-170,88,0
19933,2823,-41773,-230,126,0
19943,2828,-41713,-216,113,0
19953,2832,-41670,-183,99,0
19963,2837,-41632,-160,87,0
19973,2840,-41578,-208,120,0
19983,2844,-41523,-191,113,0
19993,2848,-41479,-175,111,0
20003,2851,-41432,-182,102,0
20013,2855,-41387,-185,85,0
20023,2859,-41340,-196,124,0
20033,2862,-41296,-162,81,0
20043,2864,-41256,-139,81,0
20053,2867,-41229,-105,67,0
20063,2870,-41188,-168,100,0
20073,2875,-41140,-211,122,0
20083,2878,-41090,-187,97,0
20093,2883,-41050,-155,80,0
20103,2885,-41000,-197,133,0
20113,2891,-40938,-218,139,0
20123,2895,-40887,-187,99,0
20133,2897,-40833,-214,120,0
20143,2902,-40776,-216,129,0
20153,2906,-40713,-222,147,0
20163,2912,-40656,-211,136,0
20173,2916,-40599,-209,119,0
20183,2920,-40548,-207,110,0
20193,2923,-40485,-229,129,0
20203,2927,-40429,-189,115,0
20213,2930,-40374,-213,146,0
20223,2936,-40302,-267,157,0
20233,2940,-40244,-217,125,0
20243,2946,-40185,-213,130,0
20253,2951,-40111,-254,160,0
20263,2956,-40048,-219,125,0
20273,2960,-39995,-201,108,0
20283,2963,-39946,-173,106,0
20293,2966,-39903,-160,111,0
20303,2971,-39859,-145,75,0
20313,2973,-39829,-116,66,0
20323,2975,-39808,-79,35,0
20333,2975,-39795,-56,27,0
20343,2978,-39773,-104,70,0
20353,2979,-39739,-146,76,0
20363,2982,-39708,-139,80,0
20373,2985,-39662,-169,90,0
20383,2987,-39635,-102,64,0
20393,2990,-39605,-118,62,0
20403,2991,-39579,-105,66,0
20413,2994,-39528,-203,122,0
20423,2998,-39472,-213,118,0
20433,3003,-39436,-138,71,0
20443,3005,-39396,-156,91,0
20453,3008,-39367,-106,62,0
20463,3010,-39336,-131,74,0
20473,3012,-39313,-82,40,0
20483,3014,-39295,-78,52,0
20493,3016,-39269,-106,56,0
20503,3018,-39259,-32,8,0
20513,3017,-39259,2,6,0
20523,3018,-39261,0,-4,0
20533,3018,-39260,-3,3,0
20543,3018,-39260,-2,2,0
20553,3018,-39258,-5,2,0
20563,3017,-39258,-3,-3,0
20573,3018,-39257,-2,5,0
20583,3018,-39258,0,-3,0
20593,3018,-39258,0,-1,0
20603,3018,-39259,-1,0,0
20613,3018,-39257,-2,3,0
20623,3018,-39257,-3,0,0
20633,3018,-39257,0,0,0
20643,3018,-39257,-1,1,0
20653,3018,-39257,-1,0,0
20663,3018,-39256,-3,0,0
20673,3019,-39256,-5,0,0
20683,3018,-39254,-9,2,0
20693,3018,-39252,-17,3,0
20703,3019,-39245,-34,18,0
20713,3019,-39231,-68,42,0
20733,3023,-39178,-92,34,0
20743,3026,-39159,-89,46,0
20753,3028,-39128,-125,73,0
20763,3030,-39101,-98,56,0
20773,3034,-39061,-163,102,0
20783,3037,-39032,-89,37,0
20793,3037,-39015,-70,38,0
20803,3039,-39001,-60,22,0
20813,3039,-38995,-22,4,0
20823,3040,-38991,-14,6,0
20833,3038,-38987,-15,6,0
