state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
36211,6089,33056,-4,5,0
36221,6089,33056,-5,6,0
36231,6090,33055,-3,5,0
36241,6090,33055,-5,2,0
36251,6089,33055,-1,1,0
36261,6089,33054,-1,0,0
36271,6089,33054,-5,-5,0
36281,6089,33054,-4,-3,0
36291,6089,33055,-4,0,0
36301,6089,33055,-5,0,0
36311,6089,33055,-3,3,0
36321,6089,33054,-4,1,0
36331,6089,33055,-5,4,0
36341,6089,33055,-3,-6,0
36351,6090,33055,-3,0,0
36361,6089,33055,-2,7,0
36371,6089,33055,-2,-2,0
36381,6089,33054,-3,-5,0
36401,6089,33054,-4,0,0
36411,6089,33054,-3,-7,0
36421,6089,33054,-5,-5,0
36431,6089,33054,-5,2,0
36441,6089,33053,-3,-2,0
36451,6089,33054,-3,-2,0
36461,6088,33054,-2,3,0
36471,6089,33054,-3,5,0
36481,6089,33054,-4,3,0
36491,6089,33054,-3,2,0
36501,6089,33054,-4,0,0
36511,6089,33054,-2,4,0
36521,6089,33053,-3,-2,0
36531,6089,33053,-5,2,0
36541,6089,33053,-3,-3,0
36551,6089,33053,-3,-5,0
36561,6089,33054,-3,5,0
36571,6090,33055,-2,1,0
36581,6089,33053,-2,-8,0
36591,6089,33054,-1,1,0
36601,6089,33053,-3,7,0
36611,6089,33053,-2,0,0
36621,6089,33053,0,1,0
36631,6088,33052,-1,0,0
36641,6088,33052,-2,0,0
36651,6089,33051,-3,-1,0
36661,6088,33052,-5,7,0
36671,6088,33052,-4,3,0
36681,6088,33051,-4,-5,0
36691,6087,33052,1,0,0
36701,6087,33050,7,0,0
36711,6087,33047,8,-8,0
36721,6087,33045,13,-5,0
36731,6085,33040,26,-7,0
36741,6084,33029,51,-28,0
36751,6083,33009,89,-54,0
36761,6080,32990,78,-31,0
36771,6080,32975,59,-31,0
36781,6078,32955,96,-61,0
36791,6073,32922,130,-63,0
36801,6071,32898,91,-48,0
36811,6068,32878,99,-45,0
36821,6068,32865,52,-18,0
36831,6068,32863,5,7,0
36841,6067,32862,0,-3,0
36851,6066,32863,5,-7,0
36861,6067,32862,8,-2,0
36871,6066,32861,9,-7,0
36881,6066,32858,17,-13,0
36891,6066,32854,21,-12,0
36901,6065,32852,19,-6,0
36911,6064,32847,26,-10,0
36921,6064,32840,40,-18,0
36931,6062,32825,73,-38,0
