state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
15738,5935,64420,-25,10,0
15748,5939,64425,-27,11,0
15758,5941,64426,-7,3,0
15768,5948,64427,-2,0,0
15778,5953,64427,-2,-2,0
15788,5955,64427,0,1,0
15798,5955,64429,-3,6,0
15808,5955,64427,-1,4,0
15818,5954,64426,-1,0,0
15828,5955,64427,-3,0,0
15838,5957,64426,-2,0,0
15848,5956,64427,-2,1,0
15858,5955,64426,0,-1,0
15868,5952,64427,-3,-4,0
15878,5949,64425,-1,-3,0
15888,5950,64425,-2,-4,0
15898,5950,64427,-2,-4,0
15908,5949,64428,0,4,0
15918,5948,64427,-1,-3,0
15928,5944,64427,-1,-5,0
15938,5942,64426,4,-2,0
15948,5939,64425,1,-2,0
15958,5941,64426,0,-2,0
15968,5940,64424,2,-3,0
15978,5939,64423,6,1,0
15988,5939,64422,3,0,0
15998,5937,64421,2,1,0
16008,5937,64420,7,-3,0
16018,5936,64418,3,-5,0
16028,5935,64419,3,-5,0
16038,5934,64417,6,-8,0
16048,5934,64417,5,-5,0
16058,5935,64414,3,-8,0
16068,5934,64416,2,2,0
16078,5934,64415,-1,5,0
16088,5934,64414,0,-4,0
16098,5935,64414,-1,5,0
16108,5934,64413,2,0,0
16118,5934,64413,3,3,0
16128,5933,64410,3,-9,0
16138,5933,64410,2,0,0
16148,5932,64408,8,-1,0
16158,5932,64405,11,1,0
16168,5931,64404,7,0,0
16178,5931,64404,1,0,0
16188,5932,64404,-5,2,0
16198,5931,64404,-3,4,0
16208,5932,64404,-1,1,0
16218,5932,64404,-4,0,0
16228,5932,64404,-1,3,0
16238,5933,64403,0,4,0
16248,5931,64401,9,-6,0
16258,5931,64396,25,-11,0
16268,5930,64385,52,-30,0
16278,5928,64366,79,-45,0
16288,5927,64354,55,-21,0
16298,5926,64346,23,-18,0
16308,5925,64346,10,-4,0
16318,5926,64344,5,0,0
16328,5926,64342,10,-4,0
16338,5925,64336,24,-18,0
16348,5925,64326,53,-31,0
16358,5923,64300,119,-62,0
16368,5920,64276,108,-46,0
16378,5918,64255,88,-43,0
16388,5913,64224,130,-74,0
16398,5911,64205,75,-33,0
16408,5910,64193,56,-25,0
16418,5909,64175,79,-45,0
16428,5907,64158,63,-33,0
16438,5905,64155,15,-11,0
16448,5906,64157,-2,7,0
16458,5906,64156,4,7,0
16468,5906,64152,10,0,0
16478,5905,64151,10,-3,0
16488,5907,64148,8,-5,0
16498,5905,64146,8,-3,0
16508,5905,64145,6,0,0
16518,5905,64144,5,1,0
16528,5906,64141,4,-8,0
16538,5905,64140,11,-2,0
16548,5905,64137,15,-11,0
16558,5904,64130,31,-16,0
16568,5903,64119,66,-33,0
16578,5901,64098,87,-44,0
16588,5899,64085,45,-13,0
16598,5898,64084,6,1,0
16608,5899,64085,-1,8,0
16618,5900,64084,0,-5,0
16628,5900,64084,0,-3,0
16638,5899,64083,-1,-5,0
16648,5899,64083,2,-3,0
16658,5900,64084,0,-1,0
16668,5898,64082,5,-12,0
16678,5899,64084,3,-3,0
16688,5899,64080,15,-8,0
16698,5898,64072,42,-21,0
16708,5896,64056,81,-44,0
16718,5892,64031,118,-57,0
16728,5892,64019,41,-16,0
16738,5892,64020,0,4,0
16748,5891,64018,2,-2,0
16758,5892,64019,2,3,0
16768,5892,64018,2,3,0
16778,5892,64019,5,-1,0
16798,5892,64016,14,0,0
16808,5890,64013,13,-10,0
16818,5890,64011,24,-3,0
16828,5890,64000,45,-25,0
16838,5887,63983,82,-53,0
16848,5885,63963,92,-44,0
16858,5884,63953,33,-7,0
16868,5884,63953,0,-3,0
16878,5884,63954,1,-4,0
16888,5884,63955,0,-1,0
16898,5884,63955,3,-2,0
16908,5885,63955,3,0,0
16918,5885,63954,3,-3,0
16928,5884,63954,6,0,0
16938,5883,63954,4,-6,0
16948,5883,63953,6,-1,0
16958,5883,63954,5,0,0
16968,5882,63952,7,-7,0
16978,5884,63950,19,-13,0
16988,5883,63945,27,-19,0
16998,5882,63939,38,-13,0
17008,5882,63926,66,-39,0
17018,5878,63901,105,-56,0
17028,5878,63881,87,-38,0
17038,5876,63861,96,-50,0
17048,5871,63831,129,-61,0
17058,5870,63820,41,-10,0
17068,5869,63817,11,-7,0
17078,5870,63816,18,-9,0
17088,5869,63809,37,-20,0
17098,5866,63793,83,-46,0
17108,5864,63763,148,-76,0
17118,5860,63729,154,-86,0
17128,5853,63671,232,-137,0
17138,5846,63601,249,-146,0
17148,5840,63534,253,-150,0
17158,5833,63463,285,-154,0
17168,5826,63385,286,-175,0
17178,5818,63301,309,-198,-1
17188,5809,63214,346,-181,-1
17198,5802,63134,290,-180,-1
17208,5794,63052,307,-183,-1
17218,5786,62986,267,-139,0
17228,5782,62920,263,-161,0
17238,5776,62844,277,-170,0
17248,5769,62775,254,-155,0
17258,5763,62712,262,-143,0
17268,5757,62652,233,-127,0
17278,5753,62606,173,-102,0
17288,5750,62574,121,-64,0
17298,5746,62542,134,-85,0
17308,5743,62505,152,-78,0
17318,5740,62460,190,-93,0
17328,5736,62431,127,-64,0
17338,5733,62398,133,-67,0
17348,5732,62371,108,-65,0
17358,5728,62331,171,-89,0
