state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
52612,6171,50047,-4,0,0
52622,6168,50049,-2,6,0
52642,6171,50049,-2,1,0
52652,6171,50048,0,-10,0
52662,6171,50048,-2,-1,0
52672,6169,50048,-1,0,0
52682,6171,50047,-2,0,0
52692,6171,50047,-2,-5,0
52702,6170,50047,-1,-5,0
52712,6171,50048,-2,6,0
52722,6171,50047,-1,-8,0
52732,6171,50048,-1,-1,0
52742,6171,50047,-2,-8,0
52752,6170,50048,1,4,0
52762,6171,50048,0,3,0
52772,6170,50046,0,-4,0
52782,6169,50046,-1,-6,0
52792,6168,50046,2,-3,0
52802,6168,50045,0,5,0
52812,6168,50045,0,-3,0
52822,6169,50045,0,0,0
52832,6168,50046,0,1,0
52842,6170,50045,0,0,0
52852,6168,50044,0,-1,0
52862,6170,50045,-2,1,0
52872,6168,50045,-2,2,0
52882,6168,50046,0,4,0
52892,6168,50044,-1,-3,0
52902,6168,50046,-3,3,0
52912,6168,50045,0,1,0
52922,6168,50046,0,4,0
52932,6168,50043,1,-3,0
52942,6167,50043,5,-11,0
52952,6166,50042,8,-3,0
52962,6165,50037,18,-14,0
52972,6164,50030,38,-19,0
52982,6160,50012,86,-51,0
52992,6155,49971,164,-103,0
53002,6148,49918,210,-133,0
53012,6138,49847,264,-166,-1
53022,6129,49769,315,-171,-1
53032,6119,49683,314,-197,-1
53042,6108,49591,320,-192,-1
53052,6100,49512,303,-168,-1
53062,6092,49441,273,-150,-1
53072,6087,49388,196,-114,0
53082,6081,49338,186,-111,0
53092,6075,49280,221,-112,0
53102,6069,49227,203,-102,0
53112,6063,49181,175,-113,0
53122,6060,49135,160,-107,0
53132,6054,49085,181,-100,0
53142,6049,49037,188,-103,0
53152,6045,49005,126,-61,0
53162,6043,48974,139,-63,0
53172,6039,48955,81,-34,0
53182,6037,48934,99,-57,0
53192,6034,48900,138,-79,0
53202,6032,48865,139,-87,0
53212,6026,48825,146,-71,0
53222,6024,48807,76,-38,0
53232,6023,48789,87,-38,0
53242,6022,48773,63,-23,0
53252,6020,48767,27,-9,0
53262,6020,48765,16,-1,0
53272,6020,48763,19,-4,0
53282,6019,48760,26,-5,0
53292,6019,48752,38,-22,0
53302,6017,48738,78,-38,0
53312,6016,48710,133,-67,0
53322,6013,48692,83,-33,0
53332,6011,48682,54,-11,0
53342,6011,48666,71,-47,0
53352,6010,48651,81,-39,0
53362,6009,48642,31,-20,0
53372,6009,48644,4,-3,0
53382,6009,48644,2,4,0
53392,6009,48645,1,5,0
53402,6009,48644,4,-1,0
53412,6008,48643,8,-2,0
53422,6009,48642,12,-1,0
53432,6008,48640,11,-9,0
53442,6009,48638,5,-9,0
53452,6008,48639,8,-6,0
53462,6007,48637,6,-5,0
53472,6008,48636,5,-8,0
53482,6007,48637,5,1,0
53492,6008,48636,5,0,0
53502,6007,48634,8,-6,0
53512,6007,48633,9,1,0
53522,6006,48633,8,-2,0
53532,6007,48631,9,1,0
53542,6007,48630,9,-5,0
53552,6006,48629,13,-3,0
53562,6006,48626,12,-5,0
53572,6006,48624,9,-4,0
53582,6006,48624,13,-3,0
53592,6005,48620,16,-13,0
53602,6005,48616,23,-11,0
53612,6005,48612,35,-8,0
53622,6004,48602,55,-30,0
53632,6003,48584,79,-42,0
53642,6000,48570,57,-27,0
53652,6000,48566,24,-5,0
53662,6000,48562,17,-13,0
53672,5998,48560,15,-3,0
53682,5998,48556,24,-8,0
53692,5998,48550,37,-15,0
53702,5996,48535,65,-40,0
53712,5994,48512,103,-50,0
53722,5992,48494,64,-32,0
53732,5991,48484,40,-22,0
53742,5990,48473,53,-30,0
53752,5989,48453,89,-50,0
53762,5986,48438,70,-21,0
53772,5986,48430,23,-11,0
53782,5986,48428,12,-8,0
53792,5986,48426,5,-7,0
53802,5985,48426,1,-1,0
53812,5985,48427,4,0,0
53822,5986,48422,6,-11,0
53832,5985,48421,9,-3,0
53852,5984,48410,25,-24,0
53862,5983,48401,52,-23,0
53872,5982,48381,75,-41,0
53882,5979,48368,48,-24,0
53892,5978,48364,13,-12,0
53902,5979,48364,0,-5,0
53912,5979,48362,-1,0,0
53922,5979,48362,0,-5,0
53932,5979,48361,3,-4,0
53942,5978,48360,12,-11,0
53952,5979,48355,17,-5,0
53962,5978,48347,34,-21,0
53972,5976,48331,70,-38,0
53982,5974,48304,103,-61,0
53992,5970,48286,72,-33,0
54002,5970,48262,90,-67,0
54012,5966,48234,108,-56,0
54022,5963,48226,28,-11,0
54032,5965,48226,4,4,0
54042,5965,48224,9,0,0
54052,5963,48220,18,-11,0
54062,5962,48214,29,-15,0
54072,5962,48203,58,-31,0
54082,5960,48180,102,-54,0
54092,5957,48163,78,-23,0
