state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
16638,5709,45621,13,0,0
16648,5708,45620,11,5,0
16658,5708,45620,5,8,0
16668,5708,45619,0,-3,0
16678,5709,45620,0,4,0
16688,5708,45620,0,1,0
16698,5709,45620,0,3,0
16708,5709,45620,2,-1,0
16718,5709,45620,1,-2,0
16728,5709,45621,2,3,0
16738,5709,45621,0,-2,0
16748,5710,45620,1,2,0
16758,5709,45620,4,-3,0
16768,5708,45619,4,-2,0
16778,5708,45621,6,2,0
16788,5708,45619,9,0,0
16798,5707,45618,1,-2,0
16808,5707,45618,0,-2,0
16818,5708,45620,0,1,0
16828,5708,45619,1,-5,0
16838,5709,45620,3,4,0
16848,5708,45618,2,-1,0
16858,5708,45619,4,1,0
16868,5708,45620,3,0,0
16878,5708,45617,6,-4,0
16888,5708,45618,9,-3,0
16898,5707,45615,15,-2,0
16908,5707,45611,28,-12,0
16918,5706,45602,51,-31,0
16928,5703,45582,111,-54,0
16938,5700,45552,136,-62,0
16948,5698,45526,126,-67,0
16958,5695,45487,163,-84,0
16968,5693,45462,100,-49,0
16978,5689,45431,128,-68,0
16988,5686,45408,92,-47,0
16998,5685,45382,115,-59,0
17008,5682,45347,142,-70,0
17018,5679,45313,147,-75,0
17028,5676,45287,100,-33,0
17038,5675,45278,30,-15,0
17048,5674,45270,33,-20,0
17058,5674,45257,63,-37,0
17068,5671,45233,101,-49,0
17078,5670,45208,95,-51,0
17088,5667,45166,168,-109,0
17098,5662,45122,164,-102,0
17118,5656,45056,125,-61,0
17128,5654,45027,121,-49,0
17138,5653,45010,75,-30,0
17148,5651,44987,107,-63,0
17158,5648,44960,110,-48,0
17168,5647,44943,72,-34,0
17178,5645,44920,102,-61,0
17188,5643,44900,84,-23,0
17198,5643,44894,19,-7,0
17208,5643,44893,10,-3,0
17218,5643,44892,14,-4,0
17228,5642,44887,28,-13,0
17238,5642,44877,52,-27,0
17248,5640,44856,92,-56,0
17258,5639,44833,98,-50,0
17268,5637,44824,49,-20,0
17278,5636,44817,41,-16,0
17288,5636,44805,63,-29,0
17298,5633,44783,112,-59,0
17308,5632,44757,124,-53,0
17318,5628,44724,155,-87,0
17328,5625,44685,153,-71,0
17338,5623,44658,122,-70,0
17348,5622,44628,124,-60,0
17358,5618,44598,121,-80,0
17368,5616,44556,171,-91,0
17378,5613,44513,175,-95,0
17388,5609,44488,97,-45,0
17398,5609,44469,81,-47,0
17408,5606,44447,97,-42,0
17418,5603,44430,66,-31,0
17428,5602,44405,97,-67,0
17438,5600,44369,143,-80,0
17448,5597,44337,126,-82,0
17458,5594,44298,156,-77,0
17468,5590,44262,171,-90,0
17478,5587,44222,171,-77,0
17488,5583,44174,196,-119,0
17498,5578,44119,218,-132,0
17508,5574,44068,192,-112,0
17518,5570,44027,173,-81,0
17528,5568,43980,207,-108,0
17538,5564,43933,203,-113,0
17548,5560,43895,153,-68,0
17558,5557,43856,161,-85,0
17568,5553,43814,179,-104,0
17578,5549,43759,218,-117,0
17588,5545,43713,186,-87,0
17598,5540,43670,176,-96,0
17608,5538,43629,158,-94,0
17618,5534,43586,162,-78,0
17628,5530,43543,178,-93,0
17638,5528,43516,116,-55,0
17648,5526,43490,122,-59,0
17658,5523,43477,62,-30,0
17668,5522,43471,36,-13,0
17678,5523,43461,51,-27,0
17688,5521,43441,97,-54,0
17698,5518,43412,130,-59,0
17708,5516,43379,155,-94,0
17718,5511,43340,149,-66,0
17728,5510,43309,132,-69,0
17738,5508,43281,114,-54,0
17748,5504,43251,161,-77,0
17758,5501,43213,175,-75,0
17768,5498,43170,181,-95,0
17778,5495,43145,98,-41,0
17788,5493,43122,113,-56,0
17798,5491,43102,81,-31,0
17808,5490,43090,61,-37,0
17818,5487,43066,109,-58,0
17828,5486,43036,123,-58,0
17838,5483,43013,113,-60,0
17848,5481,42981,137,-69,0
17858,5479,42960,93,-47,0
17868,5477,42930,135,-75,0
17878,5473,42901,109,-56,0
17888,5470,42869,138,-79,0
17898,5467,42834,135,-70,0
17908,5462,42793,171,-80,0
17918,5460,42768,101,-43,0
17928,5457,42745,118,-55,0
17938,5457,42729,74,-25,0
17948,5456,42720,40,-14,0
17958,5454,42710,57,-27,0
17968,5454,42688,112,-58,0
17978,5450,42658,120,-64,0
17988,5447,42631,116,-69,0
17998,5444,42603,116,-46,0
18008,5443,42595,31,-12,0
18018,5444,42594,12,-1,0
18028,5443,42592,16,0,0
18038,5443,42590,24,-3,0
18048,5443,42583,39,-16,0
18058,5441,42570,63,-29,0
18068,5441,42551,88,-44,0
18078,5439,42536,78,-34,0
18098,5434,42478,191,-93,0
18108,5430,42435,192,-109,0
18118,5425,42390,181,-90,0
18128,5421,42340,195,-117,0
18138,5417,42293,199,-120,0
18148,5413,42243,206,-100,0
18158,5408,42199,169,-77,0
18168,5404,42161,150,-84,0
18178,5402,42133,106,-58,0
18188,5399,42095,157,-91,0
18198,5394,42047,185,-118,0
18208,5391,42000,180,-94,0
18218,5388,41964,161,-73,0
18228,5385,41936,131,-67,0
18238,5381,41891,182,-104,0
18248,5377,41845,180,-111,0
18258,5373,41810,130,-64,0
18268,5371,41776,144,-74,0
18278,5369,41745,134,-60,0
18288,5365,41704,187,-98,0
18298,5362,41666,162,-84,0
18308,5357,41623,175,-80,0
18318,5353,41577,188,-114,0
18328,5349,41530,181,-101,0
18338,5345,41476,207,-115,0
18348,5342,41420,212,-100,0
18358,5337,41375,172,-100,0
18368,5333,41338,135,-79,0
18378,5330,41291,172,-97,0
18388,5327,41244,184,-110,0
18398,5323,41216,111,-41,0
18408,5320,41187,124,-70,0
18418,5320,41162,115,-52,0
18428,5316,41129,147,-90,0
18438,5312,41080,183,-100,0
18448,5308,41030,192,-104,0
18458,5304,40982,185,-114,0
18468,5300,40930,206,-112,0
18478,5295,40874,230,-111,0
18488,5289,40816,218,-111,-1
18498,5286,40765,191,-109,0
18508,5282,40719,174,-114,0
18518,5279,40661,222,-137,0
18528,5273,40602,223,-121,0
18538,5267,40550,189,-112,0
18548,5263,40487,231,-148,0
18558,5257,40423,237,-136,0
18568,5254,40375,202,-103,0
18578,5250,40328,193,-112,0
18588,5244,40262,234,-145,0
18598,5239,40187,274,-172,0
18608,5233,40098,347,-200,0
18618,5224,39996,377,-226,0
18628,5215,39895,361,-225,0
18638,5207,39797,367,-200,-1
18648,5200,39702,341,-226,0
18658,5190,39597,391,-228,-1
18668,5182,39498,373,-224,-1
18678,5174,39390,384,-236,0
18688,5166,39289,402,-224,0
18698,5156,39178,412,-243,-1
18708,5148,39077,429,-259,0
18718,5138,38969,383,-237,-1
18728,5130,38859,412,-245,0
18738,5120,38749,438,-237,-1
18748,5110,38628,451,-273,-1
18758,5101,38511,464,-252,-1
18768,5092,38402,399,-223,0
18778,5082,38292,418,-241,-1
18788,5073,38191,366,-220,-1
18798,5065,38087,376,-223,-1
18808,5057,37999,344,-179,-1
18818,5051,37908,342,-216,0
18828,5043,37809,355,-218,-1
18838,5036,37714,381,-210,0
18848,5028,37626,314,-184,0
18858,5021,37550,281,-164,0
18868,5016,37486,251,-127,0
18878,5011,37425,225,-127,0
18888,5007,37367,228,-136,0
18898,5001,37303,240,-147,0
18908,4998,37255,196,-104,0
18918,4995,37223,132,-59,0
18928,4993,37191,148,-80,0
18938,4990,37157,126,-69,0
18948,4987,37123,139,-76,0
18958,4986,37106,60,-12,0
18968,4985,37106,-2,5,0
18978,4985,37107,2,0,0
18988,4985,37107,1,0,0
18998,4986,37106,2,-2,0
19008,4986,37107,0,3,0
19018,4985,37107,0,5,0
19028,4986,37106,0,-3,0
19038,4986,37106,0,-8,0
19048,4986,37107,1,5,0
19058,4986,37107,1,-1,0
19068,4985,37106,5,0,0
19078,4985,37106,6,-5,0
19098,4985,37104,12,-4,0
19108,4985,37101,18,-5,0
19118,4985,37097,29,-7,0
19128,4985,37091,44,-14,0
19138,4983,37074,71,-41,0
19148,4982,37053,98,-50,0
19158,4981,37036,77,-33,0
19168,4979,37015,108,-60,0
19178,4975,36980,165,-73,0
19188,4974,36952,121,-58,0
19198,4971,36918,150,-73,0
19208,4968,36899,82,-33,0
19218,4967,36880,90,-50,0
19228,4965,36850,120,-60,0
19238,4963,36834,77,-28,0
19248,4962,36810,97,-66,0
19258,4959,36780,126,-61,0
19268,4956,36758,93,-50,0
19278,4956,36729,134,-63,0
19288,4954,36712,65,-19,0
19298,4953,36708,21,-5,0
19308,4952,36700,28,-22,0
19318,4952,36687,56,-32,0
19328,4950,36667,92,-44,0
19338,4948,36650,61,-29,0
19348,4948,36641,34,-22,0
19358,4946,36631,49,-26,0
19368,4945,36603,110,-77,0
19378,4943,36569,132,-75,0
19388,4938,36521,196,-113,0
19398,4935,36486,145,-73,0
19408,4933,36452,146,-67,0
19418,4930,36420,145,-81,0
19428,4926,36369,202,-112,0
19438,4921,36313,207,-112,0
19448,4917,36267,189,-104,0
19458,4912,36218,206,-112,0
19468,4909,36167,220,-101,0
19478,4904,36111,224,-115,0
19488,4898,36050,242,-133,0
19498,4893,35985,255,-148,0
19508,4888,35917,274,-135,0
19518,4881,35857,222,-121,0
19528,4878,35794,246,-144,0
19538,4872,35730,259,-130,0
19548,4868,35676,232,-114,0
19558,4862,35613,260,-157,0
19568,4856,35543,267,-145,0
19578,4850,35478,257,-140,0
19588,4844,35416,268,-131,0
19598,4841,35360,231,-115,0
19608,4836,35318,171,-88,0
19618,4834,35288,126,-58,0
19628,4831,35248,160,-107,0
19638,4825,35200,209,-122,0
19648,4820,35147,213,-103,0
19658,4817,35094,204,-125,0
19668,4812,35026,266,-156,0
19678,4806,34957,270,-135,0
19688,4801,34901,242,-115,0
19698,4796,34842,236,-121,0
19708,4791,34789,228,-124,0
19718,4788,34730,237,-128,0
19728,4783,34674,250,-124,0
19738,4778,34616,247,-128,0
19748,4774,34566,191,-111,0
19758,4771,34528,156,-73,0
19768,4767,34479,201,-108,0
19778,4764,34429,209,-110,0
19788,4761,34393,145,-78,0
19798,4757,34352,166,-92,0
19808,4753,34296,230,-134,0
19818,4747,34232,249,-138,0
19828,4742,34176,234,-123,0
19838,4739,34130,194,-106,0
19848,4736,34083,178,-92,0
19858,4732,34037,178,-91,0
19868,4729,34005,133,-72,0
19878,4726,33974,124,-54,0
19888,4725,33950,113,-56,0
19898,4722,33912,186,-88,0
19908,4718,33860,225,-130,0
19918,4714,33810,190,-109,0
19928,4711,33767,166,-86,0
19938,4707,33713,208,-123,0
19948,4703,33663,213,-114,0
19958,4700,33627,133,-64,0
19968,4697,33592,142,-74,0
19978,4696,33561,113,-69,0
19988,4692,33518,165,-100,0
19998,4688,33474,175,-106,0
20008,4685,33426,183,-99,0
20018,4681,33380,197,-88,0
20028,4678,33337,184,-105,0
20038,4675,33284,195,-116,0
20048,4670,33232,182,-93,0
20068,4664,33163,120,-58,0
20078,4663,33127,167,-79,0
20088,4660,33095,139,-65,0
20098,4657,33057,157,-84,0
20108,4655,33040,71,-36,0
20118,4654,33022,86,-47,0
20128,4652,32991,122,-64,0
20138,4649,32957,133,-93,0
20148,4645,32903,218,-126,0
20158,4640,32845,229,-123,0
20168,4637,32786,222,-139,0
20178,4632,32714,255,-169,0
20188,4626,32639,280,-165,0
20198,4621,32576,246,-121,0
20208,4617,32519,222,-137,0
20218,4611,32448,262,-163,0
20228,4607,32378,247,-152,0
20238,4602,32307,296,-171,0
20248,4595,32230,286,-166,0
20258,4591,32166,234,-134,0
20268,4586,32103,240,-141,0
20278,4582,32042,244,-123,0
20288,4577,31981,227,-136,0
20298,4572,31915,243,-157,0
20308,4566,31838,278,-170,0
20318,4563,31778,247,-125,0
20328,4558,31726,203,-122,0
20338,4554,31669,215,-128,0
20348,4549,31616,184,-99,0
20358,4545,31566,199,-114,0
20368,4541,31506,270,-150,0
20378,4535,31437,263,-151,0
20388,4529,31373,249,-143,-1
20398,4525,31303,259,-156,0
20408,4521,31238,259,-138,0
20418,4516,31183,210,-122,0
20428,4511,31130,200,-126,0
20438,4508,31062,253,-159,0
20448,4503,30999,249,-137,0
20458,4499,30945,225,-128,0
20468,4494,30878,241,-150,0
20478,4489,30823,200,-110,0
20488,4485,30775,190,-97,0
20498,4481,30729,213,-101,0
20508,4477,30682,196,-112,0
20518,4474,30633,192,-109,0
20528,4469,30579,214,-114,0
20538,4465,30519,237,-129,0
20548,4461,30454,257,-132,0
20558,4456,30397,211,-129,0
20568,4450,30341,219,-128,0
20578,4446,30279,235,-144,0
20588,4443,30233,192,-93,0
20598,4440,30189,187,-93,0
20608,4435,30129,236,-136,0
20618,4429,30066,240,-136,-1
20628,4423,30005,236,-123,-1
20638,4420,29946,253,-131,0
20648,4415,29889,233,-124,0
20658,4410,29842,184,-109,0
20668,4406,29800,162,-82,0
20678,4401,29749,202,-123,0
20688,4396,29685,262,-146,0
20698,4389,29627,220,-126,0
20708,4386,29573,228,-141,0
20718,4380,29505,245,-158,0
20728,4375,29456,187,-98,0
20738,4373,29420,153,-67,0
20748,4370,29387,147,-81,0
20758,4366,29350,143,-72,0
20768,4363,29308,169,-94,0
20778,4360,29269,148,-84,0
20788,4356,29224,182,-94,0
20798,4352,29177,209,-111,0
20808,4348,29125,218,-122,0
20818,4343,29072,193,-100,0
20828,4340,29027,170,-86,0
20838,4336,28987,164,-105,0
20848,4332,28943,172,-91,0
20858,4328,28901,165,-72,0
20868,4326,28880,88,-45,0
20878,4324,28850,115,-71,0
20888,4322,28823,113,-67,0
20898,4317,28770,207,-131,0
20908,4311,28708,236,-139,-1
20918,4307,28655,222,-120,0
20928,4303,28604,203,-112,0
20938,4299,28547,210,-125,0
20958,4290,28444,185,-102,0
20968,4287,28407,168,-86,0
20978,4283,28361,200,-104,0
20988,4279,28305,234,-124,0
20998,4274,28253,197,-111,0
21008,4270,28208,183,-113,0
21018,4266,28152,217,-123,0
21028,4261,28103,194,-86,0
21038,4257,28061,171,-92,0
21048,4253,28015,169,-109,0
21058,4250,27958,204,-129,0
21068,4243,27901,230,-124,-1
21078,4239,27841,250,-127,0
21088,4234,27781,246,-143,0
21098,4227,27713,258,-148,-1
21108,4223,27655,226,-117,0
21118,4217,27602,234,-116,0
21128,4215,27551,217,-119,0
21138,4211,27512,144,-67,0
21148,4207,27480,142,-73,0
21158,4205,27452,118,-65,0
21168,4202,27410,175,-99,0
21178,4198,27375,152,-75,0
21188,4196,27348,112,-43,0
21198,4195,27339,36,-18,0
21208,4194,27330,42,-28,0
21218,4193,27314,81,-52,0
21228,4191,27287,105,-53,0
21238,4189,27265,84,-49,0
21248,4187,27232,142,-83,0
21258,4184,27201,115,-59,0
21268,4181,27165,149,-82,0
21278,4178,27148,76,-24,0
21288,4177,27133,68,-26,0
21298,4176,27111,107,-49,0
21308,4174,27096,75,-25,0
21318,4173,27084,56,-33,0
21328,4172,27066,93,-55,0
21338,4170,27031,162,-83,0
21348,4165,26978,212,-136,0
21358,4161,26926,203,-107,0
21368,4157,26878,200,-98,0
21378,4152,26821,246,-117,0
21388,4146,26769,214,-99,0
21398,4143,26727,171,-96,0
21408,4140,26695,140,-72,0
21418,4137,26653,174,-92,0
21428,4134,26612,173,-95,0
21438,4130,26574,166,-80,0
21448,4126,26528,184,-108,0
21458,4123,26481,188,-117,0
21468,4116,26425,222,-133,-1
21478,4112,26370,217,-108,0
21488,4108,26329,179,-76,0
21498,4105,26287,188,-106,0
21508,4101,26237,194,-120,0
21518,4097,26192,171,-92,0
21528,4093,26148,188,-96,0
21538,4088,26091,254,-136,0
21548,4083,26023,274,-154,0
21558,4078,25957,259,-152,0
21568,4072,25892,257,-152,0
21578,4065,25829,257,-133,-1
