state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
19659,7976,46646,-1,-6,0
19669,7976,46647,-2,-4,0
19679,7975,46648,-2,-1,0
19689,7976,46648,-5,-4,0
19699,7977,46648,-1,4,0
19709,7976,46648,-1,4,0
19719,7975,46647,-1,-3,0
19729,7976,46647,-3,-2,0
19739,7974,46648,-2,1,0
19749,7974,46648,-2,1,0
19759,7974,46649,-1,1,0
19769,7976,46648,-4,-1,0
19779,7974,46648,-1,1,0
19789,7975,46647,-2,-8,0
19799,7976,46647,0,-1,0
19809,7976,46647,0,1,0
19819,7976,46648,-3,-1,0
19829,7974,46647,-3,-4,0
19839,7977,46647,-3,3,0
19849,7976,46648,-4,7,0
19859,7974,46648,-2,2,0
19869,7976,46647,-2,-4,0
19879,7976,46648,-3,1,0
19889,7974,46648,-2,0,0
19899,7975,46647,-3,-1,0
19909,7977,46647,-2,-1,0
19919,7974,46647,-2,-3,0
19929,7975,46647,-1,-7,0
19939,7976,46648,-1,-1,0
19949,7974,46648,-3,-6,0
19959,7976,46649,-2,-1,0
19969,7974,46647,-2,1,0
19979,7976,46648,-3,-3,0
19989,7976,46648,-1,7,0
19999,7975,46647,-2,1,0
20009,7976,46646,-1,-1,0
20019,7976,46647,-2,-7,0
20029,7976,46647,-1,-2,0
20039,7977,46647,-3,-3,0
20049,7976,46648,-3,0,0
20059,7974,46649,-1,6,0
20069,7974,46647,-4,-4,-1
20079,7976,46650,-1,1,0
20089,7977,46647,-2,5,0
20099,7974,46647,-2,-5,0
20109,7977,46648,-2,-2,0
20119,7975,46648,-1,1,0
20129,7974,46647,-2,-4,0
20139,7974,46647,-2,-7,0
20149,7974,46647,-2,1,0
20159,7974,46647,-2,-7,0
20169,7974,46647,-2,0,0
20179,7976,46648,-2,-2,0
20189,7976,46649,-2,5,0
20199,7977,46649,-3,0,0
20209,7976,46648,-2,-6,0
20219,7977,46647,-2,-8,0
20229,7976,46648,-2,5,0
20239,7975,46647,-3,-3,0
20249,7976,46649,-3,7,0
20259,7974,46649,-4,-1,0
20269,7976,46649,-3,6,0
20279,7976,46649,-3,10,0
20289,7973,46649,-2,2,0
20299,7977,46647,-2,-4,0
20309,7974,46649,-3,3,0
20319,7976,46649,0,8,0
20329,7976,46649,-3,9,0
20339,7974,46649,-2,0,0
20349,7977,46649,-2,0,0
20359,7976,46649,-4,3,0
20369,7974,46649,-3,7,0
20379,7974,46649,-3,0,0
20389,7976,46649,-2,-3,0
20399,7974,46648,-4,1,0
20409,7976,46650,-1,7,0
20419,7974,46648,-1,-4,0
20429,7974,46649,-3,-2,0
20439,7976,46649,-3,5,0
20449,7976,46649,-1,-5,0
20459,7974,46650,-4,-2,0
20469,7976,46650,-3,0,0
20489,7976,46650,-3,3,0
20499,7976,46649,-1,1,0
20509,7976,46649,-1,3,0
20519,7974,46650,-5,0,0
20529,7976,46650,-4,-2,0
20539,7974,46652,-2,-1,0
20549,7974,46652,-4,8,0
20559,7974,46651,-3,-6,0
20569,7976,46652,-3,-3,0
20579,7974,46650,-5,-3,0
20589,7974,46653,-3,7,0
20599,7976,46652,-1,-5,0
20609,7976,46652,-3,3,0
20619,7973,46651,-1,-5,0
20629,7974,46652,-1,0,0
20639,7974,46653,-2,-3,0
20649,7976,46651,-3,0,0
20659,7973,46652,-4,1,0
20669,7974,46653,-3,-5,0
20679,7976,46652,-2,-3,0
20689,7974,46654,-4,5,0
20699,7974,46652,-4,-4,0
20709,7974,46654,-2,1,0
20719,7974,46654,-7,-3,0
20729,7974,46656,-18,8,0
20739,7970,46664,-44,22,-1
20749,7966,46672,-44,14,-1
20759,7964,46673,1,-2,0
20769,7961,46672,-1,-4,0
20779,7961,46673,-2,-3,0
20789,7962,46673,-1,0,0
20799,7964,46673,0,0,0
20809,7965,46673,-1,0,0
20819,7965,46673,-1,-3,0
20829,7963,46672,0,-2,0
20839,7963,46672,-1,0,0
20849,7963,46672,0,-1,0
20859,7964,46672,-2,1,0
20869,7963,46672,-1,-5,0
20879,7961,46672,-1,0,0
20889,7961,46674,-1,0,0
20899,7962,46672,-2,1,0
20909,7962,46673,-2,-3,0
20919,7955,46673,-1,0,-1
20929,7953,46673,0,0,0
20939,7950,46671,0,-9,0
20949,7946,46673,-1,0,0
20959,7945,46672,-2,-4,0
20969,7943,46672,-1,-2,0
20979,7941,46673,-1,-5,0
