state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
14378,7971,46796,0,0,0
14388,7971,46796,-2,-2,0
14398,7971,46796,-2,-9,0
14408,7970,46796,0,0,0
14418,7970,46795,-4,-10,0
14428,7971,46796,-2,2,0
14438,7970,46796,-2,1,0
14448,7970,46796,-2,3,0
14458,7970,46797,0,-2,0
14468,7970,46797,-2,1,0
14478,7970,46796,-1,0,0
14488,7970,46797,-2,3,0
14498,7970,46796,-1,-1,0
14508,7970,46797,-2,10,0
14518,7972,46797,-3,0,0
14528,7971,46797,-3,4,0
14538,7970,46797,-1,-2,0
14548,7970,46797,-1,2,0
14558,7972,46796,-1,-6,0
14568,7970,46798,-1,6,0
14578,7970,46797,-2,0,0
14588,7971,46796,0,-3,0
14598,7969,46797,-2,-1,0
14608,7971,46797,-2,-1,0
14618,7971,46795,-3,-11,0
14628,7970,46797,-2,-2,0
14638,7971,46797,0,-3,0
14648,7968,46796,-2,0,0
14658,7971,46796,-1,-9,0
14668,7971,46799,-2,9,0
14678,7971,46796,-2,-1,0
14688,7970,46797,-3,0,0
14698,7971,46796,-3,-1,0
14708,7970,46798,-2,8,0
14718,7970,46797,-4,0,0
14728,7969,46797,-3,-5,0
14738,7971,46797,0,2,0
14748,7969,46796,-3,-7,0
14758,7969,46797,-3,0,0
14768,7971,46797,-2,1,0
14778,7971,46797,-3,0,0
14788,7971,46795,-1,-4,0
14798,7971,46798,-2,2,0
14808,7972,46797,-3,-3,0
14818,7971,46796,0,-3,0
14828,7971,46797,0,-3,0
14838,7970,46795,0,-2,0
14848,7972,46796,2,11,0
14858,7971,46786,40,-35,0
14868,7973,46762,117,-61,0
14878,7978,46718,152,-79,0
14888,7977,46692,104,-55,0
14908,7978,46681,-5,2,0
14918,7977,46681,-4,5,0
14928,7978,46680,0,-9,0
14938,7980,46680,0,-7,0
14948,7980,46680,0,2,0
14958,7976,46682,-1,-3,0
14968,7978,46682,0,7,0
14978,7978,46682,0,8,0
14988,7978,46680,0,2,0
14998,7978,46681,0,6,0
15008,7980,46679,-3,-5,0
15018,7978,46681,-3,4,0
15028,7978,46681,-2,3,0
15038,7978,46680,-2,-2,0
15048,7978,46680,0,1,0
15058,7978,46680,0,-2,0
15068,7978,46681,-3,-1,0
15078,7978,46680,0,0,0
15088,7978,46681,-2,1,0
15098,7978,46682,0,2,0
15108,7980,46681,-3,-3,0
15118,7978,46683,-2,1,0
15128,7978,46681,0,-5,0
15138,7978,46681,-3,0,0
15148,7980,46680,0,-7,0
15158,7980,46681,-2,0,0
15168,7978,46682,-1,9,0
15178,7978,46681,0,0,0
15188,7978,46682,-3,4,0
15198,7978,46681,0,0,0
15208,7978,46680,-1,-6,0
15218,7980,46681,-1,0,0
15228,7978,46682,0,3,0
15238,7978,46681,-2,-1,0
15248,7978,46680,0,-3,0
