state_time,ank_ang,mot_ang,mot_cur
11055,8003,46517,1000
11065,8002,46514,891
11075,8004,46510,795
11085,8003,46512,804
11095,8002,46512,796
11105,8003,46510,801
11115,8003,46511,798
11125,8003,46510,802
11135,8003,46511,794
11145,8002,46510,801
11155,8003,46511,800
11165,8003,46512,799
11175,8002,46510,802
11185,8001,46512,799
11195,8002,46511,802
11205,8001,46511,802
11215,8002,46511,799
11225,8002,46510,803
11235,8003,46512,794
11245,8002,46510,801
11255,8004,46511,804
11265,8002,46512,802
11275,8002,46510,797
11285,8002,46511,796
11295,8002,46511,802
11305,8002,46512,802
11315,8002,46509,799
11325,8004,46511,801
11335,8003,46510,798
11345,8004,46511,796
11355,8003,46511,799
11365,8002,46510,802
11375,8002,46511,800
11385,8002,46511,799
11395,8004,46511,804
11405,8002,46512,799
11415,8002,46510,800
11425,8004,46511,800
11435,8004,46511,798
11445,8003,46511,805
11455,8002,46511,802
11465,8004,46511,798
11475,8002,46510,803
11485,8001,46511,801
11495,8003,46511,796
11505,8002,46511,802
11515,8002,46510,798
11525,8004,46512,804
11535,8003,46509,799
11545,8002,46510,802
11555,8002,46510,802
11565,8003,46510,800
11575,8003,46511,798
11585,8003,46510,800
11595,8002,46510,799
11605,8003,46510,801
11615,8003,46511,801
11625,8002,46511,798
11635,8005,46511,798
11645,8004,46511,799
11655,8003,46509,802
11665,8002,46511,800
11675,8002,46510,799
11685,8002,46510,799
11695,8003,46512,799
11705,8003,46511,802
11715,8001,46511,802
11725,8002,46509,800
11735,8002,46512,799
11745,8004,46510,798
11755,8003,46510,801
11765,8002,46510,798
11775,8002,46510,803
11785,8003,46511,803
11795,8001,46510,795
11805,8003,46510,798
11815,8003,46511,801
11825,8003,46510,802
11835,8003,46510,804
11845,8003,46509,795
11855,8003,46510,807
11865,8002,46510,800
11875,8003,46511,804
11885,8003,46510,799
11895,8002,46510,804
11905,8003,46511,800
11915,8002,46510,799
11925,8003,46510,800
11935,8001,46511,804
11945,8003,46510,795
11955,8002,46509,802
11965,8003,46510,800
11975,8002,46510,800
11985,8003,46510,801
11995,8002,46510,800
12005,8004,46510,802
12015,8003,46509,799
12025,8003,46510,799
12035,8001,46510,801
12045,8003,46510,799
12055,8004,46509,802
12065,8002,46511,796
12075,8002,46511,802
12085,8002,46510,799
12095,8004,46510,801
12105,8004,46509,800
12115,8003,46510,798
12125,8003,46510,803
12135,8002,46511,802
12145,8002,46511,793
12155,8003,46511,801
12165,8003,46510,797
12175,8003,46510,802
12185,8002,46511,797
12195,8003,46512,801
12205,8003,46512,800
12215,8003,46512,800
12225,8002,46513,801
12235,8003,46514,798
12245,8003,46513,799
12255,8001,46515,801
12265,8004,46513,802
12275,8002,46515,802
12285,8002,46515,800
12295,8003,46514,798
12305,8000,46516,797
12315,8003,46519,796
12325,8003,46521,802
12335,8001,46522,800
12345,8003,46524,796
12355,8003,46525,799
12365,8001,46529,804
12375,8001,46531,801
12385,8002,46534,803
12395,8001,46536,798
12405,8002,46539,800
12415,8001,46545,801
12425,8000,46553,802
12435,7998,46562,797
12445,7998,46580,792
12455,7995,46633,778
12465,7988,46722,776
12475,7981,46827,811
12485,7972,46928,814
12495,7964,47006,793
12505,7956,47078,812
12515,7953,47143,774
12525,7946,47218,795
12535,7935,47310,797
12545,7927,47410,781
12555,7916,47537,785
12565,7903,47681,770
12575,7891,47818,798
12585,7878,47946,821
12595,7868,48064,774
12605,7855,48165,807
12615,7847,48259,816
12625,7838,48339,795
12635,7829,48428,792
12645,7819,48535,811
12655,7810,48650,792
12665,7798,48755,799
12675,7788,48867,775
