state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
20654,7978,46230,-3,0,0
20664,7978,46231,-3,4,0
20674,7978,46230,-3,0,0
20684,7978,46229,-2,-9,0
20694,7977,46230,-3,-6,0
20704,7978,46230,-4,-8,0
20714,7976,46230,-4,0,0
20724,7976,46229,-4,0,0
20734,7978,46228,-3,-6,0
20744,7978,46230,-3,0,0
20754,7978,46230,-5,-2,0
20764,7976,46229,-1,3,0
20774,7976,46231,-4,3,0
20784,7976,46229,-3,-1,0
20794,7976,46229,-3,-4,0
20804,7976,46230,-4,1,0
20814,7976,46231,-2,0,0
20824,7976,46229,-2,4,0
20834,7976,46229,-4,-8,0
20844,7976,46231,-2,9,0
20854,7976,46230,-4,1,0
20864,7974,46232,-1,7,0
20874,7973,46231,-3,-3,0
20884,7976,46231,-1,7,0
20894,7974,46230,-1,0,0
20904,7974,46230,-5,-2,0
20914,7976,46230,-1,-1,0
20924,7974,46229,-2,1,0
20934,7974,46230,-3,4,0
20944,7972,46230,-2,-3,0
20954,7972,46230,-3,1,0
20964,7970,46230,-2,-4,0
20974,7970,46232,-4,12,0
20984,7968,46229,-3,-5,0
20994,7967,46231,-2,2,0
21004,7966,46230,-3,4,0
21014,7963,46230,-2,1,0
21024,7963,46230,-3,1,0
21034,7961,46231,-2,2,0
21044,7959,46229,-2,-3,0
21054,7958,46229,-5,-4,0
21064,7956,46230,-1,3,0
21074,7956,46230,-3,1,0
21084,7953,46230,-4,3,0
21094,7954,46230,-3,-4,0
21104,7952,46230,-4,9,0
21114,7949,46231,-1,0,0
21124,7947,46231,-2,2,0
21134,7943,46230,-3,1,0
21144,7944,46230,-2,4,0
21154,7941,46230,-3,2,0
21164,7936,46229,-4,-5,-1
21174,7934,46230,-2,-1,0
21184,7930,46229,-4,-3,0
21194,7927,46230,-2,-7,0
21204,7921,46231,-5,5,0
21214,7918,46230,-3,4,0
21224,7914,46229,-2,-6,0
21234,7908,46230,-3,-1,0
21244,7902,46229,-3,-9,0
21254,7899,46230,-4,1,0
21264,7896,46230,-1,-5,0
21274,7892,46230,-2,2,0
21284,7886,46230,-2,2,0
21294,7882,46231,-1,7,0
21304,7877,46230,-4,-7,0
21314,7874,46230,-3,7,0
21324,7868,46230,-2,2,-1
21334,7865,46230,-2,-3,0
21344,7861,46231,-3,5,0
21354,7860,46231,-5,-8,0
21364,7855,46231,-4,11,0
21374,7853,46230,-1,1,0
21384,7851,46230,-4,3,0
21394,7848,46230,-2,1,0
21404,7843,46231,-3,-4,0
21414,7841,46231,-3,0,0
21424,7839,46230,-2,0,0
21434,7835,46230,-3,4,0
21444,7831,46230,-1,0,0
21454,7829,46230,-4,0,0
21464,7826,46231,-4,9,0
21474,7823,46231,-2,9,0
21494,7819,46230,-2,-1,0
21504,7817,46231,-4,1,0
21514,7814,46231,-3,6,0
21524,7810,46230,-2,-3,0
21534,7808,46231,-4,3,0
21544,7806,46229,-2,-2,0
21554,7802,46230,-4,-2,0
21564,7801,46230,-2,2,0
21574,7798,46231,-2,3,0
21584,7796,46230,-3,-2,0
21594,7792,46230,-1,-1,0
21604,7789,46230,-3,-5,0
21614,7785,46230,-2,-1,-1
21624,7784,46230,-2,0,0
21634,7780,46230,-4,-2,0
21644,7778,46230,-2,1,0
21654,7775,46231,-2,2,0
21664,7772,46230,-3,-2,0
21674,7770,46230,-2,-1,0
21684,7767,46231,-4,2,0
21694,7763,46229,-1,-1,0
21704,7760,46231,-5,1,0
21714,7757,46230,-2,-2,0
21724,7757,46231,-1,2,0
21734,7756,46230,-4,-5,0
21744,7752,46230,0,0,0
21754,7749,46231,-2,3,0
21764,7747,46229,-4,-2,0
21774,7744,46230,-3,-6,0
21784,7742,46230,-3,-2,0
21794,7740,46229,-1,-2,0
21804,7736,46231,-3,5,0
21814,7736,46230,-2,-5,0
21824,7732,46230,-2,3,0
21834,7730,46229,-3,1,0
21844,7726,46231,-1,1,0
21854,7722,46230,-4,-2,0
21864,7718,46229,-3,-3,0
21874,7715,46230,-2,3,0
21884,7712,46230,-3,4,0
21894,7708,46230,-2,0,0
21904,7705,46231,0,6,0
21914,7701,46230,-3,-5,0
21924,7698,46230,-4,2,0
21934,7694,46230,-2,-1,0
21944,7688,46231,-2,0,0
21954,7685,46230,-3,0,0
21964,7682,46231,-3,6,0
21974,7678,46231,-4,3,0
21984,7671,46230,-1,7,0
21994,7669,46230,-2,1,0
22004,7665,46230,-3,5,0
22014,7661,46230,-1,6,0
22024,7655,46230,-1,1,0
22034,7650,46231,-3,0,0
22044,7647,46231,-3,3,0
22054,7641,46230,-3,1,0
22064,7637,46231,-3,6,0
22074,7633,46229,-3,3,0
22084,7628,46231,-1,9,0
22094,7623,46231,-5,1,0
22104,7618,46229,-3,-6,0
22114,7612,46230,-2,-4,0
