state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
25425,2230,-32367,0,-2,0
25435,2229,-32366,0,0,0
25445,2228,-32367,0,1,0
25465,2227,-32368,0,-8,0
25475,2228,-32365,0,2,0
25485,2228,-32365,-1,2,0
25495,2229,-32367,-1,0,0
25505,2228,-32366,0,0,0
25515,2227,-32366,0,6,0
25525,2227,-32365,0,4,0
25535,2227,-32365,-1,6,0
25545,2227,-32367,-2,-2,0
25555,2226,-32366,-3,-5,0
25565,2226,-32366,-1,0,0
25575,2227,-32366,-1,1,0
25585,2227,-32367,-2,-2,0
25595,2227,-32366,-1,4,0
25605,2227,-32365,1,4,0
25615,2227,-32366,1,1,0
25625,2228,-32367,0,-8,0
25635,2228,-32366,-2,1,0
25645,2230,-32367,-1,-5,0
25655,2231,-32366,-1,0,0
25665,2230,-32367,0,-4,0
25675,2229,-32366,0,-1,0
25685,2229,-32365,0,0,0
25695,2229,-32366,-1,0,0
25705,2228,-32365,0,-7,0
25715,2228,-32365,2,-3,0
25725,2227,-32365,-3,4,0
25735,2227,-32365,-5,0,0
25745,2227,-32363,-5,7,0
25755,2227,-32361,-8,7,0
25765,2227,-32359,-13,5,0
25775,2227,-32354,-24,18,0
25785,2226,-32343,-50,33,0
25795,2228,-32323,-86,51,0
25805,2230,-32297,-119,57,0
25815,2233,-32280,-64,23,0
25825,2233,-32273,-32,9,0
25835,2232,-32271,-20,13,0
25845,2232,-32263,-35,16,0
25855,2234,-32242,-83,58,0
25865,2236,-32212,-124,64,0
25875,2240,-32183,-111,71,0
25885,2243,-32147,-131,73,0
25895,2245,-32125,-75,38,0
25905,2246,-32098,-106,72,0
25915,2250,-32069,-113,60,0
25925,2251,-32042,-121,65,0
25935,2256,-32001,-169,83,0
25945,2257,-31970,-124,65,0
25955,2262,-31939,-109,56,0
25965,2262,-31931,-31,13,0
25975,2263,-31927,-15,11,0
25985,2262,-31922,-34,22,0
25995,2265,-31901,-93,62,0
26005,2268,-31858,-160,93,0
26015,2270,-31817,-155,97,0
26025,2274,-31771,-166,96,0
26035,2279,-31718,-218,121,0
26045,2285,-31667,-194,114,0
26055,2287,-31623,-158,89,0
26065,2293,-31569,-201,122,0
26075,2298,-31499,-252,159,0
26085,2304,-31437,-237,133,0
26095,2310,-31364,-278,187,0
26105,2318,-31272,-307,195,0
26115,2325,-31176,-356,218,1
26125,2335,-31074,-357,230,1
26135,2343,-30963,-379,245,0
26145,2353,-30848,-429,242,0
26155,2363,-30734,-396,256,1
26165,2373,-30614,-428,262,1
26175,2383,-30488,-453,289,1
26185,2394,-30352,-505,299,1
26195,2406,-30217,-488,310,1
26205,2415,-30091,-459,279,0
26215,2425,-29971,-406,249,0
26225,2435,-29854,-419,262,0
26235,2444,-29739,-422,249,0
26245,2455,-29614,-458,281,1
26255,2465,-29486,-494,276,0
26265,2477,-29355,-468,276,1
26275,2487,-29230,-464,259,0
26285,2497,-29114,-427,269,1
26295,2507,-28990,-470,275,1
26305,2517,-28865,-456,279,1
26315,2527,-28750,-441,245,1
26325,2536,-28640,-398,237,1
26335,2544,-28538,-380,238,1
26345,2552,-28442,-360,202,0
26355,2561,-28345,-361,216,1
26365,2570,-28240,-409,239,1
26375,2579,-28133,-392,239,1
26385,2588,-28030,-388,206,1
26395,2595,-27937,-364,197,1
26405,2601,-27856,-292,159,0
26415,2608,-27780,-302,165,0
26425,2613,-27722,-246,115,0
26435,2618,-27665,-218,116,0
26445,2622,-27610,-212,115,0
26455,2628,-27552,-246,130,0
26465,2632,-27507,-198,84,0
26475,2633,-27477,-122,63,0
26485,2637,-27442,-142,82,0
26495,2640,-27413,-134,79,0
26505,2643,-27379,-140,53,0
26515,2645,-27364,-54,22,0
26525,2645,-27356,-34,20,0
26535,2645,-27353,-23,5,0
26545,2647,-27349,-14,11,0
26555,2646,-27350,4,-1,0
26565,2646,-27349,0,1,0
26575,2646,-27350,1,-3,0
26585,2646,-27350,3,7,0
26595,2645,-27350,3,0,0
26605,2645,-27350,3,-1,0
26615,2645,-27352,4,-7,0
26625,2645,-27352,5,-7,0
26635,2645,-27351,3,6,0
26645,2646,-27353,3,-2,0
26655,2647,-27353,5,-1,0
26665,2648,-27353,3,-1,0
26675,2648,-27354,1,0,0
26685,2648,-27354,1,0,0
26695,2649,-27354,0,-1,0
26705,2649,-27352,-2,-6,0
26715,2648,-27352,-1,12,0
26725,2647,-27352,-3,-1,0
26745,2649,-27352,0,2,0
26755,2648,-27351,-1,0,0
26765,2648,-27349,-8,9,0
26775,2648,-27345,-20,11,0
26785,2648,-27340,-30,12,0
26795,2648,-27336,-27,10,0
26805,2649,-27330,-22,22,0
26815,2648,-27328,-19,10,0
26825,2649,-27324,-24,5,0
26835,2650,-27319,-38,13,0
26845,2651,-27300,-89,49,0
26855,2654,-27264,-184,89,0
26865,2657,-27227,-165,81,0
26875,2660,-27198,-136,67,0
26885,2661,-27173,-105,61,0
26895,2664,-27140,-149,79,0
26905,2667,-27107,-145,90,0
26915,2670,-27067,-171,79,0
26925,2673,-27023,-209,108,0
26935,2677,-26979,-203,102,0
26945,2682,-26923,-224,134,0
26955,2687,-26857,-265,158,0
26965,2694,-26789,-280,144,0
26975,2699,-26731,-242,136,0
26985,2705,-26663,-265,156,0
26995,2711,-26604,-239,138,0
27005,2716,-26542,-278,147,0
27015,2722,-26475,-277,152,0
27025,2728,-26407,-266,157,0
27035,2733,-26342,-260,143,0
27045,2738,-26275,-283,148,0
27055,2744,-26216,-239,132,0
27065,2750,-26152,-265,151,0
