state_time,ank_ang,mot_ang,mot_cur,mot_vel,ank_vel
23363,2082,-33777,1,-3,0
23373,2082,-33776,1,0,0
23383,2081,-33777,0,1,0
23393,2083,-33776,-3,1,0
23403,2082,-33778,-1,-11,0
23423,2082,-33776,0,2,0
23433,2082,-33776,0,5,0
23443,2082,-33776,2,-3,0
23453,2082,-33777,1,2,0
23463,2082,-33777,0,-1,0
23473,2081,-33776,0,0,0
23483,2081,-33777,0,-1,0
23493,2081,-33775,0,5,0
23503,2082,-33777,-3,-1,0
23513,2082,-33775,0,-1,0
23523,2082,-33775,0,0,0
23533,2082,-33775,0,4,0
23543,2082,-33775,0,8,0
23553,2082,-33776,0,3,0
23563,2082,-33776,3,1,0
23573,2082,-33776,0,2,0
23583,2082,-33777,0,-8,0
23593,2082,-33775,0,-3,0
23603,2082,-33774,0,3,0
23613,2081,-33777,0,-9,0
23623,2082,-33774,-1,0,0
23633,2082,-33775,-6,-2,0
23643,2082,-33773,-6,-8,0
23653,2083,-33771,-13,3,0
23663,2083,-33767,-20,12,0
23673,2083,-33763,-29,12,0
23683,2084,-33755,-42,16,0
23693,2086,-33739,-59,45,0
23703,2087,-33728,-54,27,0
23713,2089,-33721,-28,16,0
23723,2089,-33716,-24,19,0
23733,2089,-33710,-35,6,0
23743,2089,-33698,-72,42,0
23753,2093,-33662,-174,89,0
23763,2100,-33614,-198,105,0
23773,2106,-33566,-182,98,0
23783,2110,-33521,-181,107,0
23793,2115,-33467,-214,125,0
23803,2122,-33393,-277,163,0
23813,2130,-33325,-260,159,0
23823,2136,-33260,-232,137,0
23833,2143,-33199,-212,138,0
23843,2147,-33148,-185,96,0
23853,2152,-33111,-148,71,0
23863,2155,-33089,-99,52,0
23873,2157,-33050,-154,96,0
23883,2161,-33004,-173,106,0
23893,2168,-32947,-189,114,0
23903,2173,-32901,-163,96,0
23913,2175,-32856,-198,120,0
23923,2181,-32802,-210,114,0
23933,2187,-32752,-164,91,0
23943,2190,-32710,-168,107,0
23953,2195,-32668,-146,89,0
23963,2199,-32622,-169,96,0
23973,2203,-32578,-181,102,0
23983,2206,-32542,-143,62,0
23993,2211,-32501,-165,89,0
24003,2213,-32462,-130,70,0
24013,2215,-32427,-142,75,0
24023,2219,-32398,-109,64,0
24033,2223,-32356,-152,99,0
24043,2225,-32337,-66,22,0
24053,2225,-32325,-48,24,0
24063,2227,-32313,-57,29,0
24073,2228,-32300,-59,33,0
24083,2230,-32294,-33,7,0
24093,2229,-32290,-14,9,0
24103,2230,-32286,-15,19,0
24113,2229,-32283,-25,16,0
24123,2231,-32278,-33,10,0
24133,2232,-32265,-60,35,0
24143,2236,-32231,-146,97,0
24153,2240,-32179,-184,117,0
24163,2245,-32123,-187,111,0
24173,2250,-32072,-186,115,0
24183,2253,-32018,-219,138,0
24193,2258,-31955,-239,136,0
24203,2263,-31896,-198,129,0
24213,2269,-31838,-196,112,0
24223,2275,-31788,-181,102,0
24233,2278,-31740,-188,115,0
24243,2282,-31697,-157,77,0
24253,2285,-31662,-138,80,0
24263,2288,-31640,-83,45,0
24273,2289,-31618,-94,62,0
24283,2293,-31581,-140,81,0
24293,2295,-31542,-144,103,0
24303,2300,-31494,-172,92,0
24313,2303,-31458,-146,80,0
24323,2307,-31430,-116,54,0
24333,2310,-31392,-159,106,1
24343,2313,-31341,-176,104,0
24353,2319,-31295,-160,84,0
24363,2320,-31259,-129,86,0
24373,2324,-31223,-135,65,0
24383,2326,-31190,-140,86,0
24393,2329,-31158,-137,58,0
24403,2330,-31135,-102,50,0
24413,2334,-31100,-134,68,0
24423,2335,-31083,-69,31,0
24433,2337,-31064,-80,51,0
24443,2340,-31033,-123,69,0
24453,2342,-31015,-71,27,0
24463,2342,-31000,-62,36,0
24483,2347,-30959,-90,35,0
24493,2348,-30940,-82,45,0
24503,2350,-30906,-142,87,0
24513,2354,-30879,-114,45,0
24523,2355,-30866,-60,31,0
24533,2356,-30851,-70,29,0
24543,2357,-30835,-67,37,0
24553,2358,-30826,-44,9,0
24563,2357,-30821,-20,7,0
24573,2357,-30821,-13,0,0
24583,2358,-30816,-20,12,0
24593,2359,-30811,-31,15,0
24603,2360,-30797,-58,34,0
24613,2362,-30766,-130,82,0
24623,2365,-30728,-139,76,0
24633,2369,-30688,-158,88,0
24643,2371,-30665,-87,40,0
24653,2372,-30644,-91,52,0
24663,2375,-30618,-124,60,0
24673,2377,-30596,-101,49,0
24683,2380,-30555,-178,107,0
24693,2382,-30502,-191,115,0
